Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,126.5,130.0,125.06,129.25,81.09,114874
2002-07-02,131.19,131.19,126.51,127.26,79.85,70272
2002-07-03,130.0,133.3,127.5,132.07,82.86,158600
2002-07-04,127.25,138.12,127.25,136.94,85.92,389836
2002-07-05,138.75,138.75,133.4,134.19,84.19,162464
2002-07-08,134.98,135.23,133.27,134.2,84.2,100766
2002-07-09,136.25,136.5,133.02,136.1,85.39,110472
2002-07-10,130.0,137.0,130.0,133.21,83.58,182680
2002-07-11,132.5,133.44,131.5,132.88,83.37,68804
2002-07-12,132.75,133.7,132.29,132.81,83.33,39310
2002-07-15,132.01,132.45,130.26,131.34,82.4,34122
2002-07-16,131.51,131.51,126.25,128.0,80.31,80172
2002-07-17,126.75,127.25,124.75,126.24,79.2,81806
2002-07-18,122.34,127.49,122.34,124.61,78.18,76988
2002-07-19,122.26,126.5,122.25,125.66,78.84,157674
2002-07-22,125.75,125.75,121.25,124.09,77.85,80436
2002-07-23,118.5,124.24,118.5,122.01,76.55,80816
2002-07-24,120.41,122.0,117.32,117.65,73.81,208460
2002-07-25,119.0,121.25,114.15,118.44,74.31,401650
2002-07-26,123.6,123.75,110.05,112.47,70.57,243754
2002-07-29,115.05,116.25,104.25,108.22,67.9,259782
2002-07-30,108.75,110.45,105.0,107.68,67.56,143848
2002-07-31,102.5,108.25,102.5,105.25,66.03,225840
2002-08-01,108.75,108.75,104.06,106.43,66.77,211186
2002-08-02,100.75,105.6,100.75,104.28,65.42,96810
2002-08-05,106.0,107.72,104.06,107.16,67.23,72298
2002-08-06,113.75,113.75,106.03,109.53,68.72,98388
2002-08-07,109.97,116.74,108.5,112.81,70.78,336812
2002-08-08,113.5,114.75,110.0,110.5,69.33,94164
2002-08-09,110.25,113.47,109.54,112.25,70.43,101558
2002-08-12,112.53,114.94,112.53,113.35,71.12,101390
2002-08-13,113.62,113.62,111.31,111.84,70.17,51326
2002-08-14,104.0,112.25,104.0,108.7,68.2,210438
2002-08-15,108.7,108.7,108.7,108.7,68.2,0
2002-08-16,103.12,110.25,103.12,106.91,67.08,286236
2002-08-19,107.5,107.85,106.26,107.41,67.39,136762
2002-08-20,108.03,110.71,106.25,109.41,68.65,107902
2002-08-21,111.25,111.25,108.51,108.74,68.22,67328
2002-08-22,107.53,109.69,106.82,107.04,67.16,246328
2002-08-23,106.75,107.22,104.62,104.96,65.85,341918
2002-08-26,104.88,106.25,103.62,104.44,65.52,273836
2002-08-27,105.0,105.0,104.06,104.3,65.44,316540
2002-08-28,110.0,110.0,103.25,104.47,65.55,140876
2002-08-29,100.69,104.99,100.69,104.53,65.58,154212
2002-08-30,104.5,105.0,102.25,104.61,65.63,109896
2002-09-02,105.0,105.97,102.14,103.95,65.22,256338
2002-09-03,104.75,104.75,103.15,104.03,65.27,219580
2002-09-04,103.75,105.0,103.38,104.56,65.6,132516
2002-09-05,105.0,106.25,104.57,104.93,65.83,165740
2002-09-06,105.0,105.0,104.03,104.79,65.74,87022
2002-09-09,105.0,105.09,104.24,104.97,65.86,104510
2002-09-10,104.97,104.97,104.97,104.97,65.86,0
2002-09-11,105.0,105.75,104.75,104.94,65.84,67520
2002-09-12,105.0,105.25,104.31,105.03,65.89,70258
2002-09-13,104.51,106.25,104.51,105.1,65.94,160798
2002-09-16,105.0,105.94,104.31,104.99,65.87,26272
2002-09-17,105.5,105.5,101.81,103.39,64.87,108362
2002-09-18,102.5,104.0,98.93,100.34,62.95,126200
2002-09-19,100.25,100.5,93.89,95.97,60.22,376582
2002-09-20,93.75,95.62,93.75,94.28,59.15,331130
2002-09-23,93.75,95.38,91.56,92.93,58.3,212802
2002-09-24,93.0,95.96,92.72,95.21,59.74,221682
2002-09-25,95.7,96.85,94.75,96.12,60.31,90520
2002-09-26,95.0,97.75,95.0,95.57,59.96,61582
2002-09-27,95.0,100.5,95.0,99.74,62.58,247886
2002-09-30,98.76,101.25,97.01,97.41,61.12,172392
2002-10-01,96.26,97.5,92.04,94.81,59.49,275562
2002-10-02,94.81,94.81,94.81,94.81,59.49,0
2002-10-03,96.25,96.25,91.55,91.99,57.71,146834
2002-10-04,91.76,93.7,90.2,91.53,57.42,152790
2002-10-07,91.25,93.12,90.78,91.94,57.68,198760
2002-10-08,91.75,96.99,91.75,96.19,60.35,207708
2002-10-09,97.38,99.0,96.54,98.05,61.52,159802
2002-10-10,98.25,102.25,98.25,101.44,63.64,363882
2002-10-11,95.03,101.45,95.03,99.99,62.73,279456
2002-10-14,100.25,101.5,99.05,99.74,62.58,93216
2002-10-15,99.74,99.74,99.74,99.74,62.58,0
2002-10-16,99.88,100.5,98.75,99.44,62.39,103742
2002-10-17,98.75,101.18,97.81,98.81,62.0,152578
2002-10-18,98.5,104.75,98.5,100.55,63.09,111388
2002-10-21,101.25,102.49,100.75,101.1,63.43,159856
2002-10-22,102.5,102.5,95.32,96.68,60.65,309236
2002-10-23,95.54,101.28,95.54,100.41,63.0,761030
2002-10-24,100.22,103.47,98.75,102.24,64.14,574866
2002-10-25,102.47,104.47,100.43,102.71,64.44,195340
2002-10-28,103.0,103.75,101.26,101.78,63.85,167172
2002-10-29,102.0,106.7,101.5,105.15,65.97,545938
2002-10-30,105.47,108.88,100.25,105.44,66.15,544736
2002-10-31,105.0,106.25,103.25,105.94,66.47,198194
2002-11-01,106.25,111.5,105.88,110.51,69.34,897702
2002-11-04,110.25,112.75,109.69,112.07,70.32,111062
2002-11-05,112.0,112.0,108.38,109.01,68.4,244632
2002-11-06,109.01,109.01,109.01,109.01,68.4,0
2002-11-07,108.28,108.45,106.5,107.3,67.32,283824
2002-11-08,106.64,109.38,106.64,108.25,67.92,255454
2002-11-11,110.0,110.0,107.53,109.0,68.39,100102
2002-11-12,108.01,109.75,108.01,108.96,68.36,82852
2002-11-13,108.53,112.22,108.53,110.78,69.5,612194
2002-11-14,111.5,111.5,108.85,109.84,68.91,267210
2002-11-15,110.88,115.0,109.75,113.2,71.02,753062
2002-11-18,113.51,114.0,112.09,112.93,70.85,208750
2002-11-19,112.93,112.93,112.93,112.93,70.85,0
2002-11-20,112.75,114.0,112.03,113.21,71.03,196802
2002-11-21,100.46,120.12,100.46,119.41,74.92,518966
