Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,11.56,11.66,11.49,11.64,3.82,748800
1998-11-17,11.61,11.69,11.53,11.66,3.82,878400
1998-11-18,11.63,11.72,11.59,11.72,3.84,640800
1998-11-19,11.67,11.81,11.64,11.8,3.87,891000
1998-11-20,11.72,11.8,11.67,11.77,3.86,973800
1998-11-23,11.68,11.76,11.64,11.64,3.82,390600
1998-11-24,11.67,11.8,11.56,11.67,3.83,1031400
1998-11-25,70.0,70.0,70.0,70.0,22.96,0
1998-11-26,11.7,11.78,11.61,11.61,3.81,489600
1998-11-27,11.54,11.61,11.27,11.37,3.73,511200
1998-11-30,11.42,11.42,11.03,11.32,3.71,520200
1998-12-01,11.25,11.36,11.13,11.27,3.7,590400
1998-12-02,11.39,11.39,11.25,11.38,3.73,610200
1998-12-03,11.32,11.47,11.28,11.42,3.75,487800
1998-12-04,11.31,11.44,11.31,11.43,3.75,849600
1998-12-07,11.21,11.55,11.21,11.55,3.79,790200
1998-12-08,11.42,11.53,11.34,11.47,3.76,824400
1998-12-09,11.45,11.53,11.39,11.53,3.78,819000
1998-12-10,11.5,11.5,11.38,11.45,3.75,709200
1998-12-11,11.46,11.5,11.39,11.5,3.77,482400
1998-12-14,11.44,11.5,11.39,11.49,3.77,594000
1998-12-15,11.43,11.44,10.86,11.16,3.66,550800
1998-12-16,11.25,11.28,11.1,11.21,3.68,426600
1998-12-17,11.03,11.12,10.89,10.98,3.6,676800
1998-12-18,10.94,11.19,10.92,11.12,3.65,765000
1998-12-21,11.16,11.42,11.16,11.3,3.71,842400
1998-12-22,11.21,11.39,11.2,11.39,3.74,727200
1998-12-23,11.39,11.49,11.32,11.45,3.75,828000
1998-12-24,11.39,11.64,11.39,11.5,3.77,1204200
1998-12-25,69.02,69.02,69.02,69.02,22.63,0
1998-12-28,11.59,12.0,11.59,11.83,3.88,981000
1998-12-29,11.61,11.83,11.56,11.63,3.81,970200
1998-12-30,11.14,11.92,11.14,11.85,3.89,1029600
1998-12-31,11.93,11.94,11.72,11.81,3.87,603000
1999-01-01,11.78,11.86,11.75,11.86,3.89,504000
1999-01-04,11.86,11.92,11.73,11.78,3.86,1108800
1999-01-05,11.8,11.8,11.53,11.53,3.78,727200
1999-01-06,11.67,11.68,11.54,11.64,3.82,900000
