Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,40.11,40.72,40.11,40.44,30.96,3709080
2002-07-02,40.56,40.93,40.44,40.53,31.03,2500024
2002-07-03,40.69,40.76,40.02,40.08,30.69,1910772
2002-07-04,40.24,40.38,39.84,39.92,30.57,1515924
2002-07-05,39.8,40.22,39.8,40.02,30.64,1038928
2002-07-08,40.64,40.87,40.0,40.79,31.23,1772149
2002-07-09,40.89,41.22,40.5,40.61,31.1,2892991
2002-07-10,40.11,40.71,40.0,40.5,31.01,1063845
2002-07-11,40.42,40.67,40.1,40.16,30.75,1413315
2002-07-12,40.44,40.56,40.08,40.36,30.9,1485990
2002-07-15,40.38,40.38,39.73,40.22,30.8,2159154
2002-07-16,39.56,40.33,39.56,40.06,30.67,1652139
2002-07-17,39.78,40.0,39.48,39.77,30.45,1308973
2002-07-18,39.89,40.13,39.7,40.02,30.64,1634161
2002-07-19,39.78,40.38,39.78,40.24,30.81,4430164
2002-07-22,38.6,38.6,37.35,37.49,28.7,2559451
2002-07-23,37.51,37.88,37.02,37.44,28.66,1543779
2002-07-24,37.16,37.5,37.11,37.17,28.46,1839717
2002-07-25,37.89,37.89,36.13,36.44,27.9,9698058
2002-07-26,36.31,36.71,36.11,36.27,27.77,2582338
2002-07-29,36.42,36.66,35.58,35.87,27.46,1608246
2002-07-30,36.44,36.44,35.11,35.37,27.08,1532263
2002-07-31,34.91,35.56,34.72,35.28,27.01,1588950
2002-08-01,34.89,35.49,34.89,34.96,26.76,939127
2002-08-02,34.78,35.27,34.44,35.16,26.92,1121058
2002-08-05,35.33,36.64,35.33,36.44,27.9,1788777
2002-08-06,36.2,36.42,35.58,36.26,27.76,968539
2002-08-07,36.64,36.64,36.27,36.36,27.84,884349
2002-08-08,36.44,37.47,36.33,36.44,27.9,2182081
2002-08-09,36.44,37.71,36.42,36.87,28.23,3620929
2002-08-12,37.04,37.64,36.75,37.07,28.38,2180412
2002-08-13,37.09,37.4,36.84,37.1,28.41,844686
2002-08-14,37.11,37.44,36.95,37.27,28.53,893839
2002-08-15,37.27,37.27,37.27,37.27,28.53,0
2002-08-16,37.44,38.22,37.33,37.91,29.03,2908156
2002-08-19,38.5,38.62,37.91,38.11,29.18,4380849
2002-08-20,38.22,38.42,38.07,38.35,29.36,1884010
2002-08-21,38.0,38.91,37.8,38.77,29.68,3296326
2002-08-22,39.07,39.22,38.82,39.13,29.96,4005877
2002-08-23,39.55,40.11,39.04,39.93,30.58,6834802
2002-08-26,40.12,41.44,40.12,41.06,31.44,11248938
2002-08-27,41.31,41.5,40.24,41.27,31.6,8647789
2002-08-28,40.5,41.24,40.5,41.13,31.49,4746235
2002-08-29,41.56,41.78,41.21,41.57,31.83,5962054
2002-08-30,40.78,41.11,40.48,40.81,31.25,4825647
2002-09-02,41.09,41.56,37.13,40.64,31.12,2064600
2002-09-03,40.0,40.49,39.89,39.99,30.62,3253635
2002-09-04,39.78,40.17,39.33,40.0,30.63,2993845
2002-09-05,40.02,40.69,39.95,40.44,30.97,2468727
2002-09-06,40.56,40.71,39.95,40.01,30.64,1862496
2002-09-09,39.89,40.21,39.68,39.99,30.62,921829
2002-09-10,39.99,39.99,39.99,39.99,30.62,0
2002-09-11,40.19,40.22,39.96,40.02,30.64,799830
2002-09-12,40.0,40.66,39.96,40.38,30.92,1589184
2002-09-13,40.91,41.71,40.18,40.26,30.82,2314170
2002-09-16,40.44,40.53,40.18,40.24,30.81,954940
2002-09-17,40.39,40.62,40.24,40.49,31.0,767758
2002-09-18,40.0,40.84,40.0,40.46,30.98,1567084
2002-09-19,40.0,40.59,40.0,40.38,30.92,1522656
2002-09-20,40.0,40.58,40.0,40.44,30.96,1161648
2002-09-23,40.47,40.5,40.31,40.37,30.91,893119
2002-09-24,40.2,40.42,39.39,39.73,30.42,1465078
2002-09-25,39.55,39.56,38.73,38.86,29.75,2070009
2002-09-26,38.89,39.33,38.17,38.27,29.3,2245162
2002-09-27,38.44,38.5,37.67,37.76,28.91,5235849
2002-09-30,37.44,37.96,37.12,37.26,28.53,2770704
2002-10-01,36.72,37.38,36.72,37.11,28.41,956223
2002-10-02,37.11,37.11,37.11,37.11,28.41,0
2002-10-03,37.44,37.71,37.16,37.29,28.55,1258051
2002-10-04,37.53,37.62,37.22,37.39,28.63,951331
2002-10-07,37.77,38.04,37.4,37.9,29.02,1377747
2002-10-08,38.19,38.19,37.9,38.02,29.11,2341683
2002-10-09,38.21,38.49,38.01,38.24,29.28,1962693
2002-10-10,38.56,38.67,37.86,38.24,29.28,848902
2002-10-11,38.77,38.77,38.11,38.24,29.28,1389636
2002-10-14,39.84,40.38,39.61,40.24,30.81,8814321
2002-10-15,40.24,40.24,40.24,40.24,30.81,0
2002-10-16,40.64,40.64,40.24,40.55,31.04,2409858
2002-10-17,40.53,42.15,40.39,42.02,32.17,4899537
2002-10-18,42.22,42.44,41.0,41.9,32.08,3001617
2002-10-21,42.0,42.0,41.24,41.84,32.04,1880032
2002-10-22,42.78,42.78,41.24,41.31,31.63,1635525
2002-10-23,41.28,41.33,41.04,41.24,31.57,1090525
2002-10-24,41.22,41.44,41.1,41.17,31.52,1062405
2002-10-25,40.67,41.53,40.67,41.24,31.58,1884136
2002-10-28,41.33,41.33,41.11,41.2,31.54,1037448
2002-10-29,41.11,41.78,40.89,41.7,31.93,1670868
2002-10-30,41.64,41.72,41.11,41.64,31.88,1123609
2002-10-31,41.52,42.0,41.52,41.9,32.08,3234775
2002-11-01,41.67,42.28,41.67,41.98,32.14,2127649
2002-11-04,42.22,42.33,42.04,42.17,32.29,461115
2002-11-05,42.22,43.2,42.06,42.92,32.87,2325154
2002-11-06,42.92,42.92,42.92,42.92,32.87,0
2002-11-07,43.19,43.19,42.24,42.38,32.45,1580611
2002-11-08,43.0,43.84,42.67,43.44,33.26,4796464
2002-11-11,43.56,43.76,43.13,43.32,33.17,1813365
2002-11-12,43.17,43.27,42.89,43.12,33.02,1793362
2002-11-13,43.27,43.42,42.56,42.73,32.72,3112983
2002-11-14,42.67,43.16,42.61,42.72,32.71,1496961
2002-11-15,42.9,43.1,42.4,42.81,32.78,1876644
2002-11-18,43.0,43.66,42.02,42.77,32.75,4090977
2002-11-19,42.77,42.77,42.77,42.77,32.75,0
2002-11-20,42.69,42.99,41.56,42.81,32.78,3215218
2002-11-21,44.33,45.2,43.27,43.33,33.18,5462640
2002-11-22,43.42,45.73,42.84,45.17,34.58,13755784
2002-11-25,45.86,45.98,44.08,44.24,33.88,11834545
2002-11-26,44.22,44.84,43.79,44.27,33.89,4445869
2002-11-27,44.22,45.96,43.8,44.53,34.1,17878828
2002-11-28,44.91,45.73,44.82,45.44,34.79,7935615
2002-11-29,46.24,46.44,44.91,45.58,34.9,6705027
2002-12-02,47.51,47.51,45.15,45.4,34.76,4943533
2002-12-03,45.71,45.71,44.12,44.27,33.89,2909682
2002-12-04,42.89,44.44,42.89,43.51,33.31,2827377
2002-12-05,43.67,44.81,43.61,43.87,33.59,3419167
2002-12-06,44.44,44.78,43.87,44.64,34.18,2154298
2002-12-09,44.86,45.56,43.84,44.24,33.88,2670601
2002-12-10,44.0,44.44,43.64,44.27,33.89,1149660
2002-12-11,44.44,44.64,43.78,43.92,33.63,1602972
2002-12-12,44.17,44.17,43.7,43.96,33.65,617044
2002-12-13,44.0,44.64,44.0,44.15,33.8,2313391
2002-12-16,44.67,44.67,43.89,44.08,33.75,1658191
2002-12-17,44.22,44.22,43.41,43.52,33.32,976140
2002-12-18,43.8,45.17,43.6,44.42,34.01,9846864
2002-12-19,44.41,45.09,44.41,44.57,34.12,2943229
2002-12-20,44.66,45.04,44.12,44.31,33.93,2145852
2002-12-23,43.69,44.55,43.69,44.16,33.81,1300698
2002-12-24,44.0,44.67,44.0,44.48,34.06,1627767
2002-12-25,44.48,44.48,44.48,44.48,34.06,0
2002-12-26,44.44,45.47,44.26,44.72,34.24,8073936
2002-12-27,44.67,46.11,44.67,45.97,35.2,6796165
2002-12-30,46.44,47.07,46.13,46.82,35.85,7411014
2002-12-31,47.0,47.56,46.81,47.4,36.29,4987710
2003-01-01,47.49,47.64,46.89,47.04,36.02,2485881
2003-01-02,47.11,47.49,46.68,46.79,35.83,2634268
2003-01-03,46.82,47.11,45.33,45.49,34.83,3617793
2003-01-06,45.64,45.78,44.44,44.66,34.19,3239698
2003-01-07,45.11,45.53,44.64,45.38,34.74,2724322
2003-01-08,45.39,46.62,45.22,46.3,35.45,6860502
2003-01-09,46.22,46.32,44.89,45.98,35.2,1652395
2003-01-10,45.97,46.06,45.15,45.5,34.84,1340140
2003-01-13,45.56,46.31,45.3,45.56,34.88,2794941
2003-01-14,45.24,45.78,45.22,45.68,34.98,1326222
2003-01-15,46.1,46.12,45.46,45.62,34.93,2034202
2003-01-16,45.64,45.81,44.91,45.04,34.48,2021215
2003-01-17,45.18,45.51,45.0,45.09,34.52,1466334
2003-01-20,45.04,45.22,43.97,44.11,33.77,1949940
2003-01-21,44.22,44.61,43.96,44.11,33.77,2044692
2003-01-22,44.67,44.67,43.41,43.57,33.36,2851780
2003-01-23,43.76,44.21,43.36,43.77,33.51,1293894
2003-01-24,44.0,44.16,43.02,43.36,33.2,2336238
2003-01-27,42.67,43.56,41.9,42.42,32.48,1459201
2003-01-28,42.67,43.33,41.69,42.36,32.43,3410748
2003-01-29,42.84,43.22,42.08,42.24,32.34,2097279
2003-01-30,42.78,42.87,41.13,41.36,31.66,4909464
2003-01-31,41.41,41.5,40.81,41.22,31.56,2251179
2003-02-03,41.44,42.19,41.44,42.02,32.17,2117115
2003-02-04,42.33,42.64,41.79,41.87,32.06,1848996
2003-02-05,41.11,42.04,40.5,41.68,31.91,1650897
2003-02-06,41.78,42.62,41.68,42.33,32.41,1951960
2003-02-07,42.33,43.56,42.22,43.21,33.09,3600949
2003-02-10,43.33,43.87,43.01,43.44,33.26,4595980
2003-02-11,43.67,43.72,42.69,42.79,32.76,1337350
2003-02-12,42.78,43.33,42.78,42.98,32.91,1470708
2003-02-13,42.98,42.98,42.98,42.98,32.91,0
2003-02-14,43.29,43.38,42.47,42.56,32.58,1537348
2003-02-17,42.89,43.57,42.89,43.38,33.21,1898784
2003-02-18,43.39,43.53,42.92,42.99,32.92,1051947
2003-02-19,43.13,43.42,42.93,43.0,32.92,1018705
2003-02-20,43.22,43.32,42.56,42.82,32.79,1041655
2003-02-21,42.79,43.61,42.72,43.13,33.03,2821927
2003-02-24,43.46,43.64,43.11,43.22,33.09,1757416
2003-02-25,43.27,43.27,42.62,42.7,32.7,1064227
2003-02-26,42.89,45.93,42.51,44.37,33.97,39399255
2003-02-27,44.67,44.95,44.1,44.26,33.89,8504604
2003-02-28,44.44,45.6,44.13,44.57,34.12,9156258
2003-03-03,44.72,44.98,44.12,44.3,33.92,4243572
2003-03-04,43.78,44.44,43.51,43.64,33.41,2058300
2003-03-05,43.78,45.44,43.33,43.55,33.34,14600083
2003-03-06,43.77,43.97,42.89,43.04,32.96,4689670
2003-03-07,42.89,43.22,42.48,42.69,32.68,2361438
2003-03-10,42.67,43.11,41.24,41.44,31.73,3030367
2003-03-11,41.27,42.0,40.92,41.88,32.07,1401250
2003-03-12,42.2,42.28,41.5,41.58,31.83,1786401
2003-03-13,41.73,41.78,41.24,41.38,31.68,839718
2003-03-14,41.38,41.38,41.38,41.38,31.68,0
2003-03-17,41.56,42.47,41.56,41.75,31.96,1789663
2003-03-18,41.75,41.75,41.75,41.75,31.96,0
2003-03-19,41.78,42.18,41.53,41.66,31.9,1286968
2003-03-20,41.98,42.53,41.59,42.17,32.29,2023074
2003-03-21,42.12,42.53,42.04,42.24,32.34,1125805
2003-03-24,42.33,42.36,41.47,41.57,31.83,1051897
2003-03-25,41.17,41.7,41.17,41.56,31.82,1823440
2003-03-26,41.67,41.84,41.46,41.51,31.78,1307187
2003-03-27,41.6,41.67,40.71,40.87,31.29,4035564
2003-03-28,40.89,41.33,40.73,41.19,31.54,1224351
2003-03-31,41.28,41.33,40.9,41.01,31.4,662332
2003-04-01,41.08,41.47,40.49,41.09,31.46,1209982
2003-04-02,41.22,41.44,41.02,41.24,31.58,494869
2003-04-03,41.36,41.67,41.15,41.24,31.58,2163375
2003-04-04,41.53,41.53,41.11,41.44,31.73,1072606
2003-04-07,41.78,42.11,41.66,41.93,32.11,2307946
2003-04-08,42.16,43.19,41.68,42.59,32.61,4933449
2003-04-09,42.61,42.89,41.82,41.93,32.11,1742832
2003-04-10,42.0,42.3,41.42,41.52,31.79,1531080
2003-04-11,41.96,42.19,41.11,41.38,31.68,1607193
2003-04-15,42.0,43.26,41.2,41.6,31.85,620176
2003-04-16,42.0,42.0,41.44,41.61,31.86,532687
2003-04-17,41.58,42.09,41.11,41.73,31.95,1145776
2003-04-18,41.73,41.73,41.73,41.73,31.95,0
2003-04-21,42.18,42.24,41.68,41.8,32.0,976099
2003-04-22,41.78,42.17,41.71,41.93,32.11,1161360
2003-04-23,41.78,42.67,41.58,42.44,32.49,3396046
2003-04-24,42.53,42.53,41.78,42.04,32.19,4814077
2003-04-25,41.93,42.42,41.86,42.35,32.42,2045470
2003-04-28,43.24,43.24,42.31,42.48,32.52,1005912
2003-04-29,42.56,43.39,42.56,43.18,33.06,2918439
2003-04-30,43.44,44.67,43.13,44.47,34.05,7102993
2003-05-01,44.47,44.47,44.47,44.47,34.05,0
2003-05-02,44.44,45.33,43.84,45.19,34.6,5366560
2003-05-05,45.44,45.44,44.27,44.71,34.23,2749401
2003-05-06,44.67,46.11,44.67,45.98,35.2,6746683
2003-05-07,45.56,46.0,44.84,45.44,34.79,3397909
2003-05-08,45.53,45.53,44.79,45.16,34.57,1247427
2003-05-09,45.33,45.33,44.4,44.46,34.04,1963759
2003-05-12,44.67,45.06,44.5,44.91,34.39,1650532
2003-05-13,44.89,45.31,44.44,45.08,34.52,1299244
2003-05-14,44.9,45.42,44.9,45.24,34.63,957487
2003-05-15,45.22,46.0,45.11,45.67,34.96,2448873
2003-05-16,45.56,46.67,45.56,46.21,35.38,3489142
2003-05-19,46.01,47.58,46.01,47.26,36.18,6396583
2003-05-20,46.89,47.29,46.06,46.46,35.57,3148276
2003-05-21,46.89,46.89,45.64,45.81,35.08,1862833
2003-05-22,53.36,53.36,45.56,46.21,35.38,1791076
2003-05-23,46.16,46.75,46.16,46.58,35.66,1373706
2003-05-26,46.67,48.29,46.53,48.08,36.81,4894362
2003-05-27,48.22,48.82,45.92,46.28,35.43,7105657
2003-05-28,47.75,47.86,46.0,47.61,36.46,3712023
2003-05-29,47.78,48.87,47.13,48.66,37.25,5224581
2003-05-30,48.66,49.69,48.66,49.41,37.83,4152546
2003-06-02,49.78,50.56,49.78,50.36,38.55,3242803
2003-06-03,50.02,50.44,49.15,49.37,37.8,1430689
2003-06-04,49.98,50.0,49.24,49.37,37.8,1068138
2003-06-05,49.39,50.2,47.8,48.1,36.83,3443076
2003-06-06,48.42,48.64,47.89,48.24,36.93,1747786
2003-06-09,48.84,51.4,48.46,51.13,39.15,6396615
2003-06-10,51.51,51.76,49.81,50.12,38.38,4297000
2003-06-11,49.78,51.56,49.78,51.1,39.13,4111735
2003-06-12,51.22,51.72,50.12,50.39,38.58,4344498
2003-06-13,50.29,52.0,50.29,50.9,38.97,4867375
2003-06-16,50.67,52.92,50.0,52.44,40.15,8525331
2003-06-17,54.22,54.59,53.01,53.24,40.77,13718533
2003-06-18,54.7,55.15,51.61,53.04,40.61,15770079
2003-06-19,52.89,53.96,52.44,53.2,40.73,6666084
2003-06-20,53.2,53.29,52.47,52.96,40.55,2697939
2003-06-23,53.33,54.44,51.44,51.68,39.57,3373938
2003-06-24,53.89,53.89,51.22,51.46,39.4,5281303
2003-06-25,51.38,53.56,51.38,53.19,40.73,8903992
2003-06-26,52.26,53.56,52.26,52.79,40.42,5695362
2003-06-27,52.67,55.56,52.35,55.24,42.3,9098905
2003-06-30,55.56,56.56,54.24,54.55,41.76,3679546
2003-07-01,54.24,54.89,53.59,53.99,41.34,2276514
2003-07-02,54.2,56.0,54.07,55.49,42.49,5913324
2003-07-03,55.87,56.64,54.7,55.44,42.44,4326223
2003-07-04,54.89,57.19,54.89,56.9,43.57,5573965
