Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,508.1,512.55,505.0,505.15,411.48,7100
2002-08-13,503.5,515.0,503.5,509.05,414.65,8800
2002-08-14,502.1,515.0,502.1,514.4,419.01,18700
2002-08-15,514.4,514.4,514.4,514.4,419.01,0
2002-08-16,516.0,516.85,510.0,511.0,416.24,9400
2002-08-19,515.0,518.95,512.05,513.0,417.87,9100
2002-08-20,516.5,547.35,513.3,523.3,426.26,87200
2002-08-21,530.0,533.8,518.0,519.7,423.33,26000
2002-08-22,521.0,531.0,516.55,524.85,427.52,17700
2002-08-23,535.0,572.0,535.0,561.9,457.7,701900
2002-08-26,560.0,560.0,530.0,546.4,445.08,50100
2002-08-27,546.0,558.0,546.0,552.0,449.64,29100
2002-08-28,541.0,557.0,541.0,555.35,452.37,20100
2002-08-29,555.0,567.95,548.0,553.85,451.15,138400
2002-08-30,555.1,559.9,553.0,555.05,452.12,39400
2002-09-02,558.5,561.5,557.0,558.95,455.3,22900
2002-09-03,560.0,560.5,556.0,558.25,454.73,8400
2002-09-04,552.05,560.0,552.05,559.2,455.5,7800
2002-09-05,571.0,578.0,564.0,571.2,465.28,974200
2002-09-06,570.0,570.0,562.0,565.4,460.55,14500
2002-09-09,560.0,563.7,555.65,560.1,456.24,16800
2002-09-10,560.1,560.1,560.1,560.1,456.24,0
2002-09-11,563.5,563.5,556.0,560.55,456.6,32400
2002-09-12,557.15,561.0,557.15,560.0,456.16,13200
2002-09-13,560.0,560.0,554.5,557.05,453.75,1900
2002-09-16,551.0,559.75,551.0,558.2,454.69,5300
2002-09-17,558.0,560.95,554.1,560.45,456.52,7300
2002-09-18,556.25,561.0,556.25,560.7,456.73,7800
2002-09-19,560.0,560.0,552.5,555.05,452.12,23800
2002-09-20,550.5,561.0,550.5,552.4,449.96,2900
2002-09-23,550.4,560.0,550.4,557.6,454.2,6000
2002-09-24,557.95,580.0,553.0,570.85,464.99,195900
2002-09-25,567.95,569.0,559.0,561.65,457.5,16700
2002-09-26,560.1,563.0,557.6,559.15,455.46,4700
2002-09-27,568.9,568.9,555.0,562.6,458.27,58000
2002-09-30,566.0,571.4,563.3,570.0,464.3,151700
2002-10-01,563.0,565.55,558.0,560.65,456.68,7000
2002-10-02,560.65,560.65,560.65,560.65,456.68,0
2002-10-03,560.0,567.4,560.0,564.0,459.41,8900
2002-10-04,568.85,569.0,564.0,565.75,460.84,6800
2002-10-07,557.0,569.6,557.0,566.05,461.08,13700
2002-10-08,556.0,568.0,556.0,566.5,461.45,8200
2002-10-09,562.0,566.95,562.0,564.7,459.98,8800
2002-10-10,562.55,569.0,562.25,566.55,461.49,37100
2002-10-11,562.5,564.0,560.0,561.2,457.13,10600
2002-10-14,575.0,575.0,560.05,560.15,456.28,1600
2002-10-15,560.15,560.15,560.15,560.15,456.28,0
2002-10-16,560.0,561.0,556.5,560.15,456.28,5600
2002-10-17,555.25,564.5,554.5,561.15,457.09,12400
2002-10-18,557.1,567.8,557.1,562.6,458.27,34500
2002-10-21,558.1,564.0,545.2,548.35,446.67,29200
2002-10-22,585.0,591.0,550.0,552.3,449.88,13400
2002-10-23,555.0,558.0,548.5,555.3,452.33,20400
2002-10-24,548.05,564.5,548.05,560.8,456.81,10700
2002-10-25,547.5,563.0,547.5,559.6,455.83,30200
