Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,18.75,18.75,18.18,18.29,13.38,61742312
1998-11-17,18.25,18.75,18.18,18.62,13.63,69072683
1998-11-18,18.64,18.92,18.64,18.81,13.77,42323810
1998-11-19,18.75,19.26,18.44,18.49,13.53,122449570
1998-11-20,18.42,18.8,18.32,18.52,13.55,69651124
1998-11-23,18.41,18.44,18.09,18.16,13.29,43784132
1998-11-24,18.26,18.39,18.08,18.08,13.23,46021633
1998-11-25,18.08,18.08,18.08,18.08,13.23,0
1998-11-26,17.95,18.29,17.51,17.55,12.85,57825391
1998-11-27,17.54,17.67,17.17,17.32,12.68,56790983
1998-11-30,17.05,17.37,16.95,17.37,12.71,36558785
1998-12-01,17.28,17.47,17.21,17.35,12.7,44617540
1998-12-02,17.51,17.85,17.35,17.49,12.8,65119892
1998-12-03,17.51,17.52,17.3,17.33,12.68,32508403
1998-12-04,17.32,17.6,17.27,17.56,12.85,33811674
1998-12-07,17.55,17.98,17.5,17.93,13.12,43666828
1998-12-08,17.87,18.01,17.72,17.96,13.15,35002810
1998-12-09,18.23,18.6,18.1,18.29,13.38,75088473
1998-12-10,18.43,18.63,18.34,18.48,13.53,51304516
1998-12-11,18.58,18.61,18.4,18.54,13.57,36491893
1998-12-14,18.52,18.64,18.22,18.28,13.38,30957599
1998-12-15,18.18,18.33,17.83,17.83,13.05,63813390
1998-12-16,17.86,18.04,17.74,18.03,13.2,27831753
1998-12-17,17.41,17.82,17.28,17.33,12.68,39557955
1998-12-18,17.32,17.56,17.28,17.43,12.76,29786174
1998-12-21,17.68,18.07,17.64,18.04,13.2,38727132
1998-12-22,18.07,18.35,17.72,18.29,13.38,58902779
1998-12-23,18.57,18.57,18.04,18.04,13.2,42063349
1998-12-24,17.96,18.12,17.89,18.0,13.17,28707494
1998-12-25,18.0,18.0,18.0,18.0,13.17,0
1998-12-28,18.26,18.78,18.18,18.64,13.64,55481573
1998-12-29,18.64,18.71,18.34,18.46,13.51,37313021
1998-12-30,18.77,19.27,18.74,19.01,13.91,56125937
1998-12-31,19.0,19.0,18.51,18.51,13.54,34059208
1999-01-01,18.57,18.95,18.51,18.91,13.84,42506713
1999-01-04,19.03,19.38,18.93,19.11,13.98,58409003
1999-01-05,19.15,19.19,18.92,19.03,13.93,39928933
1999-01-06,19.38,19.44,19.14,19.19,14.04,45933736
1999-01-07,19.26,20.39,19.23,20.11,14.72,109573918
1999-01-08,20.58,21.72,20.33,21.72,15.9,115319230
1999-01-11,22.59,23.46,22.45,22.45,16.43,107614973
1999-01-12,22.09,22.41,21.53,21.91,16.03,64093240
1999-01-13,22.2,22.4,21.24,21.45,15.69,80962722
1999-01-14,20.8,21.51,20.69,21.07,15.42,55017527
1999-01-15,21.35,21.38,20.66,20.9,15.29,50284649
1999-01-18,21.18,21.18,19.96,20.97,15.34,92937428
1999-01-19,20.66,20.66,20.04,20.12,14.73,64407343
1999-01-20,20.12,20.12,20.12,20.12,14.73,0
1999-01-20 00:00:00,20.12,20.12,20.12,20.12,14.67,0
1999-01-21,20.19,20.62,19.61,20.62,15.09,55429869
1999-01-21 00:00:00,20.19,20.62,19.61,20.62,15.03,55429869
1999-01-22,20.73,21.47,20.67,20.9,15.3,57295746
1999-01-22 00:00:00,20.73,21.47,20.67,20.9,15.24,57295746
1999-01-25,20.58,20.86,20.13,20.61,15.08,52893452
1999-01-25 00:00:00,20.58,20.86,20.13,20.61,15.03,52893452
1999-01-26,20.61,20.61,20.61,20.61,15.08,0
1999-01-26 00:00:00,20.61,20.61,20.61,20.61,15.03,0
1999-01-27,21.0,21.43,20.81,21.08,15.43,44304729
1999-01-27 00:00:00,21.0,21.43,20.81,21.08,15.37,44304729
1999-01-28,20.97,21.2,20.5,20.51,15.01,30859361
1999-01-28 00:00:00,20.97,21.2,20.5,20.51,14.96,30859361
1999-01-29,20.81,20.81,20.35,20.52,15.02,23217149
1999-01-29 00:00:00,20.81,20.81,20.35,20.52,14.97,23217149
1999-02-01,20.35,20.54,19.88,19.88,14.55,21378093
1999-02-01 00:00:00,20.35,20.54,19.88,19.88,14.5,21378093
1999-02-02,19.8,19.93,19.28,19.4,14.2,36072119
1999-02-02 00:00:00,19.8,19.93,19.28,19.4,14.15,36072119
1999-02-03,19.73,20.0,19.54,20.0,14.63,30625399
1999-02-03 00:00:00,19.73,20.0,19.54,20.0,14.58,30625399
1999-02-04,20.03,20.11,19.34,19.43,14.22,30454452
1999-02-04 00:00:00,20.03,20.11,19.34,19.43,14.17,30454452
1999-02-05,19.43,19.54,18.92,18.95,13.87,26564353
1999-02-05 00:00:00,19.43,19.54,18.92,18.95,13.82,26564353
1999-02-08,18.88,19.03,18.31,18.34,13.42,22559212
1999-02-08 00:00:00,18.88,19.03,18.31,18.34,13.37,22559212
1999-02-09,18.27,18.61,18.04,18.61,13.62,34727485
1999-02-09 00:00:00,18.27,18.61,18.04,18.61,13.57,34727485
1999-02-10,18.64,19.08,18.43,19.03,13.93,33699863
1999-02-10 00:00:00,18.64,19.08,18.43,19.03,13.88,33699863
1999-02-11,19.11,19.26,18.85,18.89,13.83,28885551
1999-02-11 00:00:00,19.11,19.26,18.85,18.89,13.78,28885551
1999-02-12,18.95,19.17,18.86,18.89,13.83,21083379
1999-02-12 00:00:00,18.95,19.17,18.86,18.89,13.78,21083379
1999-02-15,18.89,18.95,18.42,18.44,13.49,19089533
1999-02-15 00:00:00,18.89,18.95,18.42,18.44,13.44,19089533
1999-02-16,18.33,18.65,18.27,18.54,13.56,30900078
1999-02-16 00:00:00,18.33,18.65,18.27,18.54,13.52,30900078
1999-02-17,18.69,19.25,18.55,18.85,13.8,43668767
1999-02-17 00:00:00,18.69,19.25,18.55,18.85,13.75,43668767
1999-02-18,19.03,20.36,18.89,20.36,14.9,71578400
1999-02-18 00:00:00,19.03,20.36,18.89,20.36,14.85,71578400
1999-02-19,20.8,21.99,20.75,21.88,16.01,105269539
1999-02-19 00:00:00,20.8,21.99,20.75,21.88,15.95,105269539
1999-02-22,22.11,22.11,20.27,20.27,14.83,83421583
1999-02-22 00:00:00,22.11,22.11,20.27,20.27,14.78,83421583
1999-02-23,20.2,21.34,20.11,21.32,15.6,74438938
1999-02-23 00:00:00,20.2,21.34,20.11,21.32,15.55,74438938
1999-02-24,21.51,22.06,21.17,21.8,15.95,109138633
1999-02-24 00:00:00,21.51,22.06,21.17,21.8,15.9,109138633
1999-02-25,21.68,22.24,21.39,21.62,15.82,90486969
1999-02-25 00:00:00,21.68,22.24,21.39,21.62,15.76,90486969
1999-02-26,21.73,21.96,21.39,21.65,15.84,55732015
1999-02-26 00:00:00,21.73,21.96,21.39,21.65,15.78,55732015
1999-03-01,22.44,22.67,21.92,22.44,16.42,81680765
1999-03-01 00:00:00,22.44,22.67,21.92,22.44,16.36,81680765
