Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,26.92,27.31,26.17,26.47,20.66,20203714
1998-11-17,26.63,28.36,26.63,28.11,21.94,27452035
1998-11-18,28.21,28.74,27.74,27.98,21.83,29177490
1998-11-19,27.97,28.15,27.23,27.24,21.26,17939462
1998-11-20,27.21,27.56,26.37,26.66,20.8,19784940
1998-11-23,26.16,26.16,25.18,25.2,19.66,11630971
1998-11-24,25.3,25.92,24.62,25.03,19.53,30859633
1998-11-25,25.03,25.03,25.03,25.03,19.53,0
1998-11-26,24.92,25.47,23.02,23.14,18.06,29823525
1998-11-27,23.24,23.46,21.74,22.13,17.27,42801097
1998-11-30,21.97,22.97,21.7,22.9,17.87,24938605
1998-12-01,22.88,23.47,22.76,23.21,18.11,25845820
1998-12-02,23.47,23.89,22.66,22.97,17.92,17220370
1998-12-03,22.94,23.16,22.65,22.94,17.9,8992561
1998-12-04,22.9,23.49,22.75,23.49,18.33,18458690
1998-12-07,23.67,25.25,23.5,24.92,19.45,24205685
1998-12-08,24.84,25.53,24.34,25.47,19.87,21043612
1998-12-09,25.77,26.1,25.51,25.53,19.92,14837922
1998-12-10,25.89,26.83,25.87,26.75,20.87,22460400
1998-12-11,27.02,27.46,26.9,27.39,21.37,22101115
1998-12-14,27.4,27.69,26.65,26.77,20.89,18896251
1998-12-15,26.54,26.7,26.17,26.5,20.68,17928504
1998-12-16,26.48,27.98,26.06,27.96,21.82,39017777
1998-12-17,27.02,27.73,25.78,26.12,20.38,43104024
1998-12-18,26.25,27.3,25.91,27.1,21.14,31104374
1998-12-21,27.86,29.27,27.31,29.27,22.84,30181244
1998-12-22,30.28,30.64,29.06,29.89,23.33,29855879
1998-12-23,30.66,31.01,30.09,30.15,23.53,28806725
1998-12-24,30.11,31.98,30.11,31.87,24.87,42020950
1998-12-25,31.87,31.87,31.87,31.87,24.87,0
1998-12-28,32.77,33.61,32.43,32.99,25.74,30783966
1998-12-29,32.58,33.4,32.22,33.3,25.98,24023825
1998-12-30,34.21,34.21,31.65,32.33,25.22,38591957
1998-12-31,31.84,32.56,30.79,31.35,24.46,43068017
1999-01-01,31.6,32.16,31.05,31.84,24.84,18835718
1999-01-04,32.02,32.66,31.56,31.68,24.72,18245781
1999-01-05,31.71,34.22,31.28,34.22,26.7,38938718
1999-01-06,34.64,35.32,33.87,35.22,27.48,40059886
1999-01-07,35.27,36.85,35.16,36.7,28.63,35983032
1999-01-08,37.64,39.64,37.62,39.64,30.93,35565562
1999-01-11,42.15,42.81,41.78,42.81,33.4,19857214
1999-01-12,41.78,42.63,39.65,41.01,32.0,33622761
1999-01-13,41.38,41.39,39.09,39.81,31.06,25379036
1999-01-14,38.06,43.0,37.87,43.0,33.55,69784784
1999-01-15,44.46,44.46,40.64,40.82,31.85,48804314
1999-01-18,41.03,41.2,39.67,41.06,32.04,18413291
