Date,Open,High,Low,Close,Adj Close,Volume
2006-08-28,130.25,142.25,125.5,138.56,107.97,60664652
2006-08-29,138.75,140.98,133.89,134.82,105.06,15716452
2006-08-30,134.25,135.73,130.38,132.02,102.88,8139932
2006-08-31,131.25,136.0,128.75,134.61,104.89,6683960
2006-09-01,134.75,137.25,133.77,135.46,105.56,4704780
2006-09-04,135.5,137.25,113.2,135.99,105.96,2999152
2006-09-05,136.0,139.0,134.62,138.18,107.67,3824532
2006-09-06,138.68,140.62,134.5,135.31,105.44,3830444
2006-09-07,136.25,136.25,132.5,134.32,104.67,1404644
2006-09-08,134.7,136.23,132.89,133.7,104.18,1078636
2006-09-11,134.99,136.25,133.06,133.99,104.41,1681864
2006-09-12,133.99,136.71,133.5,134.46,104.78,2056784
2006-09-13,135.25,137.25,135.25,136.18,106.11,1607788
2006-09-14,136.3,139.38,136.27,137.46,107.11,2138440
2006-09-15,137.54,138.5,134.75,135.05,105.23,839132
2006-09-18,136.0,140.5,136.0,136.62,106.46,897504
2006-09-19,137.01,155.96,136.62,146.06,113.81,19172256
2006-09-20,144.95,153.48,143.31,151.26,117.87,9057312
2006-09-21,144.25,156.75,144.25,152.24,118.63,7104400
2006-09-22,156.25,156.25,148.31,150.29,117.11,2906004
2006-09-25,148.81,152.93,147.51,148.39,115.63,2542148
2006-09-26,149.95,156.5,148.5,154.4,120.31,6943500
2006-09-27,154.88,157.95,154.07,154.86,120.67,4061248
2006-09-28,156.18,156.18,152.04,153.25,119.42,1210420
2006-09-29,153.75,157.5,152.5,154.6,120.47,2381504
2006-10-03,154.75,158.96,153.75,154.85,120.66,3202624
2006-10-04,155.4,156.0,152.5,153.43,119.55,1202696
2006-10-05,155.3,157.0,154.75,156.04,121.59,857264
2006-10-06,157.25,159.99,154.54,155.32,121.03,2473768
2006-10-09,154.5,156.23,152.5,153.51,119.62,961312
2006-10-10,155.0,156.2,152.59,153.96,119.97,840552
2006-10-11,155.0,163.45,155.0,157.49,122.72,7770292
2006-10-12,158.62,159.27,155.25,157.43,122.67,2884688
2006-10-13,158.77,173.23,158.77,170.49,132.85,10084532
2006-10-16,172.06,179.5,172.06,177.61,138.4,7437840
2006-10-17,178.5,179.25,175.06,176.12,137.24,3306924
2006-10-18,177.5,178.75,170.0,171.01,133.26,3019184
2006-10-19,175.0,198.0,175.0,193.18,150.53,18835652
2006-10-20,194.75,225.0,194.0,215.84,168.18,21011380
2006-10-23,239.0,247.24,220.25,224.54,174.96,16687696
2006-10-26,225.0,231.5,223.09,229.66,178.96,10700288
2006-10-27,230.32,253.5,230.32,250.24,194.99,17816692
2006-10-30,252.5,261.95,246.25,251.64,196.08,12570116
2006-10-31,252.0,256.25,239.15,247.43,192.8,8952160
2006-11-01,250.25,256.0,245.65,252.31,196.61,7815152
2006-11-02,252.0,254.66,248.79,250.62,195.29,4379712
2006-11-03,251.0,251.25,246.25,248.0,193.25,2850172
2006-11-06,250.0,255.25,245.75,249.57,194.47,3482952
2006-11-07,253.43,253.6,246.81,247.74,193.04,2035924
2006-11-08,249.65,251.25,242.25,247.68,192.99,3295280
2006-11-09,250.5,250.7,245.5,246.9,192.39,1888468
2006-11-10,248.6,257.75,243.75,249.84,194.68,5312484
2006-11-13,250.0,254.21,248.62,251.44,195.93,2536604
2006-11-14,252.5,253.75,247.79,249.04,194.06,2367328
2006-11-15,250.0,272.45,249.38,268.4,209.14,10842812
2006-11-16,268.76,291.65,265.55,288.24,224.6,16836432
2006-11-17,290.0,294.42,274.5,278.77,217.23,8229376
2006-11-20,275.0,287.2,265.1,284.77,221.9,7255332
2006-11-21,282.66,302.42,282.66,295.59,230.33,7310604
2006-11-22,296.75,299.94,292.12,293.62,228.8,3415848
2006-11-23,296.25,296.25,285.05,287.42,223.97,2498644
2006-11-24,275.26,295.55,275.26,285.23,222.25,3247380
2006-11-27,285.9,287.49,279.17,281.76,219.56,1628732
2006-11-28,279.99,288.0,268.83,279.08,217.46,3116228
2006-11-29,281.25,287.25,279.3,281.23,219.14,1654736
2006-11-30,282.67,284.25,278.02,280.62,218.67,974100
2006-12-01,282.5,286.62,278.27,280.06,218.23,1191888
2006-12-04,281.25,284.42,277.55,278.19,216.77,1164244
2006-12-05,278.38,294.17,276.25,291.62,227.24,4355516
2006-12-06,293.75,298.0,281.58,284.06,221.35,4025108
2006-12-07,283.75,292.62,281.31,284.99,222.07,3723552
2006-12-08,287.5,287.5,280.55,281.42,219.29,1497532
2006-12-11,284.67,286.5,268.52,274.0,213.51,2571276
2006-12-12,275.0,280.5,253.5,260.44,202.94,3110364
2006-12-13,261.5,273.45,252.52,270.17,210.53,1982848
2006-12-14,272.75,283.42,270.75,277.35,216.12,2178500
2006-12-15,279.0,285.42,260.0,282.67,220.27,1635840
2006-12-18,285.6,301.0,280.08,298.64,232.7,5219292
2006-12-19,300.0,305.0,285.65,288.58,224.86,6729012
2006-12-20,292.5,321.25,287.76,310.75,242.14,11956348
2006-12-21,312.5,372.9,312.5,372.9,290.57,15146256
2006-12-22,377.5,437.17,377.5,413.88,322.5,20895484
2006-12-26,412.49,430.0,412.49,417.15,325.05,6855504
2006-12-27,422.5,424.0,410.33,412.05,321.08,3575472
2006-12-28,414.44,430.5,400.0,423.69,330.15,11967428
2006-12-29,423.75,433.25,412.75,418.14,325.82,5411044
2007-01-02,420.8,429.0,416.25,417.34,325.2,4740064
2007-01-03,418.5,421.51,414.12,416.02,324.18,2247252
2007-01-04,418.25,426.25,408.75,410.41,319.8,4100492
2007-01-05,411.88,419.75,408.83,410.8,320.1,2579764
2007-01-08,415.0,428.5,412.5,419.49,326.87,5459340
2007-01-09,421.25,423.5,408.75,411.96,321.01,2600788
2007-01-10,411.77,426.25,408.98,421.89,328.74,4744576
2007-01-11,425.25,448.42,418.5,444.83,346.62,9391396
2007-01-12,449.25,468.0,449.25,461.49,359.6,8227948
2007-01-15,474.5,474.5,462.59,466.9,363.82,3058548
2007-01-16,470.0,471.67,447.58,450.91,351.36,3540304
2007-01-17,461.1,499.75,452.5,495.2,385.87,16050504
2007-01-18,502.75,512.0,462.8,474.64,369.85,14094072
2007-01-19,481.27,485.0,441.33,444.15,346.09,12325108
2007-01-22,447.0,456.25,431.27,440.54,343.28,10062700
2007-01-23,440.54,449.73,433.74,436.85,340.4,5518488
2007-01-24,472.5,472.5,437.81,442.85,345.08,2782500
2007-01-25,445.0,457.5,444.5,448.25,349.29,5086700
2007-01-29,452.5,452.74,436.41,437.99,341.29,2466604
2007-01-31,443.66,445.0,432.67,435.79,339.57,2301736
2007-02-01,437.5,451.25,435.0,448.42,349.42,3664052
2007-02-02,451.25,456.0,445.88,448.46,349.45,2710264
2007-02-05,448.75,449.25,440.12,441.46,344.0,1382504
2007-02-06,442.5,460.98,440.55,448.71,349.65,4893920
2007-02-07,452.0,455.48,444.5,446.21,347.7,2094100
2007-02-08,448.75,452.25,441.27,443.2,345.35,1517868
2007-02-09,442.5,447.64,432.52,434.73,338.75,1604412
2007-02-12,435.0,435.5,412.75,414.85,323.26,1617212
2007-02-13,414.99,428.42,403.08,417.6,325.4,2298232
2007-02-14,413.75,418.25,407.9,411.52,320.67,1275936
2007-02-15,418.94,428.75,416.25,420.95,328.01,1930092
2007-02-19,425.75,436.0,420.75,422.58,329.28,3192748
2007-02-20,426.19,428.25,412.5,413.64,322.31,1739340
2007-02-21,415.0,419.75,412.5,414.48,322.97,1348596
2007-02-22,416.75,426.75,407.5,420.26,327.48,2522264
2007-02-23,421.25,426.7,390.0,396.74,309.15,2577928
2007-02-26,440.0,440.0,360.0,373.04,290.68,5254868
2007-02-27,369.67,387.0,367.75,374.24,291.61,4215328
2007-02-28,339.75,370.0,327.75,358.88,279.64,2965084
2007-03-01,338.75,380.0,338.75,373.85,291.31,3737944
2007-03-02,373.76,383.42,361.76,365.81,285.05,3139468
2007-03-05,361.85,361.85,331.27,334.44,260.6,3429088
2007-03-06,338.76,355.0,317.75,323.14,251.8,6161912
2007-03-07,328.75,336.6,315.75,325.74,253.82,4047368
2007-03-08,327.67,342.7,321.41,339.49,264.54,3271228
2007-03-09,343.5,346.0,327.5,329.6,256.83,1657092
2007-03-12,332.5,349.42,328.31,343.55,267.7,3362084
2007-03-13,346.1,377.5,338.0,373.48,291.02,8575144
2007-03-14,362.5,368.75,352.75,359.11,279.83,5787068
2007-03-15,365.27,381.0,361.24,363.83,283.5,4087188
2007-03-16,365.0,370.0,352.83,359.36,280.02,2597852
2007-03-19,362.5,368.75,359.25,362.06,282.13,2027760
2007-03-20,364.73,369.67,356.33,359.7,280.29,1466248
2007-03-21,361.25,366.12,357.5,361.02,281.61,1451708
2007-03-22,366.52,374.75,366.34,370.44,288.95,2371352
2007-03-23,372.5,373.62,366.38,368.86,287.73,1242592
2007-03-26,370.5,375.67,366.25,367.81,286.91,1492912
2007-03-28,367.5,367.5,356.0,357.69,279.01,989372
2007-03-29,360.01,360.75,355.0,357.5,278.86,755340
2007-03-30,360.0,365.5,354.51,356.77,278.3,1031664
2007-04-02,350.0,350.5,332.25,335.25,261.51,1219916
2007-04-03,338.75,340.5,332.76,335.71,261.87,1188476
2007-04-04,341.0,346.25,338.75,342.98,267.53,1374500
2007-04-05,345.05,348.75,338.8,344.0,268.33,680484
2007-04-09,346.25,357.17,346.25,353.73,275.92,1424248
2007-04-10,355.0,357.25,345.75,349.75,272.82,903320
2007-04-11,352.5,354.5,347.75,349.17,272.37,528596
2007-04-12,346.25,357.0,342.99,351.99,274.56,1664952
2007-04-13,356.0,376.94,355.0,373.62,291.44,3885108
2007-04-16,378.75,388.83,377.75,380.42,296.74,1960788
2007-04-17,382.5,383.5,359.5,363.56,283.59,2395000
2007-04-18,365.0,377.65,365.0,369.94,288.56,1244392
2007-04-19,362.5,380.98,352.5,377.27,294.29,2409344
2007-04-20,382.5,388.75,377.98,380.0,296.41,2131804
2007-04-23,384.1,385.73,373.26,375.3,292.75,1171804
2007-04-24,362.83,385.75,356.56,379.42,295.96,1718624
2007-04-25,382.5,382.5,373.12,375.65,293.02,648640
2007-04-26,379.67,385.25,373.75,377.38,294.37,1302300
2007-04-27,378.92,378.96,368.0,369.1,287.91,666392
2007-04-30,372.5,402.49,367.5,397.35,309.95,4008224
2007-05-03,403.75,411.0,395.88,401.64,313.29,4097128
2007-05-04,402.5,418.12,396.27,412.23,321.55,5801992
2007-05-07,432.2,432.2,402.5,406.27,316.91,4750716
2007-05-08,400.0,406.75,386.0,389.52,303.84,6116948
2007-05-09,392.99,396.25,381.26,386.06,301.14,2351152
2007-05-10,389.46,393.5,377.89,379.79,296.25,1597688
2007-05-11,375.0,383.5,365.0,378.15,294.97,2108812
2007-05-14,384.75,387.1,379.51,382.73,298.54,1307840
2007-05-15,384.12,384.12,376.25,378.2,295.01,850668
2007-05-16,376.25,383.0,371.06,374.34,292.0,1011048
2007-05-17,375.0,380.92,371.25,373.33,291.21,1284148
2007-05-18,372.5,383.75,372.5,376.05,293.33,1093228
2007-05-21,378.75,383.62,369.05,371.2,289.55,751952
2007-05-22,368.75,375.0,366.5,370.69,289.15,857480
2007-05-23,371.25,374.99,366.25,367.94,287.0,677432
2007-05-24,368.75,381.0,367.0,369.81,288.47,1546840
2007-05-25,367.5,393.75,365.49,389.94,304.16,4573228
2007-05-28,394.5,397.5,375.33,377.11,294.16,1768156
2007-05-29,378.75,379.95,371.25,373.02,290.97,1171272
2007-05-30,372.41,379.25,370.25,371.85,290.06,706176
2007-05-31,375.0,378.38,371.75,373.23,291.13,617104
2007-06-01,375.0,383.5,373.0,376.49,293.67,1131600
2007-06-04,378.75,379.75,373.05,377.01,294.08,856940
2007-06-05,376.75,380.0,373.89,377.51,294.47,695740
2007-06-06,378.0,390.5,376.25,377.75,294.66,2899708
2007-06-07,377.5,381.75,372.5,378.71,295.41,1235752
2007-06-08,375.0,386.25,373.27,375.81,293.15,1559328
2007-06-11,378.75,381.75,373.5,375.35,292.79,780196
2007-06-12,375.26,377.5,370.75,374.98,292.49,658640
2007-06-13,375.0,378.0,371.04,372.65,290.68,477996
2007-06-14,375.0,377.5,371.25,371.79,290.01,516980
2007-06-15,374.75,377.0,369.19,370.17,288.75,435000
2007-06-18,371.25,374.25,363.85,364.67,284.46,533236
