Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,20.4,20.8,19.33,20.27,16.83,3214200
2002-07-01 00:00:00,20.4,20.8,19.33,20.27,16.56,3214200
2002-07-02,21.27,21.33,19.87,20.2,16.78,3379200
2002-07-02 00:00:00,21.27,21.33,19.87,20.2,16.51,3379200
2002-07-03,20.53,20.6,19.4,19.87,16.5,1529400
2002-07-03 00:00:00,20.53,20.6,19.4,19.87,16.23,1529400
2002-07-04,20.13,21.87,19.33,21.87,18.16,6073950
2002-07-04 00:00:00,20.13,21.87,19.33,21.87,17.87,6073950
2002-07-05,22.53,24.07,22.53,24.07,19.99,19643850
2002-07-05 00:00:00,22.53,24.07,22.53,24.07,19.67,19643850
2002-07-08,24.53,26.53,24.53,26.53,22.04,13011600
2002-07-08 00:00:00,24.53,26.53,24.53,26.53,21.68,13011600
2002-07-09,28.07,28.07,24.2,25.13,20.87,13130550
2002-07-09 00:00:00,28.07,28.07,24.2,25.13,20.54,13130550
2002-07-10,26.6,26.6,23.93,24.07,19.99,2718750
2002-07-10 00:00:00,26.6,26.6,23.93,24.07,19.67,2718750
2002-07-11,23.33,24.27,22.13,22.33,18.55,4111950
2002-07-11 00:00:00,23.33,24.27,22.13,22.33,18.25,4111950
2002-07-12,23.13,24.6,23.13,24.6,20.43,5007450
2002-07-12 00:00:00,23.13,24.6,23.13,24.6,20.1,5007450
2002-07-15,24.8,26.0,22.13,22.47,18.66,8096850
2002-07-15 00:00:00,24.8,26.0,22.13,22.47,18.36,8096850
2002-07-16,21.67,23.33,20.93,21.53,17.88,5956050
2002-07-16 00:00:00,21.67,23.33,20.93,21.53,17.6,5956050
2002-07-17,21.33,21.8,19.6,20.8,17.28,2810700
2002-07-17 00:00:00,21.33,21.8,19.6,20.8,17.0,2810700
2002-07-18,21.0,22.93,20.8,22.87,18.99,5012100
2002-07-18 00:00:00,21.0,22.93,20.8,22.87,18.68,5012100
2002-07-19,23.33,23.47,22.0,22.73,18.88,3774000
2002-07-19 00:00:00,23.33,23.47,22.0,22.73,18.58,3774000
2002-07-22,21.47,22.53,20.47,20.53,17.05,1683750
2002-07-22 00:00:00,21.47,22.53,20.47,20.53,16.78,1683750
2002-07-23,20.4,21.0,19.33,20.93,17.39,3225000
2002-07-23 00:00:00,20.4,21.0,19.33,20.93,17.11,3225000
2002-07-23 00:00:00,20.4,21.0,19.33,20.93,17.1,3225000
2002-07-24,20.0,21.6,19.8,20.07,16.67,1744650
2002-07-24 00:00:00,20.0,21.6,19.8,20.07,16.4,1744650
2002-07-25,21.27,21.27,19.33,19.93,16.56,1252500
2002-07-25 00:00:00,21.27,21.27,19.33,19.93,16.29,1252500
2002-07-26,18.73,18.8,18.27,18.33,15.23,1659900
2002-07-26 00:00:00,18.73,18.8,18.27,18.33,14.98,1659900
2002-07-29,19.73,19.73,16.53,16.73,13.9,1380000
2002-07-29 00:00:00,19.73,19.73,16.53,16.73,13.67,1380000
2002-07-30,17.07,17.33,15.07,15.2,12.62,1443750
2002-07-30 00:00:00,17.07,17.33,15.07,15.2,12.42,1443750
2002-07-31,15.33,15.73,13.73,15.2,12.62,1516200
2002-07-31 00:00:00,15.33,15.73,13.73,15.2,12.42,1516200
2002-08-01,15.2,16.73,15.2,16.73,13.9,2956500
2002-08-01 00:00:00,15.2,16.73,15.2,16.73,13.67,2956500
2002-08-02,17.13,17.47,15.87,17.27,14.34,1076700
2002-08-02 00:00:00,17.13,17.47,15.87,17.27,14.11,1076700
2002-08-05,16.87,18.53,16.87,17.73,14.73,1203900
2002-08-05 00:00:00,16.87,18.53,16.87,17.73,14.49,1203900
2002-08-06,17.8,17.87,17.0,17.47,14.51,1047000
2002-08-06 00:00:00,17.8,17.87,17.0,17.47,14.27,1047000
2002-08-07,17.47,18.0,17.47,17.87,14.84,507000
2002-08-07 00:00:00,17.47,18.0,17.47,17.87,14.6,507000
2002-08-08,17.87,17.87,16.53,16.73,13.9,455250
2002-08-08 00:00:00,17.87,17.87,16.53,16.73,13.67,455250
2002-08-09,16.4,17.33,16.0,16.93,14.06,855150
2002-08-09 00:00:00,16.4,17.33,16.0,16.93,13.84,855150
2002-08-12,17.33,17.73,16.8,17.73,14.73,420000
2002-08-12 00:00:00,17.33,17.73,16.8,17.73,14.49,420000
2002-08-13,16.67,17.8,16.67,17.2,14.29,285150
2002-08-13 00:00:00,16.67,17.8,16.67,17.2,14.05,285150
2002-08-14,16.8,17.33,16.8,17.0,14.12,195000
2002-08-14 00:00:00,16.8,17.33,16.8,17.0,13.89,195000
2002-08-15,17.0,17.0,17.0,17.0,14.12,0
2002-08-15 00:00:00,17.0,17.0,17.0,17.0,13.89,0
2002-08-16,17.33,17.33,16.93,17.07,14.17,270300
2002-08-16 00:00:00,17.33,17.33,16.93,17.07,13.95,270300
2002-08-19,16.93,17.33,16.93,16.93,14.06,390000
2002-08-19 00:00:00,16.93,17.33,16.93,16.93,13.84,390000
2002-08-20,16.67,17.53,16.67,17.33,14.4,597600
2002-08-20 00:00:00,16.67,17.53,16.67,17.33,14.16,597600
2002-08-21,17.53,17.53,17.13,17.13,14.23,272400
2002-08-21 00:00:00,17.53,17.53,17.13,17.13,14.0,272400
2002-08-22,17.8,17.8,16.33,17.13,14.23,277650
2002-08-22 00:00:00,17.8,17.8,16.33,17.13,14.0,277650
2002-08-23,17.67,18.0,17.2,17.33,14.4,1950150
2002-08-23 00:00:00,17.67,18.0,17.2,17.33,14.16,1950150
2002-08-26,17.6,18.47,17.2,17.47,14.51,1635150
2002-08-26 00:00:00,17.6,18.47,17.2,17.47,14.27,1635150
2002-08-27,18.67,18.67,16.67,16.8,13.95,252000
2002-08-27 00:00:00,18.67,18.67,16.67,16.8,13.73,252000
2002-08-28,16.67,16.67,16.67,16.67,13.84,150000
2002-08-28 00:00:00,16.67,16.67,16.67,16.67,13.62,150000
2002-08-29,16.33,17.2,16.33,16.53,13.73,600000
2002-08-29 00:00:00,16.33,17.2,16.33,16.53,13.51,600000
2002-08-30,16.67,17.67,16.2,17.13,14.23,1147500
2002-08-30 00:00:00,16.67,17.67,16.2,17.13,14.0,1147500
2002-09-02,18.27,18.33,17.0,17.27,14.34,2115000
2002-09-02 00:00:00,18.27,18.33,17.0,17.27,14.11,2115000
2002-09-03,16.8,17.33,16.8,16.8,13.95,405000
2002-09-03 00:00:00,16.8,17.33,16.8,16.8,13.73,405000
2002-09-04,16.4,16.4,15.13,15.2,12.62,187500
2002-09-04 00:00:00,16.4,16.4,15.13,15.2,12.42,187500
2002-09-05,14.8,15.4,14.8,15.4,12.79,150000
2002-09-05 00:00:00,14.8,15.4,14.8,15.4,12.58,150000
2002-09-06,16.53,17.0,16.2,16.33,13.57,1282500
2002-09-06 00:00:00,16.53,17.0,16.2,16.33,13.35,1282500
2002-09-09,15.8,15.8,15.33,15.4,12.79,1155000
2002-09-09 00:00:00,15.8,15.8,15.33,15.4,12.58,1155000
2002-09-10,15.4,15.4,15.4,15.4,12.79,0
2002-09-10 00:00:00,15.4,15.4,15.4,15.4,12.58,0
2002-09-11,16.0,16.0,15.33,15.67,13.01,712500
2002-09-11 00:00:00,16.0,16.0,15.33,15.67,12.8,712500
2002-09-12,15.73,16.67,15.6,16.67,13.84,1154700
2002-09-12 00:00:00,15.73,16.67,15.6,16.67,13.62,1154700
2002-09-13,16.4,17.33,16.27,17.13,14.23,635400
2002-09-13 00:00:00,16.4,17.33,16.27,17.13,14.0,635400
2002-09-16,17.33,17.87,16.67,17.2,14.29,1455750
2002-09-16 00:00:00,17.33,17.87,16.67,17.2,14.05,1455750
2002-09-17,17.33,18.13,17.33,17.93,14.89,1317600
2002-09-17 00:00:00,17.33,18.13,17.33,17.93,14.65,1317600
2002-09-18,17.67,18.4,17.33,18.13,15.06,2128500
2002-09-18 00:00:00,17.67,18.4,17.33,18.13,14.82,2128500
2002-09-19,19.33,19.47,17.33,17.33,14.4,2949300
2002-09-19 00:00:00,19.33,19.47,17.33,17.33,14.16,2949300
2002-09-20,17.47,18.27,17.33,18.13,15.06,1207500
2002-09-20 00:00:00,17.47,18.27,17.33,18.13,14.82,1207500
2002-09-23,18.0,18.67,17.33,18.47,15.34,645000
2002-09-23 00:00:00,18.0,18.67,17.33,18.47,15.09,645000
2002-09-24,17.4,17.6,17.4,17.6,14.62,345000
2002-09-24 00:00:00,17.4,17.6,17.4,17.6,14.38,345000
2002-09-25,17.47,17.47,17.4,17.4,14.45,180000
2002-09-25 00:00:00,17.47,17.47,17.4,17.4,14.22,180000
2002-09-26,17.4,18.6,17.0,18.27,15.17,585000
2002-09-26 00:00:00,17.4,18.6,17.0,18.27,14.93,585000
2002-09-27,18.27,18.67,18.13,18.4,15.28,390000
2002-09-27 00:00:00,18.27,18.67,18.13,18.4,15.03,390000
2002-09-30,17.53,18.53,17.53,18.33,15.23,2257500
2002-09-30 00:00:00,17.53,18.53,17.53,18.33,14.98,2257500
2002-10-01,17.73,18.0,17.67,17.8,14.78,106500
2002-10-01 00:00:00,17.73,18.0,17.67,17.8,14.54,106500
2002-10-02,17.8,17.8,17.8,17.8,14.78,0
2002-10-02 00:00:00,17.8,17.8,17.8,17.8,14.54,0
2002-10-03,18.0,18.0,17.47,17.47,14.51,315000
2002-10-03 00:00:00,18.0,18.0,17.47,17.47,14.27,315000
2002-10-04,17.2,17.87,17.2,17.33,14.4,225150
2002-10-04 00:00:00,17.2,17.87,17.2,17.33,14.16,225150
2002-10-07,16.73,17.67,16.67,17.67,14.67,180000
2002-10-07 00:00:00,16.73,17.67,16.67,17.67,14.44,180000
2002-10-08,17.33,17.33,16.8,17.0,14.12,939000
2002-10-08 00:00:00,17.33,17.33,16.8,17.0,13.89,939000
2002-10-09,17.0,17.33,17.0,17.0,14.12,111000
2002-10-09 00:00:00,17.0,17.33,17.0,17.0,13.89,111000
2002-10-10,17.6,17.6,16.93,17.6,14.62,150000
2002-10-10 00:00:00,17.6,17.6,16.93,17.6,14.38,150000
2002-10-11,18.67,18.67,17.6,17.93,14.89,660000
2002-10-11 00:00:00,18.67,18.67,17.6,17.93,14.65,660000
2002-10-14,18.13,18.13,17.33,17.53,14.56,285000
2002-10-14 00:00:00,18.13,18.13,17.33,17.53,14.33,285000
2002-10-15,17.53,17.53,17.53,17.53,14.56,0
2002-10-15 00:00:00,17.53,17.53,17.53,17.53,14.33,0
2002-10-16,17.33,17.33,17.33,17.33,14.4,15000
2002-10-16 00:00:00,17.33,17.33,17.33,17.33,14.16,15000
2002-10-17,16.53,17.33,16.47,17.33,14.4,213750
2002-10-17 00:00:00,16.53,17.33,16.47,17.33,14.16,213750
2002-10-18,16.87,16.87,16.87,16.87,14.01,30000
2002-10-18 00:00:00,16.87,16.87,16.87,16.87,13.78,30000
2002-10-21,17.33,17.33,16.47,16.8,13.95,225000
2002-10-21 00:00:00,17.33,17.33,16.47,16.8,13.73,225000
2002-10-22,16.53,16.53,16.47,16.47,13.68,75000
2002-10-22 00:00:00,16.53,16.53,16.47,16.47,13.46,75000
2002-10-23,15.4,16.53,15.4,16.53,13.73,82500
2002-10-23 00:00:00,15.4,16.53,15.4,16.53,13.51,82500
2002-10-24,16.07,16.67,16.07,16.67,13.84,412500
2002-10-24 00:00:00,16.07,16.67,16.07,16.67,13.62,412500
2002-10-25,16.67,16.67,16.33,16.67,13.84,517500
2002-10-25 00:00:00,16.67,16.67,16.33,16.67,13.62,517500
2002-10-28,16.67,16.67,16.33,16.4,13.62,735000
2002-10-28 00:00:00,16.67,16.67,16.33,16.4,13.4,735000
2002-10-29,16.0,16.4,16.0,16.0,13.29,277500
2002-10-29 00:00:00,16.0,16.4,16.0,16.0,13.07,277500
2002-10-30,16.0,16.67,16.0,16.67,13.84,195000
2002-10-30 00:00:00,16.0,16.67,16.0,16.67,13.62,195000
2002-10-31,16.13,16.13,16.0,16.0,13.29,60000
2002-10-31 00:00:00,16.13,16.13,16.0,16.0,13.07,60000
2002-11-01,16.13,16.13,16.13,16.13,13.4,60000
2002-11-01 00:00:00,16.13,16.13,16.13,16.13,13.18,60000
2002-11-04,16.67,16.67,16.33,16.53,13.73,255000
2002-11-04 00:00:00,16.67,16.67,16.33,16.53,13.51,255000
2002-11-05,16.33,17.27,16.33,16.53,13.73,390000
2002-11-05 00:00:00,16.33,17.27,16.33,16.53,13.51,390000
2002-11-06,16.53,16.53,16.53,16.53,13.73,0
2002-11-06 00:00:00,16.53,16.53,16.53,16.53,13.51,0
2002-11-07,17.6,17.6,16.13,16.13,13.4,162300
2002-11-07 00:00:00,17.6,17.6,16.13,16.13,13.18,162300
2002-11-08,15.4,16.8,15.33,16.8,13.95,528750
2002-11-08 00:00:00,15.4,16.8,15.33,16.8,13.73,528750
2002-11-11,16.07,16.8,16.07,16.67,13.84,285000
2002-11-11 00:00:00,16.07,16.8,16.07,16.67,13.62,285000
2002-11-12,16.33,16.33,16.33,16.33,13.57,15000
2002-11-12 00:00:00,16.33,16.33,16.33,16.33,13.35,15000
2002-11-13,16.67,16.67,16.0,16.47,13.68,120000
2002-11-13 00:00:00,16.67,16.67,16.0,16.47,13.46,120000
2002-11-14,16.67,16.8,16.2,16.2,13.45,495000
2002-11-14 00:00:00,16.67,16.8,16.2,16.2,13.24,495000
2002-11-15,16.4,16.4,16.33,16.33,13.57,150000
2002-11-15 00:00:00,16.4,16.4,16.33,16.33,13.35,150000
2002-11-18,16.67,16.67,16.67,16.67,13.84,45000
