Date,Open,High,Low,Close,Adj Close,Volume
2007-11-27,154.0,207.0,154.0,191.8,176.45,27262365
2007-11-27 00:00:00,154.0,207.0,154.0,191.8,175.27,27262365
2007-11-28,194.0,197.8,174.93,177.0,162.84,21958915
2007-11-28 00:00:00,194.0,197.8,174.93,177.0,161.75,21958915
2007-11-29,181.0,182.8,168.46,177.4,163.21,25616715
2007-11-29 00:00:00,181.0,182.8,168.46,177.4,162.12,25616715
2007-11-30,178.0,191.4,178.0,185.8,170.93,23047035
2007-11-30 00:00:00,178.0,191.4,178.0,185.8,169.79,23047035
2007-12-03,187.95,198.86,184.4,196.0,180.32,14578850
2007-12-03 00:00:00,187.95,198.86,184.4,196.0,179.11,14578850
2007-12-04,197.35,211.0,195.2,209.8,193.01,22742860
2007-12-04 00:00:00,197.35,211.0,195.2,209.8,191.72,22742860
2007-12-05,210.0,219.8,210.0,216.8,199.45,13806600
2007-12-05 00:00:00,210.0,219.8,210.0,216.8,198.12,13806600
2007-12-06,210.2,221.52,210.2,218.02,200.57,8619680
2007-12-06 00:00:00,210.2,221.52,210.2,218.02,199.24,8619680
2007-12-07,220.0,226.74,215.6,220.0,202.4,11182820
2007-12-07 00:00:00,220.0,226.74,215.6,220.0,201.04,11182820
2007-12-10,220.33,222.0,212.31,214.71,197.53,5028390
2007-12-10 00:00:00,220.33,222.0,212.31,214.71,196.21,5028390
2007-12-11,216.21,217.8,208.2,209.2,192.46,3990645
2007-12-11 00:00:00,216.21,217.8,208.2,209.2,191.18,3990645
2007-12-12,206.0,212.6,203.2,207.38,190.79,3637865
2007-12-12 00:00:00,206.0,212.6,203.2,207.38,189.51,3637865
2007-12-13,208.0,230.0,207.42,226.23,208.13,15317195
2007-12-13 00:00:00,208.0,230.0,207.42,226.23,206.74,15317195
2007-12-14,221.03,227.98,220.22,221.4,203.68,5345960
2007-12-14 00:00:00,221.03,227.98,220.22,221.4,202.32,5345960
2007-12-17,228.0,233.6,204.3,208.85,192.14,7024775
2007-12-17 00:00:00,228.0,233.6,204.3,208.85,190.86,7024775
2007-12-18,208.85,208.85,208.85,208.85,192.14,0
2007-12-18 00:00:00,208.85,208.85,208.85,208.85,190.86,0
2007-12-19,218.2,223.2,209.26,213.38,196.31,4228330
2007-12-19 00:00:00,218.2,223.2,209.26,213.38,195.0,4228330
2007-12-20,216.7,216.7,210.2,212.04,195.07,3116440
2007-12-20 00:00:00,216.7,216.7,210.2,212.04,193.77,3116440
2007-12-24,219.0,238.4,217.05,231.36,212.85,10304460
2007-12-24 00:00:00,219.0,238.4,217.05,231.36,211.43,10304460
2007-12-26,235.0,242.8,229.6,239.98,220.78,7335155
2007-12-26 00:00:00,235.0,242.8,229.6,239.98,219.3,7335155
2007-12-27,243.0,248.0,240.8,242.33,222.94,4887475
2007-12-27 00:00:00,243.0,248.0,240.8,242.33,221.45,4887475
2007-12-28,237.88,254.8,235.0,249.82,229.83,5820690
2007-12-28 00:00:00,237.88,254.8,235.0,249.82,228.3,5820690
2007-12-31,252.67,259.0,252.2,253.76,233.45,3686245
2007-12-31 00:00:00,252.67,259.0,252.2,253.76,231.9,3686245
2008-01-01,255.8,263.8,252.74,259.37,238.62,2456740
2008-01-01 00:00:00,255.8,263.8,252.74,259.37,237.02,2456740
2008-01-02,262.05,264.8,254.0,261.49,240.57,3519075
2008-01-02 00:00:00,262.05,264.8,254.0,261.49,238.96,3519075
2008-01-03,261.0,262.94,252.23,255.16,234.74,2525290
2008-01-03 00:00:00,261.0,262.94,252.23,255.16,233.18,2525290
2008-01-04,255.76,258.96,246.6,248.07,228.22,2753975
2008-01-04 00:00:00,255.76,258.96,246.6,248.07,226.7,2753975
2008-01-07,248.0,255.78,243.0,245.45,225.81,3154815
