Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,63.55,65.45,63.55,64.97,54.03,107294
2002-07-01 00:00:00,63.55,65.45,63.55,64.97,53.83,107294
2002-07-01 00:00:00,63.55,65.45,63.55,64.97,53.93,107294
2002-07-02,65.0,66.97,65.0,66.2,55.05,224240
2002-07-02 00:00:00,65.0,66.97,65.0,66.2,54.94,224240
2002-07-02 00:00:00,65.0,66.97,65.0,66.2,54.84,224240
2002-07-03,66.45,66.9,64.55,64.95,54.01,97578
2002-07-03 00:00:00,66.45,66.9,64.55,64.95,53.81,97578
2002-07-03 00:00:00,66.45,66.9,64.55,64.95,53.91,97578
2002-07-04,65.4,66.25,64.82,65.07,54.11,99150
2002-07-04 00:00:00,65.4,66.25,64.82,65.07,53.91,99150
2002-07-04 00:00:00,65.4,66.25,64.82,65.07,54.01,99150
2002-07-05,65.5,66.22,64.55,65.43,54.4,219024
2002-07-05 00:00:00,65.5,66.22,64.55,65.43,54.3,219024
2002-07-05 00:00:00,65.5,66.22,64.55,65.43,54.2,219024
2002-07-08,66.25,69.5,65.57,68.05,56.58,619238
2002-07-08 00:00:00,66.25,69.5,65.57,68.05,56.48,619238
2002-07-08 00:00:00,66.25,69.5,65.57,68.05,56.38,619238
2002-07-09,69.2,69.47,66.43,66.9,55.63,267182
2002-07-09 00:00:00,69.2,69.47,66.43,66.9,55.53,267182
2002-07-09 00:00:00,69.2,69.47,66.43,66.9,55.42,267182
2002-07-10,67.22,67.22,65.03,65.15,54.17,95100
2002-07-10 00:00:00,67.22,67.22,65.03,65.15,54.07,95100
2002-07-10 00:00:00,67.22,67.22,65.03,65.15,53.97,95100
2002-07-11,65.0,65.2,63.9,64.53,53.65,197056
2002-07-11 00:00:00,65.0,65.2,63.9,64.53,53.55,197056
2002-07-11 00:00:00,65.0,65.2,63.9,64.53,53.46,197056
2002-07-12,65.05,66.12,63.15,64.03,53.24,137764
2002-07-12 00:00:00,65.05,66.12,63.15,64.03,53.04,137764
2002-07-12 00:00:00,65.05,66.12,63.15,64.03,53.14,137764
2002-07-15,64.15,64.15,61.3,62.25,51.76,157412
2002-07-15 00:00:00,64.15,64.15,61.3,62.25,51.57,157412
2002-07-15 00:00:00,64.15,64.15,61.3,62.25,51.67,157412
2002-07-16,63.25,63.25,61.5,62.38,51.87,73214
2002-07-16 00:00:00,63.25,63.25,61.5,62.38,51.77,73214
2002-07-16 00:00:00,63.25,63.25,61.5,62.38,51.68,73214
2002-07-17,62.5,62.5,59.85,60.88,50.62,131692
2002-07-17 00:00:00,62.5,62.5,59.85,60.88,50.52,131692
