Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,21.37,22.47,21.37,22.29,16.62,87810
2002-07-01 00:00:00,21.37,22.47,21.37,22.29,16.59,87810
2002-07-02,21.37,22.78,21.37,22.52,16.79,588615
2002-07-02 00:00:00,21.37,22.78,21.37,22.52,16.77,588615
2002-07-03,22.27,22.8,21.93,22.73,16.95,162075
2002-07-03 00:00:00,22.27,22.8,21.93,22.73,16.92,162075
2002-07-04,22.67,23.33,22.67,22.97,17.13,266625
2002-07-04 00:00:00,22.67,23.33,22.67,22.97,17.1,266625
2002-07-05,23.4,25.0,23.33,24.06,17.94,408600
2002-07-05 00:00:00,23.4,25.0,23.33,24.06,17.91,408600
2002-07-08,24.0,24.87,24.0,24.5,18.27,165600
2002-07-08 00:00:00,24.0,24.87,24.0,24.5,18.24,165600
2002-07-09,24.4,24.64,24.0,24.31,18.13,74835
2002-07-09 00:00:00,24.4,24.64,24.0,24.31,18.1,74835
2002-07-10,24.0,24.6,23.75,24.46,18.24,93675
2002-07-10 00:00:00,24.0,24.6,23.75,24.46,18.21,93675
2002-07-11,24.27,24.27,22.4,24.06,18.21,61380
2002-07-11 00:00:00,24.27,24.27,22.4,24.06,18.18,61380
2002-07-12,24.33,24.33,23.67,23.81,18.02,63405
2002-07-12 00:00:00,24.33,24.33,23.67,23.81,17.99,63405
2002-07-15,24.13,24.13,23.05,23.23,17.59,42795
2002-07-15 00:00:00,24.13,24.13,23.05,23.23,17.56,42795
2002-07-16,23.66,23.66,23.0,23.18,17.55,107070
2002-07-16 00:00:00,23.66,23.66,23.0,23.18,17.52,107070
2002-07-17,22.93,22.98,22.02,22.44,16.99,114600
2002-07-17 00:00:00,22.93,22.98,22.02,22.44,16.96,114600
2002-07-18,23.33,23.33,21.47,22.51,17.04,88500
2002-07-18 00:00:00,23.33,23.33,21.47,22.51,17.01,88500
2002-07-19,22.13,22.67,20.73,22.03,16.68,104325
2002-07-19 00:00:00,22.13,22.67,20.73,22.03,16.65,104325
2002-07-22,22.0,22.53,21.67,22.23,16.83,86790
2002-07-22 00:00:00,22.0,22.53,21.67,22.23,16.8,86790
2002-07-23,22.33,22.66,22.0,22.26,16.86,52935
2002-07-23 00:00:00,22.33,22.66,22.0,22.26,16.83,52935
2002-07-24,20.8,22.93,20.8,22.37,16.94,34530
2002-07-24 00:00:00,20.8,22.93,20.8,22.37,16.91,34530
2002-07-25,21.87,23.6,21.87,23.06,17.46,188115
2002-07-25 00:00:00,21.87,23.6,21.87,23.06,17.43,188115
2002-07-26,23.0,23.43,22.33,22.75,17.23,420480
2002-07-26 00:00:00,23.0,23.43,22.33,22.75,17.2,420480
2002-07-29,22.87,23.6,22.07,22.24,16.84,235215
2002-07-29 00:00:00,22.87,23.6,22.07,22.24,16.81,235215
2002-07-30,22.36,22.67,21.33,21.52,16.29,70515
2002-07-30 00:00:00,22.36,22.67,21.33,21.52,16.26,70515
2002-07-31,20.13,22.8,20.13,21.92,16.59,247245
2002-07-31 00:00:00,20.13,22.8,20.13,21.92,16.56,247245
2002-08-01,22.38,22.38,21.4,21.7,16.43,36225
2002-08-01 00:00:00,22.38,22.38,21.4,21.7,16.4,36225
2002-08-02,20.67,21.99,20.67,21.68,16.42,18165
2002-08-02 00:00:00,20.67,21.99,20.67,21.68,16.39,18165
2002-08-05,21.3,22.12,21.3,22.02,16.67,95790
2002-08-05 00:00:00,21.3,22.12,21.3,22.02,16.64,95790
2002-08-06,21.98,22.3,21.98,22.0,16.66,72615
2002-08-06 00:00:00,21.98,22.3,21.98,22.0,16.63,72615
2002-08-07,21.4,22.46,21.4,22.25,16.85,64575
2002-08-07 00:00:00,21.4,22.46,21.4,22.25,16.82,64575
2002-08-08,22.26,22.53,22.08,22.41,16.97,130245
2002-08-08 00:00:00,22.26,22.53,22.08,22.41,16.94,130245
2002-08-09,21.77,22.53,21.77,22.41,16.97,62790
2002-08-09 00:00:00,21.77,22.53,21.77,22.41,16.94,62790
2002-08-12,22.07,22.66,22.07,22.24,16.84,31755
2002-08-12 00:00:00,22.07,22.66,22.07,22.24,16.81,31755
2002-08-13,22.08,22.6,22.08,22.37,16.93,64410
2002-08-13 00:00:00,22.08,22.6,22.08,22.37,16.9,64410
2002-08-14,21.47,25.27,21.47,22.31,16.89,71940
2002-08-14 00:00:00,21.47,25.27,21.47,22.31,16.86,71940
2002-08-15,22.31,22.31,22.31,22.31,16.89,0
2002-08-15 00:00:00,22.31,22.31,22.31,22.31,16.86,0
2002-08-16,22.21,22.58,22.09,22.21,16.81,44520
2002-08-16 00:00:00,22.21,22.58,22.09,22.21,16.78,44520
2002-08-19,21.97,22.53,21.37,21.7,16.43,203220
2002-08-19 00:00:00,21.97,22.53,21.37,21.7,16.4,203220
2002-08-20,21.93,22.93,21.8,22.7,17.19,137910
2002-08-20 00:00:00,21.93,22.93,21.8,22.7,17.16,137910
2002-08-21,22.97,23.0,22.2,22.35,16.92,95760
2002-08-21 00:00:00,22.97,23.0,22.2,22.35,16.89,95760
2002-08-22,22.34,22.67,21.68,22.54,17.07,73305
2002-08-22 00:00:00,22.34,22.67,21.68,22.54,17.04,73305
2002-08-23,22.37,22.62,22.33,22.47,17.01,118755
2002-08-23 00:00:00,22.37,22.62,22.33,22.47,16.98,118755
2002-08-26,22.27,22.8,22.27,22.53,17.06,83790
2002-08-26 00:00:00,22.27,22.8,22.27,22.53,17.03,83790
2002-08-27,22.8,22.93,22.53,22.55,17.07,57975
2002-08-27 00:00:00,22.8,22.93,22.53,22.55,17.04,57975
