Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,450.1,459.75,450.1,453.4,444.09,50600
2002-08-13,454.5,454.5,445.25,447.35,438.16,25600
2002-08-14,416.0,449.0,416.0,434.8,425.87,105200
2002-08-15,434.8,434.8,434.8,434.8,425.87,0
2002-08-16,412.5,441.0,412.5,427.65,418.86,143100
2002-08-19,430.0,431.4,425.05,429.65,420.82,68300
2002-08-20,432.1,442.85,425.0,437.65,428.66,53900
2002-08-21,445.0,445.0,434.05,434.95,426.01,33600
2002-08-21 00:00:00,445.0,445.0,434.05,434.95,426.02,33600
2002-08-22,430.1,438.75,427.3,428.15,419.35,123100
2002-08-23,427.0,428.9,418.5,419.85,411.23,170900
2002-08-26,419.5,425.0,414.5,417.75,409.17,136900
2002-08-27,420.0,420.0,416.25,417.2,408.63,158200
2002-08-28,440.0,440.0,413.0,417.9,409.32,70400
2002-08-29,402.75,419.95,402.75,418.1,409.51,77100
2002-08-30,418.0,420.0,409.0,418.45,409.85,54900
2002-09-02,420.0,423.9,408.55,415.8,407.26,128100
2002-09-03,419.0,419.0,412.6,416.1,407.55,109700
2002-09-04,415.0,420.0,413.5,418.25,409.66,66200
2002-09-05,420.0,425.0,418.3,419.7,411.08,82800
2002-09-06,420.0,420.0,416.1,419.15,410.54,43500
2002-09-09,420.0,420.35,416.95,419.9,411.27,52200
2002-09-10,419.9,419.9,419.9,419.9,411.27,0
2002-09-11,420.0,423.0,419.0,419.75,411.13,33700
2002-09-12,420.0,421.0,417.25,420.1,411.47,35100
2002-09-13,418.05,425.0,418.05,420.4,411.76,80300
2002-09-16,420.0,423.75,417.25,419.95,411.32,13100
2002-09-17,422.0,422.0,407.25,413.55,405.05,54100
2002-09-18,410.0,416.0,395.7,401.35,393.11,63100
2002-09-19,401.0,402.0,375.55,383.9,376.01,188200
2002-09-20,375.0,382.5,375.0,377.1,369.35,165500
2002-09-23,375.0,381.5,366.25,371.7,364.06,106400
2002-09-24,372.0,383.85,370.9,380.85,373.03,110800
2002-09-25,382.8,387.4,379.0,384.5,376.6,45200
2002-09-26,380.0,391.0,380.0,382.3,374.45,30700
2002-09-27,380.0,402.0,380.0,398.95,390.75,123900
2002-09-30,395.05,405.0,388.05,389.65,381.65,86100
2002-10-01,385.05,390.0,368.15,379.25,371.46,137700
2002-10-02,379.25,379.25,379.25,379.25,371.46,0
2002-10-03,385.0,385.0,366.2,367.95,360.39,73400
2002-10-04,367.05,374.8,360.8,366.1,358.58,76300
2002-10-07,365.0,372.5,363.1,367.75,360.2,99300
2002-10-08,367.0,387.95,367.0,384.75,376.85,103800
2002-10-09,389.5,396.0,386.15,392.2,384.14,79900
2002-10-10,393.0,409.0,393.0,405.75,397.41,181900
2002-10-11,380.1,405.8,380.1,399.95,391.73,139700
2002-10-14,401.0,406.0,396.2,398.95,390.75,46600
2002-10-15,398.95,398.95,398.95,398.95,390.75,0
2002-10-16,399.5,402.0,395.0,397.75,389.58,51800
2002-10-17,395.0,404.7,391.25,395.25,387.13,76200
2002-10-18,394.0,419.0,394.0,402.2,393.94,55600
2002-10-21,405.0,409.95,403.0,404.4,396.09,79900
2002-10-22,410.0,410.0,381.3,386.7,378.76,154600
2002-10-23,382.15,405.1,382.15,401.65,393.4,380500
2002-10-24,400.9,413.9,395.0,408.95,400.55,287400
2002-10-25,409.9,417.9,401.7,410.85,402.41,97600
2002-10-28,412.0,415.0,405.05,407.1,398.74,83500
2002-10-29,408.0,426.8,406.0,420.6,411.96,272900
2002-10-30,421.9,435.5,401.0,421.75,413.09,272300
2002-10-31,420.0,425.0,413.0,423.75,415.05,99000
2002-11-01,425.0,446.0,423.5,442.05,432.97,448800
2002-11-04,441.0,451.0,438.75,448.3,439.09,55500
2002-11-05,448.0,448.0,433.5,436.05,427.09,122300
2002-11-06,436.05,436.05,436.05,436.05,427.09,0
2002-11-07,433.1,433.8,426.0,429.2,420.38,141900
2002-11-08,426.55,437.5,426.55,433.0,424.11,127700
2002-11-11,440.0,440.0,430.1,436.0,427.04,50000
2002-11-12,432.05,439.0,432.05,435.85,426.9,41400
2002-11-13,434.1,448.9,434.1,443.1,434.0,306000
2002-11-14,446.0,446.0,435.4,439.35,430.32,133600
2002-11-15,443.5,460.0,439.0,452.8,443.5,376500
2002-11-18,454.05,456.0,448.35,451.7,442.42,104300
2002-11-19,451.7,451.7,451.7,451.7,442.42,0
2002-11-20,451.0,456.0,448.1,452.85,443.55,98400
2002-11-21,401.85,480.5,401.85,477.65,467.84,259400
2002-11-22,471.6,485.0,469.0,473.95,464.21,131600
2002-11-25,465.0,484.0,465.0,477.45,467.64,62500
2002-11-26,480.0,495.0,468.55,473.0,463.28,231600
2002-11-27,473.0,475.3,463.05,466.15,456.57,121300
2002-11-28,471.7,476.9,467.0,471.25,461.57,97700
2002-11-29,471.25,471.25,471.25,471.25,461.57,0
2002-12-02,485.0,500.0,476.0,478.0,468.18,173800
2002-12-03,484.8,484.8,472.6,479.45,469.6,173700
2002-12-04,485.0,487.0,477.0,480.3,470.43,340900
2002-12-05,482.0,482.0,468.5,472.6,462.89,146300
2002-12-06,477.0,479.8,464.25,469.55,459.9,174800
2002-12-09,478.0,481.0,470.2,474.35,464.61,116800
2002-12-10,466.1,525.0,466.1,477.75,467.94,54500
2002-12-11,482.9,482.9,463.5,465.0,455.45,242700
2002-12-12,465.0,476.45,460.1,469.85,460.2,271300
2002-12-13,465.5,477.0,465.5,475.95,466.17,73300
2002-12-16,565.0,565.0,462.0,480.35,470.48,323300
2002-12-17,460.0,485.8,460.0,480.75,470.87,143300
2002-12-18,480.75,485.4,470.0,483.65,473.71,99500
2002-12-19,487.0,495.95,481.45,493.65,483.51,222400
2002-12-20,492.0,495.7,486.05,489.45,479.4,71700
2002-12-23,490.5,491.95,485.0,490.9,480.82,55100
2002-12-24,492.0,493.5,487.05,488.3,478.27,100300
2002-12-25,488.3,488.3,488.3,488.3,478.27,0
2002-12-26,486.9,494.9,486.9,491.85,481.75,82200
2002-12-27,491.95,509.4,490.0,507.4,496.98,266500
2002-12-30,509.0,510.0,500.1,501.65,491.34,75000
2002-12-31,495.1,509.5,495.1,503.3,492.96,108100
2003-01-01,502.0,511.95,501.0,508.75,498.3,112700
2003-01-02,510.0,511.5,501.15,502.45,492.13,75900
2003-01-03,503.0,511.0,495.0,507.0,496.58,158400
2003-01-06,510.0,510.0,499.1,501.75,491.44,141300
2003-01-07,509.7,509.7,493.05,495.15,484.98,89100
2003-01-08,494.0,501.25,494.0,498.4,488.16,131100
2003-01-09,500.15,501.9,492.15,494.85,484.68,155800
2003-01-10,497.0,501.8,489.1,495.1,484.93,151300
2003-01-13,495.0,500.0,415.45,495.15,484.98,61500
