Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,50.27,50.29,49.8,50.03,35.18,64500
1998-11-17,49.68,50.13,49.47,49.62,34.89,109500
1998-11-18,50.07,50.26,49.87,50.0,35.16,34500
1998-11-19,49.92,49.92,49.47,49.47,34.79,13500
1998-11-20,49.4,49.4,49.0,49.07,34.5,58500
1998-11-23,48.8,48.8,48.35,48.35,34.0,25500
1998-11-24,48.07,48.87,48.07,48.73,34.27,72000
1998-11-25,48.73,48.73,48.73,48.73,34.27,0
1998-11-26,48.87,48.87,48.6,48.73,34.26,55500
1998-11-27,48.47,49.5,48.0,49.5,34.81,100500
1998-11-30,48.75,51.6,48.71,51.47,36.19,214500
1998-12-01,51.6,51.6,50.53,50.87,35.77,123000
1998-12-02,50.73,53.23,50.67,52.87,37.18,553500
1998-12-03,53.1,54.45,52.7,53.07,37.32,613500
1998-12-04,52.93,53.73,52.48,53.33,37.5,549000
1998-12-07,53.4,54.0,53.17,54.0,37.97,253500
1998-12-08,54.13,54.93,53.32,54.07,38.02,559500
1998-12-09,54.0,54.4,53.53,53.54,37.65,127500
1998-12-10,53.57,56.2,53.48,55.53,39.05,663000
1998-12-11,55.87,57.47,55.53,57.47,40.41,855000
1998-12-14,57.65,58.33,56.87,57.27,40.27,363000
1998-12-15,56.9,58.07,56.73,57.2,40.22,487500
1998-12-16,56.0,56.53,55.47,56.53,39.75,220500
1998-12-17,56.02,56.46,55.67,55.67,39.15,126000
1998-12-18,55.47,57.67,55.4,57.17,40.2,445500
1998-12-21,58.27,60.33,57.34,59.57,41.89,316500
1998-12-22,59.93,60.33,58.13,58.13,40.88,303000
1998-12-23,59.0,59.65,58.47,58.47,41.11,108000
1998-12-24,59.0,59.33,58.21,58.67,41.25,88500
1998-12-25,58.67,58.67,58.67,58.67,41.25,0
1998-12-28,59.2,59.2,58.27,58.67,41.25,64500
1998-12-29,58.67,59.6,57.74,57.74,40.6,133500
1998-12-30,58.67,58.93,58.4,58.4,41.07,45000
1998-12-31,58.24,58.83,58.2,58.2,40.93,48000
1999-01-01,58.37,58.42,58.13,58.23,40.95,42000
1999-01-04,58.33,59.0,58.15,58.3,40.99,81000
1999-01-05,58.13,59.0,57.8,58.2,40.93,120000
1999-01-06,58.8,59.33,58.27,58.27,40.97,130500
1999-01-07,58.34,59.86,58.33,58.8,41.35,156000
1999-01-08,60.0,63.51,60.0,63.51,44.66,310500
1999-01-11,65.85,68.59,65.33,68.59,48.23,487500
1999-01-12,66.73,68.0,64.73,65.58,46.12,199500
1999-01-13,65.41,65.93,64.33,64.33,45.24,127500
1999-01-14,64.13,64.6,62.87,63.33,44.54,100500
1999-01-15,61.0,63.9,61.0,62.86,44.21,90000
1999-01-18,63.0,65.67,61.53,65.43,46.01,1099500
1999-01-19,65.67,65.73,63.87,64.67,45.47,135000
1999-01-20,64.67,64.67,64.67,64.67,45.47,0
1999-01-21,65.0,69.84,65.0,69.84,49.11,673500
1999-01-22,71.13,75.0,71.0,73.53,51.71,318000
1999-01-25,71.0,78.0,71.0,75.67,53.21,351000
1999-01-26,75.67,75.67,75.67,75.67,53.21,0
1999-01-27,77.27,77.27,74.41,75.0,52.74,193500
1999-01-28,72.34,75.67,72.34,73.66,51.8,115500
1999-01-29,72.73,73.53,72.53,73.07,51.38,207000
1999-02-01,72.67,76.17,72.67,74.0,52.04,175500
1999-02-02,74.67,74.99,73.07,74.97,52.72,97500
1999-02-03,75.0,76.0,74.54,74.7,52.53,138000
1999-02-04,75.77,75.77,74.0,74.33,52.27,87000
1999-02-05,74.6,74.6,73.33,73.87,51.94,40500
1999-02-08,74.93,76.0,74.2,75.03,52.76,54000
1999-02-09,75.65,75.93,74.73,74.73,52.55,127500
1999-02-10,76.26,79.07,75.93,78.8,55.41,447000
1999-02-11,80.47,82.12,78.4,80.13,56.35,388500
1999-02-12,80.87,81.0,80.4,80.5,56.61,70500
1999-02-15,80.33,80.33,77.48,79.0,55.55,145500
1999-02-16,78.99,79.4,78.41,78.53,55.23,132000
1999-02-17,78.67,78.67,77.4,77.4,54.43,49500
1999-02-18,77.0,78.19,76.67,76.67,53.91,78000
1999-02-19,76.67,77.33,75.35,76.67,53.91,39000
1999-02-22,76.0,76.33,75.4,75.4,53.02,51000
1999-02-23,75.0,75.93,72.67,75.93,53.39,97500
1999-02-24,74.7,75.67,74.33,75.33,52.97,42000
1999-02-25,75.0,75.0,74.18,74.18,52.17,3000
1999-02-26,73.33,74.4,73.33,73.33,51.57,19500
1999-03-01,79.41,82.67,79.0,80.73,56.77,112500
1999-03-02,80.73,80.73,80.73,80.73,56.77,0
1999-03-03,85.0,85.66,82.33,82.8,58.23,244500
1999-03-04,82.01,82.4,79.87,80.25,56.43,48000
1999-03-05,79.67,80.53,78.67,79.33,55.79,54000
1999-03-08,82.0,83.2,77.87,78.4,55.13,79500
1999-03-09,77.07,78.93,76.67,78.93,55.51,147000
1999-03-10,79.67,79.67,78.27,78.52,55.22,79500
1999-03-11,79.0,82.4,78.33,78.6,55.27,322500
1999-03-12,78.07,78.93,77.07,77.13,54.24,51000
1999-03-15,77.41,78.59,76.8,76.8,54.01,63000
1999-03-16,72.07,78.33,72.07,78.33,55.08,216000
1999-03-17,78.5,84.6,78.14,84.49,59.42,262500
1999-03-18,84.67,90.27,84.67,89.47,62.91,291000
1999-03-19,89.66,89.73,83.33,84.8,59.63,160500
1999-03-22,85.27,85.33,79.02,83.93,59.02,96000
1999-03-23,85.0,86.4,83.33,85.67,60.24,232500
1999-03-24,86.9,88.33,84.33,85.3,59.98,117000
1999-03-25,84.0,86.67,83.47,86.0,60.48,82500
1999-03-25 00:00:00,84.0,86.67,83.47,86.0,61.42,82500
1999-03-26,85.77,85.77,83.87,84.02,59.08,72000
1999-03-26 00:00:00,85.77,85.77,83.87,84.02,60.01,72000
1999-03-29,84.02,84.02,84.02,84.02,59.08,0
1999-03-29 00:00:00,84.02,84.02,84.02,84.02,60.01,0
1999-03-30,84.67,90.53,84.0,90.07,63.34,138000
1999-03-30 00:00:00,84.67,90.53,84.0,90.07,64.33,138000
1999-03-31,95.91,97.28,93.33,97.28,68.41,510000
1999-03-31 00:00:00,95.91,97.28,93.33,97.28,69.48,510000
1999-04-01,97.47,102.53,93.73,99.73,70.13,321000
1999-04-01 00:00:00,97.47,102.53,93.73,99.73,71.23,321000
1999-04-02,99.73,99.73,99.73,99.73,70.13,0
1999-04-02 00:00:00,99.73,99.73,99.73,99.73,71.23,0
1999-04-05,98.33,100.0,94.07,96.54,67.89,144000
1999-04-05 00:00:00,98.33,100.0,94.07,96.54,68.95,144000
1999-04-06,96.33,97.0,94.93,96.02,67.52,135000
1999-04-06 00:00:00,96.33,97.0,94.93,96.02,68.58,135000
1999-04-07,97.25,98.67,94.33,94.4,66.38,112500
1999-04-07 00:00:00,97.25,98.67,94.33,94.4,67.42,112500
1999-04-08,94.4,94.4,87.02,87.33,61.41,256500
1999-04-08 00:00:00,94.4,94.4,87.02,87.33,62.38,256500
1999-04-09,86.0,90.73,85.67,90.0,63.29,367500
1999-04-09 00:00:00,86.0,90.73,85.67,90.0,64.28,367500
1999-04-12,91.33,95.66,87.5,93.68,65.88,181500
1999-04-12 00:00:00,91.33,95.66,87.5,93.68,66.91,181500
1999-04-13,90.13,96.33,90.13,96.33,67.74,243000
1999-04-13 00:00:00,90.13,96.33,90.13,96.33,68.8,243000
1999-04-14,96.33,96.33,96.33,96.33,67.74,0
1999-04-14 00:00:00,96.33,96.33,96.33,96.33,68.8,0
1999-04-15,89.73,95.33,88.8,94.87,66.71,324000
1999-04-15 00:00:00,89.73,95.33,88.8,94.87,67.76,324000
1999-04-16,93.95,102.43,93.34,102.43,72.03,240000
1999-04-16 00:00:00,93.95,102.43,93.34,102.43,73.16,240000
1999-04-19,94.0,100.53,94.0,99.93,70.27,76500
1999-04-19 00:00:00,94.0,100.53,94.0,99.93,71.37,76500
1999-04-20,100.33,103.0,99.87,102.67,72.2,111000
1999-04-20 00:00:00,100.33,103.0,99.87,102.67,73.33,111000
1999-04-21,102.33,110.0,102.27,106.13,74.63,501000
1999-04-21 00:00:00,102.33,110.0,102.27,106.13,75.8,501000
1999-04-22,106.67,107.72,102.01,104.0,73.13,363000
1999-04-22 00:00:00,106.67,107.72,102.01,104.0,74.28,363000
1999-04-23,102.13,105.87,102.0,102.93,72.38,186000
1999-04-23 00:00:00,102.13,105.87,102.0,102.93,73.52,186000
1999-04-26,96.0,99.2,94.7,94.7,66.59,234000
1999-04-26 00:00:00,96.0,99.2,94.7,94.7,67.64,234000
1999-04-27,94.7,94.7,94.7,94.7,66.59,0
1999-04-27 00:00:00,94.7,94.7,94.7,94.7,67.64,0
1999-04-28,91.67,95.33,89.33,95.33,67.04,435000
1999-04-28 00:00:00,91.67,95.33,89.33,95.33,68.09,435000
1999-04-29,95.47,97.73,94.73,96.87,68.12,208500
1999-04-29 00:00:00,95.47,97.73,94.73,96.87,69.18,208500
1999-04-30,99.65,100.47,98.0,99.8,70.18,97500
1999-04-30 00:00:00,99.65,100.47,98.0,99.8,71.28,97500
1999-05-03,99.4,100.93,98.67,99.55,70.0,237000
1999-05-03 00:00:00,99.4,100.93,98.67,99.55,71.1,237000
1999-05-04,100.0,105.2,100.0,103.83,73.02,304500
1999-05-04 00:00:00,100.0,105.2,100.0,103.83,74.16,304500
1999-05-05,103.33,103.33,102.0,102.0,71.73,184500
1999-05-05 00:00:00,103.33,103.33,102.0,102.0,72.85,184500
1999-05-06,101.35,101.93,94.07,96.0,67.51,475500
1999-05-06 00:00:00,101.35,101.93,94.07,96.0,68.57,475500
1999-05-07,97.67,98.67,94.67,95.33,67.04,195000
1999-05-07 00:00:00,97.67,98.67,94.67,95.33,68.09,195000
1999-05-10,96.0,96.27,94.33,95.73,67.32,91500
1999-05-10 00:00:00,96.0,96.27,94.33,95.73,68.37,91500
1999-05-11,95.0,95.0,90.87,90.88,63.91,109500
1999-05-11 00:00:00,95.0,95.0,90.87,90.88,64.91,109500
1999-05-12,93.33,95.67,91.67,92.35,64.94,172500
1999-05-12 00:00:00,93.33,95.67,91.67,92.35,65.96,172500
1999-05-13,93.33,96.0,93.2,94.0,66.1,271500
1999-05-13 00:00:00,93.33,96.0,93.2,94.0,67.14,271500
1999-05-14,94.73,95.25,92.53,92.67,65.16,523500
1999-05-14 00:00:00,94.73,95.25,92.53,92.67,66.18,523500
1999-05-17,91.67,92.13,87.44,89.67,63.05,100500
1999-05-17 00:00:00,91.67,92.13,87.44,89.67,64.04,100500
1999-05-18,90.33,90.33,88.07,89.0,62.59,177000
1999-05-18 00:00:00,90.33,90.33,88.07,89.0,63.57,177000
1999-05-19,90.0,90.0,87.33,89.06,62.63,673500
1999-05-19 00:00:00,90.0,90.0,87.33,89.06,63.61,673500
1999-05-20,89.87,96.19,89.67,93.67,65.87,624000
1999-05-20 00:00:00,89.87,96.19,89.67,93.67,66.9,624000
