Date,Open,High,Low,Close,Adj Close,Volume
2003-03-12,7.75,9.19,7.75,8.81,7.42,24669040
2003-03-12 00:00:00,7.75,9.19,7.75,8.81,7.36,24669040
2003-03-12 00:00:00,7.75,9.19,7.75,8.81,7.3,24669040
2003-03-13,8.7,9.33,8.7,9.0,7.58,23553560
2003-03-13 00:00:00,8.7,9.33,8.7,9.0,7.52,23553560
2003-03-13 00:00:00,8.7,9.33,8.7,9.0,7.46,23553560
2003-03-14,9.0,9.0,9.0,9.0,7.58,0
2003-03-14 00:00:00,9.0,9.0,9.0,9.0,7.52,0
2003-03-14 00:00:00,9.0,9.0,9.0,9.0,7.46,0
2003-03-17,9.0,9.0,8.38,8.55,7.2,3533080
2003-03-17 00:00:00,9.0,9.0,8.38,8.55,7.14,3533080
2003-03-17 00:00:00,9.0,9.0,8.38,8.55,7.08,3533080
2003-03-18,8.55,8.55,8.55,8.55,7.2,0
2003-03-18 00:00:00,8.55,8.55,8.55,8.55,7.14,0
2003-03-18 00:00:00,8.55,8.55,8.55,8.55,7.08,0
2003-03-19,8.7,8.94,8.64,8.84,7.44,2137240
2003-03-19 00:00:00,8.7,8.94,8.64,8.84,7.32,2137240
2003-03-19 00:00:00,8.7,8.94,8.64,8.84,7.38,2137240
2003-03-20,8.79,9.56,8.75,9.18,7.73,8665540
2003-03-20 00:00:00,8.79,9.56,8.75,9.18,7.67,8665540
2003-03-20 00:00:00,8.79,9.56,8.75,9.18,7.6,8665540
2003-03-21,9.15,9.59,9.15,9.28,7.81,4546980
2003-03-21 00:00:00,9.15,9.59,9.15,9.28,7.69,4546980
2003-03-21 00:00:00,9.15,9.59,9.15,9.28,7.75,4546980
2003-03-24,9.75,10.29,9.57,10.07,8.48,15818280
2003-03-24 00:00:00,9.75,10.29,9.57,10.07,8.35,15818280
2003-03-24 00:00:00,9.75,10.29,9.57,10.07,8.41,15818280
2003-03-25,10.02,11.1,9.84,10.9,9.18,31668880
2003-03-25 00:00:00,10.02,11.1,9.84,10.9,9.1,31668880
2003-03-25 00:00:00,10.02,11.1,9.84,10.9,9.03,31668880
2003-03-26,10.94,11.59,10.85,10.98,9.25,33125460
2003-03-26 00:00:00,10.94,11.59,10.85,10.98,9.1,33125460
2003-03-26 00:00:00,10.94,11.59,10.85,10.98,9.17,33125460
2003-03-27,11.0,11.08,10.25,10.37,8.73,20628560
2003-03-27 00:00:00,11.0,11.08,10.25,10.37,8.59,20628560
2003-03-27 00:00:00,11.0,11.08,10.25,10.37,8.66,20628560
2003-03-28,10.25,12.04,10.25,11.72,9.87,53603440
2003-03-28 00:00:00,10.25,12.04,10.25,11.72,9.79,53603440
2003-03-28 00:00:00,10.25,12.04,10.25,11.72,9.71,53603440
2003-03-31,11.4,11.74,10.85,10.96,9.23,30536520
2003-03-31 00:00:00,11.4,11.74,10.85,10.96,9.08,30536520
2003-03-31 00:00:00,11.4,11.74,10.85,10.96,9.15,30536520
2003-04-01,11.2,11.91,11.05,11.54,9.71,24699800
2003-04-01 00:00:00,11.2,11.91,11.05,11.54,9.64,24699800
2003-04-01 00:00:00,11.2,11.91,11.05,11.54,9.56,24699800
2003-04-02,11.69,11.9,11.52,11.79,9.93,11719560
2003-04-02 00:00:00,11.69,11.9,11.52,11.79,9.77,11719560
2003-04-02 00:00:00,11.69,11.9,11.52,11.79,9.85,11719560
2003-04-03,11.9,12.19,11.75,11.82,9.95,11939360
2003-04-03 00:00:00,11.9,12.19,11.75,11.82,9.87,11939360
2003-04-03 00:00:00,11.9,12.19,11.75,11.82,9.79,11939360
2003-04-04,11.81,11.92,11.65,11.68,9.84,6654500
2003-04-04 00:00:00,11.81,11.92,11.65,11.68,9.68,6654500
2003-04-04 00:00:00,11.81,11.92,11.65,11.68,9.76,6654500
2003-04-07,11.75,11.96,11.72,11.81,9.94,5479520
2003-04-07 00:00:00,11.75,11.96,11.72,11.81,9.86,5479520
2003-04-07 00:00:00,11.75,11.96,11.72,11.81,9.78,5479520
2003-04-08,11.75,13.04,11.75,12.52,10.55,25894860
2003-04-08 00:00:00,11.75,13.04,11.75,12.52,10.46,25894860
2003-04-08 00:00:00,11.75,13.04,11.75,12.52,10.38,25894860
2003-04-09,12.55,13.19,12.55,12.78,10.76,14023080
2003-04-09 00:00:00,12.55,13.19,12.55,12.78,10.68,14023080
2003-04-09 00:00:00,12.55,13.19,12.55,12.78,10.59,14023080
2003-04-10,12.9,12.9,12.1,12.19,10.26,5010260
2003-04-10 00:00:00,12.9,12.9,12.1,12.19,10.1,5010260
2003-04-10 00:00:00,12.9,12.9,12.1,12.19,10.18,5010260
2003-04-11,12.23,12.69,12.05,12.4,10.44,2732600
2003-04-11 00:00:00,12.23,12.69,12.05,12.4,10.36,2732600
2003-04-11 00:00:00,12.23,12.69,12.05,12.4,10.28,2732600
2003-04-14,12.4,12.4,12.4,12.4,10.44,0
2003-04-14 00:00:00,12.4,12.4,12.4,12.4,10.28,0
2003-04-14 00:00:00,12.4,12.4,12.4,12.4,10.36,0
2003-04-15,12.7,13.75,12.63,12.81,10.78,5449060
2003-04-15 00:00:00,12.7,13.75,12.63,12.81,10.7,5449060
2003-04-15 00:00:00,12.7,13.75,12.63,12.81,10.61,5449060
2003-04-16,12.98,13.1,12.46,12.6,10.61,3303560
2003-04-16 00:00:00,12.98,13.1,12.46,12.6,10.44,3303560
2003-04-16 00:00:00,12.98,13.1,12.46,12.6,10.52,3303560
2003-04-17,12.7,12.75,12.18,12.3,10.36,4404860
2003-04-17 00:00:00,12.7,12.75,12.18,12.3,10.19,4404860
2003-04-17 00:00:00,12.7,12.75,12.18,12.3,10.28,4404860
2003-04-18,12.3,12.3,12.3,12.3,10.36,0
2003-04-18 00:00:00,12.3,12.3,12.3,12.3,10.19,0
2003-04-18 00:00:00,12.3,12.3,12.3,12.3,10.28,0
2003-04-21,12.5,12.69,12.21,12.27,10.33,2083740
2003-04-21 00:00:00,12.5,12.69,12.21,12.27,10.25,2083740
2003-04-21 00:00:00,12.5,12.69,12.21,12.27,10.16,2083740
2003-04-22,12.34,12.93,12.01,12.81,10.79,10753540
2003-04-22 00:00:00,12.34,12.93,12.01,12.81,10.62,10753540
2003-04-22 00:00:00,12.34,12.93,12.01,12.81,10.7,10753540
