Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,111.25,113.0,110.81,111.19,95.58,589200
1998-11-17,111.12,112.5,110.56,110.89,95.32,592000
1998-11-18,111.75,114.5,111.75,114.03,98.02,974800
1998-11-19,113.5,116.1,113.03,113.12,97.24,904800
1998-11-20,113.0,114.0,108.88,109.75,94.34,1092000
1998-11-23,109.06,110.43,107.91,109.0,93.7,682400
1998-11-24,109.4,110.68,107.5,108.0,92.84,940400
1998-11-25,108.0,108.0,108.0,108.0,92.84,0
1998-11-26,106.25,108.38,104.56,105.6,90.77,597600
1998-11-27,105.5,105.94,103.03,103.44,88.91,692000
1998-11-30,102.74,103.68,100.56,103.2,88.71,515200
1998-12-01,103.0,104.96,102.06,102.88,88.43,658000
1998-12-02,103.65,106.25,103.5,105.45,90.64,796000
1998-12-03,105.88,108.0,105.4,106.78,91.78,1279600
1998-12-04,106.75,107.79,105.01,107.25,92.19,1149200
1998-12-07,108.62,115.84,108.12,115.84,99.57,3061600
1998-12-08,116.25,118.0,113.28,117.06,100.63,1914000
1998-12-09,118.12,118.43,113.0,113.72,97.76,866800
1998-12-10,114.38,115.0,112.78,113.68,97.71,502400
1998-12-11,113.5,115.94,113.5,115.4,99.2,878800
1998-12-14,115.62,116.0,112.51,112.9,97.05,647600
1998-12-15,112.0,112.2,109.56,111.0,95.42,860400
1998-12-16,110.62,113.0,109.0,112.47,96.68,860400
1998-12-17,110.38,114.5,109.0,111.5,95.85,992000
1998-12-18,111.56,113.75,111.25,112.78,96.94,606800
1998-12-21,114.72,121.12,114.25,120.24,103.36,1945200
1998-12-22,119.38,120.5,116.25,118.0,101.43,1244400
1998-12-23,120.75,122.21,116.28,116.28,99.95,886800
1998-12-24,115.34,118.75,114.5,118.5,101.86,1027600
1998-12-25,118.5,118.5,118.5,118.5,101.86,0
1998-12-28,119.97,124.93,119.15,122.25,105.09,1623600
1998-12-29,122.18,123.18,119.14,120.5,103.58,1060400
1998-12-30,122.11,124.68,121.28,123.26,105.96,792000
1998-12-31,123.49,124.5,121.75,121.94,104.82,580800
1999-01-01,122.05,123.75,122.05,123.12,105.84,464800
1999-01-04,124.75,128.73,124.25,126.41,108.66,1478800
1999-01-05,127.25,128.62,125.19,128.25,110.24,1336400
1999-01-06,131.0,131.75,127.69,129.62,111.43,813200
1999-01-07,130.0,137.2,129.75,136.0,116.91,3013200
1999-01-08,137.0,145.25,136.5,145.25,124.86,2227600
1999-01-11,147.25,147.25,137.75,137.89,118.53,1826800
1999-01-12,137.5,138.5,130.02,131.25,112.82,1500800
1999-01-13,134.25,140.0,133.26,137.12,117.87,1046800
1999-01-14,135.0,138.5,133.5,134.25,115.4,772400
1999-01-15,134.75,137.48,128.5,129.5,111.32,1025600
1999-01-18,131.25,131.85,127.75,131.85,113.34,484800
1999-01-19,132.5,132.5,126.53,126.75,108.95,1004400
1999-01-20,126.75,126.75,126.75,126.75,108.95,0
1999-01-20 00:00:00,126.75,126.75,126.75,126.75,108.11,0
1999-01-21,129.23,134.75,127.75,134.75,115.83,782000
1999-01-21 00:00:00,129.23,134.75,127.75,134.75,114.93,782000
1999-01-22,135.71,135.74,129.77,130.25,111.96,694000
1999-01-22 00:00:00,135.71,135.74,129.77,130.25,111.09,694000
1999-01-25,129.12,135.0,125.0,134.81,115.88,1016400
1999-01-25 00:00:00,129.12,135.0,125.0,134.81,114.99,1016400
1999-01-26,134.81,134.81,134.81,134.81,115.88,0
1999-01-26 00:00:00,134.81,134.81,134.81,134.81,114.99,0
1999-01-27,136.75,140.48,136.5,137.5,118.19,962000
1999-01-27 00:00:00,136.75,140.48,136.5,137.5,117.28,962000
1999-01-28,137.5,137.98,133.75,133.88,115.08,381600
1999-01-28 00:00:00,137.5,137.98,133.75,133.88,114.19,381600
1999-01-29,131.5,137.98,131.5,135.75,116.69,778800
1999-01-29 00:00:00,131.5,137.98,131.5,135.75,115.79,778800
1999-02-01,135.1,137.5,132.52,132.52,113.92,586000
1999-02-01 00:00:00,135.1,137.5,132.52,132.52,113.03,586000
1999-02-02,133.25,133.25,128.25,130.75,112.39,700400
1999-02-02 00:00:00,133.25,133.25,128.25,130.75,111.52,700400
1999-02-03,137.0,141.21,132.5,141.21,121.39,1173600
1999-02-03 00:00:00,137.0,141.21,132.5,141.21,120.44,1173600
1999-02-04,143.5,150.75,139.12,140.5,120.77,1840800
1999-02-04 00:00:00,143.5,150.75,139.12,140.5,119.84,1840800
1999-02-05,142.0,147.0,141.25,146.5,125.93,1551200
1999-02-05 00:00:00,142.0,147.0,141.25,146.5,124.95,1551200
1999-02-08,147.25,147.43,138.76,139.06,119.54,1323200
1999-02-08 00:00:00,147.25,147.43,138.76,139.06,118.61,1323200
1999-02-09,139.25,139.5,135.0,138.5,119.05,1102800
1999-02-09 00:00:00,139.25,139.5,135.0,138.5,118.13,1102800
1999-02-10,147.25,149.59,144.0,149.59,128.59,815036
1999-02-10 00:00:00,147.25,149.59,144.0,149.59,127.59,815036
1999-02-11,154.48,157.23,152.0,152.51,131.1,617068
1999-02-11 00:00:00,154.48,157.23,152.0,152.51,130.08,617068
1999-02-12,153.75,158.68,153.5,155.5,133.67,831260
1999-02-12 00:00:00,153.75,158.68,153.5,155.5,132.63,831260
1999-02-15,156.75,156.75,153.31,153.39,131.85,456304
1999-02-15 00:00:00,156.75,156.75,153.31,153.39,130.83,456304
1999-02-16,153.0,157.5,152.0,156.75,134.74,562284
1999-02-16 00:00:00,153.0,157.5,152.0,156.75,133.7,562284
1999-02-17,159.75,167.23,158.0,161.5,138.83,1165316
1999-02-17 00:00:00,159.75,167.23,158.0,161.5,137.75,1165316
1999-02-18,163.25,163.75,157.51,157.51,135.4,449812
1999-02-18 00:00:00,163.25,163.75,157.51,157.51,134.35,449812
1999-02-19,157.94,157.94,153.75,155.0,133.24,355220
1999-02-19 00:00:00,157.94,157.94,153.75,155.0,132.2,355220
1999-02-22,154.75,154.75,146.75,147.05,126.4,378552
1999-02-22 00:00:00,154.75,154.75,146.75,147.05,125.42,378552
1999-02-23,145.1,148.0,143.75,144.75,124.43,565892
1999-02-23 00:00:00,145.1,148.0,143.75,144.75,123.46,565892
1999-02-24,148.25,149.75,146.75,148.75,127.87,287492
1999-02-24 00:00:00,148.25,149.75,146.75,148.75,126.87,287492
1999-02-25,149.5,149.69,145.75,146.12,125.61,239568
1999-02-25 00:00:00,149.5,149.69,145.75,146.12,124.63,239568
1999-02-26,146.88,146.98,142.25,144.85,124.51,308740
1999-02-26 00:00:00,146.88,146.98,142.25,144.85,123.55,308740
1999-03-01,157.0,166.82,157.0,166.82,143.4,534068
1999-03-01 00:00:00,157.0,166.82,157.0,166.82,142.29,534068
1999-03-02,166.82,166.82,166.82,166.82,143.4,0
1999-03-02 00:00:00,166.82,166.82,166.82,166.82,142.29,0
1999-03-03,180.0,180.18,179.75,180.18,154.88,308608
1999-03-03 00:00:00,180.0,180.18,179.75,180.18,153.68,308608
1999-03-04,187.0,187.0,169.25,174.75,150.22,825244
1999-03-04 00:00:00,187.0,187.0,169.25,174.75,149.05,825244
1999-03-05,175.25,181.96,171.3,179.0,153.87,956556
1999-03-05 00:00:00,175.25,181.96,171.3,179.0,152.67,956556
1999-03-08,181.25,187.5,175.81,182.82,157.16,786540
1999-03-08 00:00:00,181.25,187.5,175.81,182.82,155.94,786540
1999-03-09,183.25,184.5,178.88,180.5,155.16,480248
1999-03-09 00:00:00,183.25,184.5,178.88,180.5,153.95,480248
1999-03-10,189.75,194.95,183.5,194.95,167.58,954056
1999-03-10 00:00:00,189.75,194.95,183.5,194.95,166.28,954056
1999-03-11,210.55,210.55,197.25,197.65,169.9,1057432
1999-03-11 00:00:00,210.55,210.55,197.25,197.65,168.58,1057432
1999-03-12,201.75,201.75,193.0,194.75,167.41,526344
1999-03-12 00:00:00,201.75,201.75,193.0,194.75,166.11,526344
1999-03-15,195.75,199.38,195.0,195.0,167.62,365480
1999-03-15 00:00:00,195.75,199.38,195.0,195.0,166.32,365480
1999-03-16,189.3,196.75,186.25,189.57,162.96,547852
1999-03-16 00:00:00,189.3,196.75,186.25,189.57,161.69,547852
1999-03-17,190.0,195.0,187.12,188.25,161.82,377476
1999-03-17 00:00:00,190.0,195.0,187.12,188.25,160.56,377476
1999-03-18,188.25,203.26,188.25,201.0,172.78,626432
1999-03-18 00:00:00,188.25,203.26,188.25,201.0,171.44,626432
1999-03-19,203.12,203.5,196.5,199.0,171.06,363520
1999-03-19 00:00:00,203.12,203.5,196.5,199.0,169.73,363520
1999-03-22,187.5,209.75,187.5,207.2,178.11,459312
1999-03-22 00:00:00,187.5,209.75,187.5,207.2,176.73,459312
1999-03-23,207.02,223.77,202.52,223.77,192.36,528020
1999-03-23 00:00:00,207.02,223.77,202.52,223.77,190.86,528020
1999-03-24,226.25,230.6,205.88,216.81,186.37,806164
1999-03-24 00:00:00,226.25,230.6,205.88,216.81,184.93,806164
1999-03-25,218.71,218.71,209.0,212.25,182.45,342384
1999-03-25 00:00:00,218.71,218.71,209.0,212.25,181.03,342384
1999-03-25 00:00:00,218.71,218.71,209.0,212.25,182.78,342384
1999-03-26,207.77,213.0,203.75,211.19,181.54,323196
1999-03-26 00:00:00,207.77,213.0,203.75,211.19,181.87,323196
1999-03-26 00:00:00,207.77,213.0,203.75,211.19,180.13,323196
1999-03-29,211.19,211.19,211.19,211.19,181.54,0
1999-03-29 00:00:00,211.19,211.19,211.19,211.19,180.13,0
1999-03-29 00:00:00,211.19,211.19,211.19,211.19,181.87,0
1999-03-30,208.76,219.75,207.75,215.0,184.81,649488
1999-03-30 00:00:00,208.76,219.75,207.75,215.0,183.38,649488
1999-03-30 00:00:00,208.76,219.75,207.75,215.0,185.15,649488
1999-03-31,217.0,224.25,216.25,216.52,186.12,496388
1999-03-31 00:00:00,217.0,224.25,216.25,216.52,186.46,496388
1999-03-31 00:00:00,217.0,224.25,216.25,216.52,184.68,496388
1999-04-01,218.75,219.75,207.75,212.0,182.24,453292
1999-04-01 00:00:00,218.75,219.75,207.75,212.0,182.56,453292
