Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,1.12,1.12,1.12,1.12,0.63,13000
1998-11-17,1.17,1.4,1.17,1.36,0.77,195000
1998-11-18,1.48,1.56,1.45,1.45,0.82,284000
1998-11-19,1.5,1.5,1.3,1.3,0.74,117000
1998-11-20,1.29,1.33,1.25,1.28,0.72,62000
1998-11-23,1.25,1.26,1.15,1.2,0.68,47000
1998-11-24,1.2,1.23,1.11,1.17,0.67,112000
1998-11-25,1.17,1.17,1.17,1.17,0.67,0
1998-11-26,1.1,1.12,1.1,1.11,0.63,18000
1998-11-27,1.15,1.15,1.11,1.11,0.63,7000
1998-11-30,1.09,1.11,1.09,1.09,0.62,16000
1998-12-01,1.08,1.15,1.08,1.08,0.61,13000
1998-12-02,1.08,1.17,1.08,1.17,0.66,30000
1998-12-03,1.35,1.35,1.12,1.15,0.65,3000
1998-12-04,1.15,1.19,1.15,1.19,0.67,9000
1998-12-07,1.24,1.24,1.2,1.2,0.68,9000
1998-12-08,1.14,1.18,1.12,1.18,0.67,26000
1998-12-09,1.12,1.2,1.12,1.19,0.67,10000
1998-12-10,1.12,1.15,1.12,1.12,0.64,157000
1998-12-11,1.11,1.17,1.11,1.17,0.67,17000
1998-12-14,1.12,1.17,1.12,1.14,0.65,307000
1998-12-15,1.12,1.25,1.12,1.25,0.71,93000
1998-12-16,1.11,1.22,1.0,1.22,0.69,21000
1998-12-17,1.11,1.19,1.11,1.13,0.64,17000
1998-12-18,1.15,1.15,1.15,1.15,0.65,7000
1998-12-21,1.18,1.18,1.17,1.17,0.67,49000
1998-12-22,1.15,1.2,1.15,1.2,0.68,31000
1998-12-23,1.2,1.29,1.19,1.23,0.69,12000
1998-12-24,1.22,1.24,1.19,1.24,0.7,14000
1998-12-25,1.24,1.24,1.24,1.24,0.7,0
1998-12-28,1.23,1.27,1.14,1.27,0.72,39000
1998-12-29,1.21,1.28,1.21,1.27,0.72,40000
1998-12-30,1.3,1.3,1.25,1.27,0.72,49000
1998-12-31,1.29,1.3,1.25,1.25,0.71,54000
1999-01-01,1.22,1.22,1.22,1.22,0.69,1000
