Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,8.74,8.84,8.74,8.83,3.98,83199
1998-11-17,8.81,9.0,8.66,8.97,4.05,94399
1998-11-18,9.0,9.08,8.81,9.02,4.07,15199
1998-11-19,9.06,9.25,9.0,9.25,4.18,31999
1998-11-20,9.09,9.25,9.06,9.25,4.18,19999
1998-11-23,9.23,9.37,9.01,9.34,4.22,31999
1998-11-24,9.18,9.44,9.16,9.38,4.23,43199
1998-11-25,9.38,9.38,9.38,9.38,4.23,0
1998-11-26,9.28,9.28,8.97,8.97,4.05,12799
1998-11-27,8.99,8.99,8.74,8.85,4.0,137599
1998-11-30,9.02,9.06,8.91,9.01,4.07,19199
1998-12-01,9.25,9.41,9.03,9.21,4.16,27999
1998-12-02,9.25,9.34,9.19,9.25,4.18,9599
1998-12-03,9.26,9.34,9.2,9.25,4.18,7199
1998-12-04,9.19,9.35,9.13,9.33,4.21,6399
1998-12-07,9.26,9.35,9.19,9.34,4.22,8799
1998-12-08,9.75,9.75,9.26,9.43,4.26,26399
1998-12-09,9.49,9.5,9.43,9.5,4.29,9599
1998-12-10,9.56,9.56,9.45,9.45,4.27,3199
1998-12-11,9.56,9.56,9.5,9.55,4.31,7999
1998-12-14,9.44,9.59,9.43,9.47,4.28,10399
1998-12-15,9.25,9.34,9.13,9.13,4.12,52799
1998-12-16,9.13,9.13,9.13,9.13,4.12,0
1998-12-17,8.98,8.98,8.98,8.98,4.05,799
1998-12-18,9.0,9.13,9.0,9.13,4.12,40799
1998-12-21,9.06,9.49,9.06,9.37,4.23,48799
1998-12-22,9.25,9.34,9.25,9.34,4.22,121599
1998-12-23,9.38,9.39,9.2,9.2,4.15,206399
1998-12-24,9.19,9.19,9.13,9.19,4.15,19999
1998-12-25,9.19,9.19,9.19,9.19,4.15,0
1998-12-28,9.63,9.93,9.63,9.93,4.48,11999
1998-12-29,10.37,10.72,10.37,10.72,4.84,38399
1998-12-30,11.56,11.58,11.45,11.58,5.23,111199
1998-12-31,12.13,12.19,10.66,10.66,4.81,154399
1999-01-01,10.25,10.93,10.25,10.93,4.94,25599
1999-01-04,11.0,11.0,10.13,10.5,4.74,55199
1999-01-05,10.33,10.38,10.0,10.14,4.58,71999
1999-01-06,10.5,10.75,10.13,10.25,4.63,122399
1999-01-07,10.38,10.38,9.81,10.04,4.54,162399
1999-01-08,9.89,10.11,9.7,9.99,4.51,133599
1999-01-11,10.47,10.47,10.0,10.28,4.64,239999
1999-01-12,10.21,10.21,9.73,9.82,4.43,134399
1999-01-13,9.93,9.99,9.77,9.88,4.46,234399
1999-01-14,9.88,9.95,9.38,9.38,4.23,69599
1999-01-15,9.63,9.63,9.0,9.06,4.09,106399
1999-01-18,8.75,8.75,8.38,8.49,3.84,121599
1999-01-19,8.39,8.39,8.0,8.0,3.61,156799
1999-01-20,8.0,8.0,8.0,8.0,3.61,0
1999-01-21,8.48,8.64,8.25,8.64,3.9,47999
1999-01-22,8.75,9.13,8.63,8.69,3.92,107999
1999-01-25,8.44,8.68,8.0,8.24,3.72,92799
1999-01-26,8.24,8.24,8.24,8.24,3.72,0
1999-01-27,8.41,8.88,8.26,8.29,3.74,163199
1999-01-28,8.36,8.39,7.88,7.88,3.56,120799
1999-01-29,7.94,8.5,7.81,8.5,3.84,167999
1999-02-01,8.5,8.5,7.89,8.38,3.78,161599
1999-02-02,8.13,8.37,7.91,8.0,3.61,137599
1999-02-03,7.99,8.25,7.94,8.25,3.73,61599
1999-02-04,7.78,8.49,7.65,7.85,3.54,121535939
1999-02-05,7.99,7.99,7.56,7.59,3.43,143999
1999-02-08,7.53,7.53,7.09,7.09,3.2,103999
1999-02-09,7.23,7.24,6.73,6.93,3.13,203199
1999-02-10,7.38,7.48,7.13,7.48,3.38,31239
1999-02-11,7.56,7.88,7.56,7.83,3.53,70415
1999-02-12,7.81,7.88,7.63,7.88,3.56,28807
1999-02-15,7.64,7.64,7.47,7.56,3.41,26263
1999-02-16,7.39,7.5,7.31,7.5,3.39,46815
1999-02-17,7.74,7.74,7.38,7.53,3.4,15359
1999-02-18,7.49,7.75,7.41,7.41,3.34,51039
1999-02-19,7.69,7.69,7.5,7.53,3.4,32799
1999-02-22,7.63,7.63,7.13,7.38,3.33,40007
1999-02-23,7.13,7.5,7.03,7.27,3.28,63215
1999-02-24,7.33,7.44,7.29,7.44,3.36,11191
1999-02-25,7.5,7.56,7.43,7.5,3.39,29375
1999-02-26,7.5,7.5,6.91,7.01,3.16,199287
1999-03-01,7.25,7.25,6.88,7.0,3.16,773031
1999-03-02,7.0,7.0,7.0,7.0,3.16,0
1999-03-03,7.5,7.56,7.0,7.0,3.16,79151
1999-03-04,6.95,7.31,6.88,6.89,3.11,1009927
1999-03-05,7.06,7.06,6.88,6.88,3.11,40031
1999-03-08,6.88,7.09,6.88,7.04,3.18,58999
1999-03-09,7.13,7.38,7.11,7.31,3.3,96007
1999-03-10,7.5,7.88,7.5,7.63,3.44,112631
1999-03-11,7.79,7.86,7.45,7.5,3.39,54111
1999-03-12,7.62,7.63,7.44,7.49,3.38,13375
1999-03-15,7.41,7.41,7.13,7.16,3.23,73583
1999-03-16,7.31,7.56,7.16,7.5,3.39,323591
1999-03-17,7.63,7.88,7.5,7.5,3.39,75999
1999-03-18,7.63,7.63,7.44,7.5,3.39,35279
1999-03-19,7.72,7.81,7.45,7.5,3.39,18999
1999-03-22,7.34,7.49,7.33,7.4,3.34,12079
1999-03-23,7.28,7.61,7.19,7.49,3.38,79927
1999-03-24,7.96,8.09,7.75,7.94,3.59,116799
1999-03-25,7.86,8.03,7.81,7.89,3.56,22959
1999-03-26,8.09,8.25,7.44,7.5,3.39,139599
1999-03-29,7.5,7.5,7.5,7.5,3.39,0
1999-03-30,7.61,7.74,7.11,7.28,3.29,501343
1999-03-31,7.53,7.87,7.5,7.63,3.44,94551
1999-04-01,7.86,7.86,7.5,7.58,3.42,66231
1999-04-02,7.58,7.58,7.58,7.58,3.42,0
1999-04-05,7.64,7.99,7.5,7.5,3.39,103679
1999-04-06,7.5,7.56,7.31,7.5,3.39,56647
1999-04-07,7.7,7.88,7.63,7.64,3.45,54143
1999-04-08,7.63,7.75,7.63,7.63,3.44,31215
1999-04-09,7.46,7.56,7.36,7.47,3.37,25399
1999-04-12,7.14,7.33,6.88,7.13,3.22,624671
1999-04-13,7.25,7.25,6.88,7.0,3.16,62023
1999-04-15,6.88,7.06,6.88,7.0,3.16,10399
1999-04-16,6.93,7.56,6.92,7.56,3.41,87399
1999-04-19,7.13,7.19,7.04,7.14,3.22,39447
1999-04-20,7.13,7.13,6.94,7.0,3.16,36695
1999-04-21,7.13,7.19,7.13,7.19,3.25,9599
1999-04-22,7.06,7.18,7.05,7.09,3.2,12679
1999-04-23,7.14,7.5,7.03,7.24,3.27,18679
1999-04-26,6.88,7.18,6.88,7.18,3.24,82279
1999-04-27,7.18,7.18,7.18,7.18,3.24,0
1999-04-28,6.95,7.34,6.94,7.34,3.31,28351
1999-04-29,7.13,7.5,7.06,7.38,3.33,20911
1999-04-30,7.61,7.61,7.5,7.51,3.39,33263
1999-05-03,7.56,7.56,7.39,7.53,3.4,38199
1999-05-04,7.59,7.63,7.5,7.63,3.44,42479
1999-05-05,7.72,8.13,7.69,7.75,3.5,79287
1999-05-06,7.76,7.97,7.75,7.77,3.51,27207
1999-05-07,7.98,7.98,7.5,7.74,3.49,99599
1999-05-10,7.52,7.81,7.51,7.81,3.53,34103
1999-05-11,7.98,7.98,7.5,7.53,3.4,408431
1999-05-12,7.86,7.94,7.63,7.63,3.44,63599
1999-05-13,7.69,7.88,7.5,7.5,3.39,845919
1999-05-14,7.59,7.88,7.55,7.88,3.56,396063
1999-05-17,7.84,8.19,7.78,7.79,3.52,184159
1999-05-18,7.82,8.36,7.81,8.36,3.78,255679
1999-05-19,8.4,9.03,8.4,9.03,4.08,122199
1999-05-20,9.75,9.76,9.39,9.75,4.4,948351
1999-05-21,10.06,10.5,9.64,9.81,4.43,1009047
1999-05-24,9.63,9.84,9.08,9.24,4.17,248487
1999-05-25,8.91,9.26,8.91,9.12,4.12,253711
1999-05-26,9.25,9.35,8.75,8.84,3.99,213047
1999-05-27,8.66,9.04,8.66,8.75,3.95,110119
1999-05-28,8.38,8.5,8.05,8.15,3.68,176239
1999-05-31,8.75,8.81,8.26,8.81,3.98,191255
1999-06-01,8.91,8.91,8.26,8.26,3.73,177855
1999-06-02,8.59,8.75,8.52,8.74,3.95,65359
1999-06-03,8.65,8.89,8.65,8.75,3.95,89847
1999-06-04,8.75,8.94,8.6,8.69,3.93,548511
1999-06-07,8.63,8.81,8.51,8.63,3.89,129703
1999-06-08,8.63,8.63,8.41,8.5,3.84,163407
1999-06-09,8.63,8.86,8.56,8.64,3.9,72399
1999-06-10,8.75,8.85,8.63,8.63,3.89,70583
1999-06-11,8.56,8.63,8.44,8.5,3.84,61543
1999-06-14,8.25,8.37,7.94,8.14,3.68,68999
1999-06-15,8.26,8.34,7.88,7.96,3.6,52615
1999-06-16,8.11,8.43,8.11,8.32,3.76,28367
1999-06-17,8.5,8.65,8.43,8.59,3.88,127271
1999-06-18,8.63,8.73,8.51,8.51,3.84,106311
1999-06-21,8.52,8.74,8.44,8.56,3.87,45895
1999-06-22,8.13,8.56,8.13,8.38,3.78,883775
1999-06-23,8.73,8.73,8.26,8.4,3.79,949399
1999-06-24,8.44,8.44,8.2,8.22,3.71,38439
1999-06-25,8.18,8.18,8.06,8.12,3.67,77959
1999-06-28,8.08,8.13,7.88,7.94,3.58,136639
1999-06-28 00:00:00,8.08,8.13,7.88,7.94,3.48,136639
1999-06-29,7.97,8.0,7.75,7.78,3.51,144799
1999-06-29 00:00:00,7.97,8.0,7.75,7.78,3.41,144799
1999-06-30,7.91,7.99,7.69,7.74,3.5,209999
1999-06-30 00:00:00,7.91,7.99,7.69,7.74,3.39,209999
1999-07-01,8.0,8.0,7.72,7.77,3.51,207415
1999-07-01 00:00:00,8.0,8.0,7.72,7.77,3.4,207415
1999-07-02,7.77,7.77,7.77,7.77,3.51,0
1999-07-02 00:00:00,7.77,7.77,7.77,7.77,3.4,0
1999-07-05,7.87,7.98,7.79,7.88,3.56,165839
1999-07-05 00:00:00,7.87,7.98,7.79,7.88,3.45,165839
1999-07-06,7.92,7.99,7.81,7.87,3.55,228999
1999-07-06 00:00:00,7.92,7.99,7.81,7.87,3.45,228999
1999-07-07,8.0,8.49,8.0,8.04,3.63,587519
1999-07-07 00:00:00,8.0,8.49,8.0,8.04,3.52,587519
1999-07-08,8.13,8.13,7.81,7.87,3.55,267399
1999-07-08 00:00:00,8.13,8.13,7.81,7.87,3.45,267399
1999-07-09,7.96,8.04,7.86,7.91,3.57,415223
1999-07-09 00:00:00,7.96,8.04,7.86,7.91,3.46,415223
1999-07-12,8.06,8.54,7.96,8.53,3.85,1117023
1999-07-12 00:00:00,8.06,8.54,7.96,8.53,3.74,1117023
1999-07-13,9.13,9.22,8.5,8.54,3.86,1704319
1999-07-13 00:00:00,9.13,9.22,8.5,8.54,3.74,1704319
1999-07-14,8.99,9.23,8.63,9.23,4.17,7202692
1999-07-14 00:00:00,8.99,9.23,8.63,9.23,4.04,7202692
1999-07-15,9.98,9.98,9.01,9.59,4.33,3199702
1999-07-15 00:00:00,9.98,9.98,9.01,9.59,4.2,3199702
1999-07-16,9.75,10.36,9.39,10.34,4.67,6067292
1999-07-16 00:00:00,9.75,10.36,9.39,10.34,4.53,6067292
1999-07-19,10.56,10.61,10.06,10.23,4.62,3226622
1999-07-19 00:00:00,10.56,10.61,10.06,10.23,4.48,3226622
1999-07-20,10.0,10.13,9.47,9.53,4.3,2855326
1999-07-20 00:00:00,10.0,10.13,9.47,9.53,4.17,2855326
1999-07-21,9.99,10.0,9.63,9.88,4.46,1006359
1999-07-21 00:00:00,9.99,10.0,9.63,9.88,4.32,1006359
1999-07-22,9.88,10.06,9.59,9.65,4.36,897903
1999-07-22 00:00:00,9.88,10.06,9.59,9.65,4.23,897903
1999-07-23,9.5,9.72,9.38,9.47,4.28,1257287
1999-07-23 00:00:00,9.5,9.72,9.38,9.47,4.15,1257287
1999-07-26,9.41,9.61,9.38,9.48,4.28,489199
1999-07-26 00:00:00,9.41,9.61,9.38,9.48,4.15,489199
1999-07-27,9.31,9.78,9.02,9.62,4.34,1143551
1999-07-27 00:00:00,9.31,9.78,9.02,9.62,4.21,1143551
1999-07-28,9.25,9.34,9.0,9.11,4.11,968743
1999-07-28 00:00:00,9.25,9.34,9.0,9.11,3.99,968743
1999-07-29,8.65,9.06,8.5,8.94,4.04,1326095
1999-07-29 00:00:00,8.65,9.06,8.5,8.94,3.92,1326095
1999-07-30,8.88,9.04,8.75,8.81,3.98,457903
1999-07-30 00:00:00,8.88,9.04,8.75,8.81,3.86,457903
1999-08-02,8.57,8.81,8.57,8.73,3.94,228319
1999-08-02 00:00:00,8.57,8.81,8.57,8.73,3.82,228319
1999-08-03,8.75,8.75,8.44,8.6,3.88,593959
1999-08-03 00:00:00,8.75,8.75,8.44,8.6,3.77,593959
1999-08-04,9.25,9.25,8.63,8.99,4.06,390975
1999-08-04 00:00:00,9.25,9.25,8.63,8.99,3.94,390975
1999-08-05,9.11,9.25,8.76,8.79,3.97,288639
1999-08-05 00:00:00,9.11,9.25,8.76,8.79,3.85,288639
1999-08-06,8.77,8.89,8.75,8.83,3.98,60199
1999-08-06 00:00:00,8.77,8.89,8.75,8.83,3.86,60199
1999-08-09,8.93,8.93,8.75,8.84,3.99,138199
1999-08-09 00:00:00,8.93,8.93,8.75,8.84,3.87,138199
1999-08-10,8.75,9.11,8.75,9.01,4.07,470679
1999-08-10 00:00:00,8.75,9.11,8.75,9.01,3.95,470679
1999-08-11,9.11,9.13,8.81,8.91,4.02,880999
1999-08-11 00:00:00,9.11,9.13,8.81,8.91,3.9,880999
1999-08-12,8.94,9.03,8.94,9.01,4.07,108599
1999-08-12 00:00:00,8.94,9.03,8.94,9.01,3.95,108599
1999-08-13,8.94,9.35,8.94,9.26,4.18,1033559
1999-08-13 00:00:00,8.94,9.35,8.94,9.26,4.05,1033559
1999-08-16,9.5,9.56,9.27,9.49,4.29,586007
1999-08-16 00:00:00,9.5,9.56,9.27,9.49,4.16,586007
1999-08-17,9.61,9.61,9.38,9.51,4.29,400951
1999-08-17 00:00:00,9.61,9.61,9.38,9.51,4.16,400951
1999-08-18,9.7,10.13,9.53,9.61,4.34,410519
1999-08-18 00:00:00,9.7,10.13,9.53,9.61,4.21,410519
1999-08-19,9.75,9.75,9.31,9.32,4.21,201887
1999-08-19 00:00:00,9.75,9.75,9.31,9.32,4.08,201887
1999-08-20,9.38,9.44,9.13,9.43,4.26,400439
1999-08-20 00:00:00,9.38,9.44,9.13,9.43,4.13,400439
1999-08-23,9.5,9.75,9.4,9.49,4.28,454439
1999-08-23 00:00:00,9.5,9.75,9.4,9.49,4.15,454439
1999-08-24,9.67,9.73,9.38,9.63,4.35,850983
1999-08-24 00:00:00,9.67,9.73,9.38,9.63,4.22,850983
1999-08-25,10.25,10.25,9.63,9.74,4.4,1485359
1999-08-25 00:00:00,10.25,10.25,9.63,9.74,4.26,1485359
1999-08-26,9.98,10.0,9.69,9.78,4.42,465799
1999-08-26 00:00:00,9.98,10.0,9.69,9.78,4.28,465799
1999-08-27,9.94,9.94,9.63,9.75,4.4,671519
1999-08-27 00:00:00,9.94,9.94,9.63,9.75,4.27,671519
1999-08-30,9.84,9.94,9.63,9.91,4.68,619047
1999-08-30 00:00:00,9.84,9.94,9.63,9.91,4.54,619047
1999-08-31,9.88,9.94,9.8,9.87,4.67,229951
1999-08-31 00:00:00,9.88,9.94,9.8,9.87,4.52,229951
