Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,49.57,51.05,49.57,50.87,38.85,507298
2002-07-01 00:00:00,49.57,51.05,49.57,50.87,38.64,507298
2002-07-01 00:00:00,49.37,50.84,49.37,50.67,38.49,509315
2002-07-02,51.9,52.2,51.05,51.9,39.64,1058491
2002-07-02 00:00:00,51.9,52.2,51.05,51.9,39.43,1058491
2002-07-02 00:00:00,51.69,51.99,50.84,51.7,39.27,1062700
2002-07-03,51.12,52.13,51.12,51.97,39.7,616447
2002-07-03 00:00:00,51.12,52.13,51.12,51.97,39.48,616447
2002-07-03 00:00:00,50.92,51.92,50.92,51.77,39.32,618898
2002-07-04,53.91,53.91,51.16,51.92,39.66,744665
2002-07-04 00:00:00,53.91,53.91,51.16,51.92,39.44,744665
2002-07-04 00:00:00,53.7,53.7,50.96,51.71,39.28,747626
2002-07-05,50.35,52.33,50.35,51.3,39.18,668830
2002-07-05 00:00:00,50.35,52.33,50.35,51.3,38.97,668830
2002-07-05 00:00:00,50.15,52.12,50.15,51.1,38.81,671490
2002-07-08,51.16,52.36,51.16,52.22,39.89,435556
2002-07-08 00:00:00,51.16,52.36,51.16,52.22,39.67,435556
2002-07-08 00:00:00,50.96,52.15,50.96,52.02,39.51,437288
2002-07-09,51.9,54.21,51.9,52.62,40.19,1011247
2002-07-09 00:00:00,51.9,54.21,51.9,52.62,39.97,1011247
2002-07-09 00:00:00,51.69,53.99,51.69,52.41,39.81,1015268
2002-07-10,52.52,53.59,52.08,53.42,40.8,658379
2002-07-10 00:00:00,52.31,53.37,51.87,53.21,40.42,660997
2002-07-10 00:00:00,52.52,53.59,52.08,53.42,40.58,658379
2002-07-11,52.98,53.14,52.37,52.71,40.26,452223
2002-07-11 00:00:00,52.77,52.93,52.16,52.5,39.88,454022
2002-07-11 00:00:00,52.98,53.14,52.37,52.71,40.04,452223
2002-07-12,53.45,53.45,52.68,52.98,40.47,568299
2002-07-12 00:00:00,53.23,53.23,52.47,52.77,40.09,570558
2002-07-12 00:00:00,53.45,53.45,52.68,52.98,40.25,568299
