Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,5.52,5.6,5.43,5.47,4.47,646000
1998-11-17,5.43,5.52,5.35,5.4,4.41,1476000
1998-11-18,5.49,5.64,5.45,5.64,4.6,1163000
1998-11-19,5.6,5.65,5.45,5.46,4.45,593000
1998-11-20,5.43,5.49,5.34,5.36,4.37,547000
1998-11-23,5.35,5.43,5.23,5.25,4.28,506000
1998-11-24,5.22,5.35,5.2,5.35,4.36,829000
1998-11-25,5.35,5.35,5.35,5.35,4.36,0
1998-11-26,5.2,5.32,5.14,5.2,4.24,349000
1998-11-27,5.19,5.2,5.05,5.07,4.14,462000
1998-11-30,5.07,5.2,4.94,5.11,4.17,373000
1998-12-01,5.14,5.25,5.08,5.22,4.26,462000
1998-12-02,5.3,5.38,5.22,5.28,4.31,352000
1998-12-03,5.24,5.27,5.18,5.18,4.23,226000
1998-12-04,5.16,5.2,5.1,5.12,4.18,288000
1998-12-07,5.09,5.21,5.09,5.2,4.25,299000
1998-12-08,5.2,5.3,5.14,5.18,4.22,616000
1998-12-09,5.3,5.3,5.14,5.22,4.26,381000
1998-12-10,5.18,5.24,5.16,5.16,4.21,232000
1998-12-11,5.19,5.24,5.16,5.22,4.26,209000
1998-12-14,5.21,5.33,5.17,5.24,4.27,632000
1998-12-15,5.22,5.22,5.16,5.22,4.26,389000
1998-12-16,5.12,5.25,5.12,5.23,4.27,285000
1998-12-17,5.14,5.2,5.05,5.08,4.14,513000
1998-12-18,5.14,5.45,5.03,5.32,4.34,1438000
1998-12-21,5.33,5.45,5.3,5.4,4.41,716000
1998-12-22,5.34,5.4,5.2,5.22,4.26,847000
1998-12-23,5.33,5.39,5.28,5.32,4.34,625000
1998-12-24,5.26,5.59,5.26,5.41,4.41,1059000
1998-12-25,5.41,5.41,5.41,5.41,4.41,0
1998-12-28,5.56,5.61,5.45,5.45,4.45,1381000
1998-12-29,5.39,5.53,5.39,5.47,4.47,1182000
1998-12-30,5.64,5.8,5.58,5.68,4.63,1219000
1998-12-31,5.74,5.74,5.45,5.47,4.47,575000
1999-01-01,5.52,5.54,5.45,5.52,4.5,298000
1999-01-04,5.51,5.68,5.5,5.53,4.51,783000
1999-01-05,5.5,5.65,5.5,5.6,4.57,1250000
1999-01-06,5.7,5.78,5.6,5.69,4.64,537000
1999-01-07,5.72,6.14,5.66,6.1,4.98,3895000
1999-01-08,6.5,6.5,6.01,6.49,5.3,3636000
1999-01-11,6.58,6.7,6.36,6.39,5.22,4210000
1999-01-12,6.3,6.55,6.25,6.41,5.23,2449000
1999-01-13,6.57,6.78,6.5,6.59,5.37,2404000
1999-01-14,6.45,6.59,6.43,6.56,5.35,1325000
1999-01-15,6.6,6.6,6.04,6.16,5.02,1844000
1999-01-18,6.18,6.22,5.8,5.9,4.81,1039000
1999-01-19,5.91,5.96,5.54,5.6,4.57,1727000
1999-01-20,5.6,5.6,5.6,5.6,4.57,0
1999-01-21,5.63,5.74,5.53,5.65,4.61,1310000
1999-01-22,5.68,5.85,5.66,5.72,4.67,871000
1999-01-25,5.63,5.7,5.31,5.56,4.54,790000
1999-01-26,5.56,5.56,5.56,5.56,4.54,0
1999-01-27,5.86,5.86,5.65,5.7,4.65,1016000
1999-01-28,5.7,5.74,5.6,5.63,4.59,741000
1999-01-29,5.61,6.08,5.6,6.07,4.95,1617000
1999-02-01,5.93,6.0,5.66,5.66,4.61,787000
1999-02-02,5.8,5.8,5.47,5.53,4.51,1095000
1999-02-03,5.79,5.79,5.55,5.6,4.57,772000
1999-02-04,5.68,5.7,5.51,5.54,4.52,292000
1999-02-05,5.51,5.55,5.35,5.45,4.45,445000
1999-02-08,5.32,5.39,5.12,5.12,4.18,600000
1999-02-09,5.11,5.16,4.97,5.1,4.16,1287000
1999-02-10,5.22,5.3,5.16,5.2,4.24,723000
1999-02-11,5.25,5.38,5.18,5.26,4.29,669000
1999-02-12,5.2,5.3,5.15,5.2,4.24,394000
1999-02-15,5.24,5.24,5.14,5.18,4.23,435000
1999-02-16,5.17,5.24,4.97,5.11,4.17,868000
1999-02-17,5.18,5.52,5.14,5.36,4.37,882000
1999-02-18,5.45,5.53,5.29,5.5,4.49,1047000
1999-02-19,5.49,5.7,5.4,5.6,4.57,783000
1999-02-22,5.56,5.65,5.31,5.31,4.33,538000
1999-02-23,5.3,5.34,5.15,5.29,4.32,674000
1999-02-24,5.28,5.33,5.2,5.3,4.32,282000
1999-02-25,5.25,5.25,5.1,5.15,4.2,268000
1999-02-26,5.06,5.15,4.91,5.03,4.1,611000
1999-03-01,5.1,5.34,5.0,5.17,4.22,1689000
1999-03-02,5.17,5.17,5.17,5.17,4.22,0
1999-03-03,5.58,5.59,5.58,5.59,4.56,219000
1999-03-04,6.03,6.03,5.66,6.03,4.92,6361000
1999-03-05,6.2,6.47,5.95,6.28,5.12,8536000
1999-03-08,6.3,6.55,6.22,6.4,5.22,5858000
1999-03-09,6.32,6.44,6.13,6.28,5.12,3781000
1999-03-10,6.35,6.35,5.78,5.78,4.71,2078000
1999-03-11,5.55,5.93,5.4,5.4,4.41,1859000
1999-03-12,5.47,5.82,5.36,5.82,4.75,2800000
1999-03-15,5.65,5.84,5.61,5.74,4.68,2357000
1999-03-16,5.62,5.65,5.3,5.32,4.34,2155000
1999-03-17,5.36,5.54,5.36,5.39,4.4,1215000
1999-03-18,5.37,5.6,5.37,5.6,4.57,2104000
1999-03-19,5.32,5.55,5.32,5.41,4.41,1761000
1999-03-22,5.4,5.57,5.28,5.51,4.49,2063000
1999-03-23,5.41,5.78,5.41,5.76,4.7,3068000
1999-03-24,6.0,6.22,5.9,6.05,4.94,4286000
1999-03-25,6.1,6.49,6.1,6.2,5.06,3186000
1999-03-26,6.3,6.42,6.05,6.34,5.17,6265000
1999-03-29,6.34,6.34,6.34,6.34,5.17,0
1999-03-30,6.22,6.6,6.22,6.52,5.32,18299000
1999-03-31,7.03,7.05,6.93,6.95,5.67,1826910
1999-04-01,7.05,7.05,6.65,6.76,5.52,725080
1999-04-02,6.76,6.76,6.76,6.76,5.52,0
1999-04-05,6.51,6.6,6.3,6.36,5.19,1335630
1999-04-06,6.2,6.88,6.2,6.88,5.61,1477290
1999-04-07,6.9,6.9,6.58,6.61,5.39,1855620
1999-04-08,6.51,6.66,6.48,6.53,5.33,872290
1999-04-09,6.5,6.55,6.45,6.53,5.32,1144550
1999-04-12,6.48,6.58,6.4,6.56,5.35,544760
1999-04-13,6.55,6.59,6.5,6.5,5.3,630580
1999-04-14,6.5,6.5,6.5,6.5,5.3,0
1999-04-15,6.4,6.53,6.4,6.51,5.32,1249670
1999-04-16,6.52,7.04,6.5,7.04,5.74,2035890
1999-04-19,6.48,6.85,6.43,6.72,5.59,1635860
1999-04-20,6.75,6.94,6.55,6.72,5.59,2192790
1999-04-21,6.72,6.76,6.5,6.55,5.44,1557190
1999-04-22,6.6,6.65,6.38,6.42,5.34,1667680
1999-04-23,6.45,6.48,6.33,6.46,5.37,1028990
1999-04-26,6.11,6.24,5.95,5.95,4.94,2506370
1999-04-27,5.95,5.95,5.95,5.95,4.94,0
1999-04-28,5.9,6.15,5.85,6.1,5.07,2935730
1999-04-29,6.14,6.35,6.1,6.32,5.25,1074800
1999-04-30,6.28,6.5,6.28,6.48,5.39,1165180
1999-05-03,6.5,6.57,6.3,6.34,5.27,791010
1999-05-04,6.3,6.61,6.3,6.59,5.48,1204750
1999-05-05,6.55,6.85,6.45,6.71,5.58,2535570
1999-05-06,6.7,6.84,6.65,6.77,5.63,1074830
