Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,25.42,25.82,24.82,25.13,18.18,2047540
2002-07-01 00:00:00,25.42,25.82,24.82,25.13,17.89,2047540
2002-07-02,25.45,27.64,25.24,26.75,19.35,5546354
2002-07-02 00:00:00,25.45,27.64,25.24,26.75,19.04,5546354
2002-07-03,26.73,28.18,26.65,28.09,20.33,5745267
2002-07-03 00:00:00,26.73,28.18,26.65,28.09,20.0,5745267
2002-07-04,28.18,28.8,27.04,27.39,19.82,3896601
2002-07-04 00:00:00,28.18,28.8,27.04,27.39,19.5,3896601
2002-07-05,27.09,27.86,26.95,27.67,20.03,3261038
2002-07-05 00:00:00,27.09,27.86,26.95,27.67,19.7,3261038
2002-07-05 00:00:00,27.09,27.86,26.95,27.67,20.02,3261038
2002-07-08,27.88,27.89,27.17,27.25,19.72,2092667
2002-07-08 00:00:00,27.88,27.89,27.17,27.25,19.71,2092667
2002-07-08 00:00:00,27.88,27.89,27.17,27.25,19.39,2092667
2002-07-09,27.4,27.68,26.93,27.09,19.6,1026800
2002-07-09 00:00:00,27.4,27.68,26.93,27.09,19.28,1026800
2002-07-10,27.24,27.27,26.91,26.99,19.53,1513611
2002-07-10 00:00:00,27.24,27.27,26.91,26.99,19.21,1513611
2002-07-11,27.08,27.08,26.55,26.79,19.39,1454750
2002-07-11 00:00:00,27.08,27.08,26.55,26.79,19.07,1454750
2002-07-12,27.27,27.41,26.67,26.79,19.39,475040
2002-07-12 00:00:00,27.27,27.41,26.67,26.79,19.07,475040
2002-07-15,26.89,26.91,26.18,26.37,19.08,535634
2002-07-15 00:00:00,26.89,26.91,26.18,26.37,18.77,535634
2002-07-16,26.18,26.36,25.9,26.15,18.92,1400542
2002-07-16 00:00:00,26.18,26.36,25.9,26.15,18.61,1400542
2002-07-17,26.18,26.49,26.0,26.33,19.05,1242741
2002-07-17 00:00:00,26.18,26.49,26.0,26.33,18.74,1242741
2002-07-18,26.38,26.54,26.18,26.35,19.07,1076009
2002-07-18 00:00:00,26.38,26.54,26.18,26.35,18.76,1076009
2002-07-19,26.0,27.27,25.45,26.46,19.15,4412276
2002-07-19 00:00:00,26.0,27.27,25.45,26.46,18.84,4412276
2002-07-22,26.18,26.36,25.65,26.27,19.01,1842252
2002-07-22 00:00:00,26.18,26.36,25.65,26.27,18.7,1842252
2002-07-23,26.35,26.51,26.11,26.4,19.1,2576926
2002-07-23 00:00:00,26.35,26.51,26.11,26.4,18.79,2576926
2002-07-24,26.02,26.23,25.57,25.75,18.63,1909121
2002-07-24 00:00:00,26.02,26.23,25.57,25.75,18.33,1909121
2002-07-25,26.36,26.69,25.22,25.41,18.39,2055350
2002-07-25 00:00:00,26.36,26.69,25.22,25.41,18.09,2055350
2002-07-26,24.91,25.14,24.6,24.96,18.06,1349804
2002-07-26 00:00:00,24.91,25.14,24.6,24.96,17.77,1349804
2002-07-29,25.18,26.18,24.55,25.78,18.66,1999052
2002-07-29 00:00:00,25.18,26.18,24.55,25.78,18.35,1999052
2002-07-30,26.53,26.53,24.55,25.08,18.15,3601317
2002-07-30 00:00:00,26.53,26.53,24.55,25.08,17.85,3601317
2002-07-31,24.82,25.82,24.42,25.56,18.5,1734975
2002-07-31 00:00:00,24.82,25.82,24.42,25.56,18.2,1734975
2002-08-01,25.8,26.52,25.59,26.32,19.05,2501174
2002-08-01 00:00:00,25.8,26.52,25.59,26.32,18.73,2501174
2002-08-01 00:00:00,25.8,26.52,25.59,26.32,19.04,2501174
2002-08-02,26.36,26.36,23.65,25.57,18.51,987239
2002-08-02 00:00:00,26.36,26.36,23.65,25.57,18.2,987239
2002-08-02 00:00:00,26.36,26.36,23.65,25.57,18.5,987239
2002-08-05,25.45,25.64,24.69,24.93,18.04,1550274
2002-08-05 00:00:00,25.45,25.64,24.69,24.93,17.74,1550274
2002-08-06,24.9,25.02,24.54,24.79,17.94,1488140
2002-08-06 00:00:00,24.9,25.02,24.54,24.79,17.65,1488140
2002-08-07,25.09,25.36,24.65,24.87,18.0,1053602
2002-08-07 00:00:00,25.09,25.36,24.65,24.87,17.71,1053602
2002-08-08,24.93,25.0,24.57,24.68,17.86,881501
2002-08-08 00:00:00,24.93,25.0,24.57,24.68,17.57,881501
2002-08-09,24.64,24.73,24.48,24.66,17.85,1368873
2002-08-09 00:00:00,24.64,24.73,24.48,24.66,17.56,1368873
2002-08-12,24.55,24.89,24.23,24.43,17.68,467516
2002-08-12 00:00:00,24.55,24.89,24.23,24.43,17.39,467516
2002-08-12 00:00:00,24.55,24.89,24.23,24.43,17.67,467516
2002-08-13,24.55,24.73,24.0,24.42,17.67,710748
2002-08-13 00:00:00,24.55,24.73,24.0,24.42,17.38,710748
2002-08-14,24.47,24.73,23.92,24.05,17.41,573578
2002-08-14 00:00:00,24.47,24.73,23.92,24.05,17.12,573578
2002-08-15,24.05,24.05,24.05,24.05,17.41,0
2002-08-15 00:00:00,24.05,24.05,24.05,24.05,17.12,0
2002-08-16,24.09,24.53,24.09,24.4,17.66,416421
2002-08-16 00:00:00,24.09,24.53,24.09,24.4,17.37,416421
2002-08-19,24.37,24.82,24.37,24.71,17.88,297099
2002-08-19 00:00:00,24.37,24.82,24.37,24.71,17.59,297099
2002-08-20,25.08,25.09,24.5,24.55,17.76,533890
2002-08-20 00:00:00,25.08,25.09,24.5,24.55,17.47,533890
2002-08-21,24.55,24.68,24.51,24.6,17.8,326172
2002-08-21 00:00:00,24.55,24.68,24.51,24.6,17.51,326172
2002-08-22,24.55,24.55,24.09,24.44,17.68,1088593
2002-08-22 00:00:00,24.55,24.55,24.09,24.44,17.4,1088593
2002-08-23,24.36,25.64,24.36,25.34,18.33,1992430
2002-08-23 00:00:00,24.36,25.64,24.36,25.34,18.04,1992430
2002-08-26,25.62,26.0,25.19,25.34,18.33,1476348
2002-08-26 00:00:00,25.62,26.0,25.19,25.34,18.04,1476348
2002-08-27,25.58,25.73,25.0,25.41,18.39,2143086
2002-08-27 00:00:00,25.58,25.73,25.0,25.41,18.09,2143086
2002-08-28,25.25,25.98,25.2,25.32,18.32,1792769
2002-08-28 00:00:00,25.25,25.98,25.2,25.32,18.02,1792769
2002-08-29,25.32,25.45,25.03,25.25,18.28,680449
2002-08-29 00:00:00,25.32,25.45,25.03,25.25,18.27,680449
2002-08-29 00:00:00,25.32,25.45,25.03,25.25,17.98,680449
2002-08-30,25.64,26.26,25.45,26.11,18.89,2018241
2002-08-30 00:00:00,25.64,26.26,25.45,26.11,18.59,2018241
2002-09-02,26.18,26.45,25.68,25.86,18.72,559938
2002-09-02 00:00:00,26.18,26.45,25.68,25.86,18.71,559938
2002-09-02 00:00:00,26.18,26.45,25.68,25.86,18.41,559938
2002-09-03,25.65,25.91,25.32,25.53,18.47,311476
2002-09-03 00:00:00,25.65,25.91,25.32,25.53,18.17,311476
2002-09-04,25.13,25.44,25.07,25.35,18.34,225780
2002-09-04 00:00:00,25.13,25.44,25.07,25.35,18.04,225780
2002-09-05,25.62,25.64,25.18,25.48,18.44,611853
2002-09-05 00:00:00,25.62,25.64,25.18,25.48,18.14,611853
2002-09-06,25.5,26.2,25.27,25.98,18.8,1450828
2002-09-06 00:00:00,25.5,26.2,25.27,25.98,18.5,1450828
2002-09-09,26.07,26.09,24.73,25.7,18.6,1168799
2002-09-09 00:00:00,26.07,26.09,24.73,25.7,18.29,1168799
2002-09-10,25.7,25.7,25.7,25.7,18.6,0
2002-09-10 00:00:00,25.7,25.7,25.7,25.7,18.29,0
2002-09-11,25.97,26.44,25.91,26.18,18.95,997804
2002-09-11 00:00:00,25.97,26.44,25.91,26.18,18.64,997804
2002-09-11 00:00:00,25.97,26.44,25.91,26.18,18.94,997804
2002-09-12,26.38,26.55,25.92,26.18,18.95,1523280
2002-09-12 00:00:00,26.38,26.55,25.92,26.18,18.94,1523280
2002-09-12 00:00:00,26.38,26.55,25.92,26.18,18.64,1523280
2002-09-13,23.91,26.47,23.91,26.05,18.85,699270
2002-09-13 00:00:00,23.91,26.47,23.91,26.05,18.55,699270
2002-09-16,26.16,26.17,25.64,25.95,18.78,1936346
2002-09-16 00:00:00,26.16,26.17,25.64,25.95,18.48,1936346
2002-09-17,25.75,26.18,25.74,26.14,18.91,862224
2002-09-17 00:00:00,25.75,26.18,25.74,26.14,18.61,862224
2002-09-18,25.98,26.36,25.75,26.25,18.99,792280
2002-09-18 00:00:00,25.98,26.36,25.75,26.25,18.68,792280
2002-09-19,26.18,26.82,26.05,26.57,19.23,1652959
2002-09-19 00:00:00,26.18,26.82,26.05,26.57,18.92,1652959
2002-09-20,25.45,26.14,25.0,25.61,18.53,1619717
2002-09-20 00:00:00,25.45,26.14,25.0,25.61,18.23,1619717
2002-09-23,25.46,25.62,25.09,25.09,18.16,989037
2002-09-23 00:00:00,25.46,25.62,25.09,25.09,17.86,989037
2002-09-24,24.64,25.45,24.02,25.24,18.26,1344084
2002-09-24 00:00:00,24.64,25.45,24.02,25.24,17.96,1344084
2002-09-25,25.27,25.27,24.82,24.91,18.03,775428
2002-09-25 00:00:00,25.27,25.27,24.82,24.91,18.02,775428
2002-09-25 00:00:00,25.27,25.27,24.82,24.91,17.73,775428
2002-09-26,25.0,26.15,24.05,24.61,17.81,13899418
2002-09-26 00:00:00,25.0,26.15,24.05,24.61,17.52,13899418
2002-09-27,24.55,25.82,24.55,25.09,18.16,6507935
2002-09-27 00:00:00,24.55,25.82,24.55,25.09,17.86,6507935
2002-09-30,25.09,25.73,24.89,25.51,18.46,4397541
2002-09-30 00:00:00,25.09,25.73,24.89,25.51,18.16,4397541
2002-10-01,25.32,26.47,25.11,26.34,19.06,4019493
2002-10-01 00:00:00,25.32,26.47,25.11,26.34,18.75,4019493
2002-10-02,26.34,26.34,26.34,26.34,19.06,0
2002-10-02 00:00:00,26.34,26.34,26.34,26.34,18.75,0
2002-10-03,26.27,26.36,25.65,25.84,18.7,1520359
2002-10-03 00:00:00,26.27,26.36,25.65,25.84,18.39,1520359
2002-10-03 00:00:00,26.27,26.36,25.65,25.84,18.69,1520359
2002-10-04,25.82,26.22,25.45,26.06,18.86,1157744
2002-10-04 00:00:00,25.82,26.22,25.45,26.06,18.55,1157744
2002-10-07,26.18,26.18,25.68,26.04,18.84,653697
2002-10-07 00:00:00,26.18,26.18,25.68,26.04,18.53,653697
2002-10-08,26.0,26.0,25.11,25.18,18.22,947045
2002-10-08 00:00:00,26.0,26.0,25.11,25.18,17.93,947045
2002-10-09,25.44,25.52,24.74,24.85,17.99,1084429
2002-10-09 00:00:00,25.44,25.52,24.74,24.85,17.69,1084429
2002-10-09 00:00:00,25.44,25.52,24.74,24.85,17.98,1084429
2002-10-10,25.0,25.0,24.55,24.56,17.78,1559904
2002-10-10 00:00:00,25.0,25.0,24.55,24.56,17.49,1559904
2002-10-10 00:00:00,25.0,25.0,24.55,24.56,17.77,1559904
2002-10-11,25.0,25.35,24.75,25.07,18.14,1045808
2002-10-11 00:00:00,25.0,25.35,24.75,25.07,17.85,1045808
2002-10-14,25.2,25.55,24.91,25.2,18.24,772557
2002-10-14 00:00:00,25.2,25.55,24.91,25.2,17.94,772557
2002-10-14 00:00:00,25.2,25.55,24.91,25.2,18.23,772557
2002-10-15,25.2,25.2,25.2,25.2,18.24,0
2002-10-15 00:00:00,25.2,25.2,25.2,25.2,17.94,0
2002-10-15 00:00:00,25.2,25.2,25.2,25.2,18.23,0
2002-10-16,25.55,25.64,24.78,25.04,18.12,597047
2002-10-16 00:00:00,25.55,25.64,24.78,25.04,17.82,597047
2002-10-17,25.13,25.27,24.62,24.85,17.99,849447
2002-10-17 00:00:00,25.13,25.27,24.62,24.85,17.69,849447
2002-10-17 00:00:00,25.13,25.27,24.62,24.85,17.98,849447
2002-10-18,24.9,24.91,23.2,23.55,17.05,2893610
2002-10-18 00:00:00,24.9,24.91,23.2,23.55,16.77,2893610
2002-10-18 00:00:00,24.9,24.91,23.2,23.55,17.04,2893610
2002-10-21,24.0,24.08,23.52,23.82,17.24,1704857
2002-10-21 00:00:00,24.0,24.08,23.52,23.82,17.23,1704857
2002-10-21 00:00:00,24.0,24.08,23.52,23.82,16.96,1704857
2002-10-22,24.33,24.33,22.91,23.1,16.72,1989900
2002-10-22 00:00:00,24.33,24.33,22.91,23.1,16.44,1989900
2002-10-22 00:00:00,24.33,24.33,22.91,23.1,16.71,1989900
2002-10-23,23.36,23.81,23.14,23.64,17.1,1178892
2002-10-23 00:00:00,23.36,23.81,23.14,23.64,16.83,1178892
2002-10-24,23.82,23.82,22.31,22.46,16.26,4033650
2002-10-24 00:00:00,23.82,23.82,22.31,22.46,16.25,4033650
2002-10-24 00:00:00,23.82,23.82,22.31,22.46,15.99,4033650
2002-10-25,22.73,23.45,22.45,23.0,16.64,2631502
2002-10-25 00:00:00,22.73,23.45,22.45,23.0,16.37,2631502
2002-10-28,23.23,24.16,23.09,23.92,17.31,2282071
2002-10-28 00:00:00,23.23,24.16,23.09,23.92,17.03,2282071
2002-10-29,23.83,24.82,23.83,24.55,17.76,3791089
2002-10-29 00:00:00,23.83,24.82,23.83,24.55,17.47,3791089
2002-10-30,24.71,24.71,23.85,24.07,17.42,1469253
2002-10-30 00:00:00,24.71,24.71,23.85,24.07,17.14,1469253
2002-10-31,24.36,24.77,24.36,24.53,17.75,3392702
2002-10-31 00:00:00,24.36,24.77,24.36,24.53,17.46,3392702
2002-11-01,24.55,24.84,23.41,23.9,17.3,3001944
2002-11-01 00:00:00,24.55,24.84,23.41,23.9,17.01,3001944
2002-11-01 00:00:00,24.55,24.84,23.41,23.9,17.29,3001944
2002-11-04,24.33,24.33,23.83,23.91,17.3,302703
2002-11-04 00:00:00,24.33,24.33,23.83,23.91,17.02,302703
2002-11-05,23.73,24.08,23.64,23.66,17.12,245668
2002-11-05 00:00:00,23.73,24.08,23.64,23.66,16.85,245668
2002-11-06,23.66,23.66,23.66,23.66,17.12,0
2002-11-06 00:00:00,23.66,23.66,23.66,23.66,16.85,0
2002-11-07,23.75,23.75,22.43,22.64,16.38,5331199
2002-11-07 00:00:00,23.75,23.75,22.43,22.64,16.11,5331199
2002-11-08,22.87,22.87,21.82,21.99,15.91,2175250
2002-11-08 00:00:00,22.87,22.87,21.82,21.99,15.65,2175250
2002-11-11,22.07,22.45,21.65,22.0,15.92,3679362
2002-11-11 00:00:00,22.07,22.45,21.65,22.0,15.66,3679362
2002-11-12,22.02,22.18,20.96,21.29,15.41,4989457
2002-11-12 00:00:00,22.02,22.18,20.96,21.29,15.16,4989457
2002-11-13,21.28,21.45,19.89,20.1,14.55,12575590
2002-11-13 00:00:00,21.28,21.45,19.89,20.1,14.31,12575590
2002-11-13 00:00:00,21.28,21.45,19.89,20.1,14.54,12575590
2002-11-14,20.27,21.76,20.22,21.54,15.58,14070727
2002-11-14 00:00:00,20.27,21.76,20.22,21.54,15.33,14070727
2002-11-15,21.82,22.15,21.71,21.83,15.8,5213956
2002-11-15 00:00:00,21.82,22.15,21.71,21.83,15.54,5213956
2002-11-15 00:00:00,21.82,22.15,21.71,21.83,15.79,5213956
2002-11-18,21.82,22.7,21.82,22.33,16.16,4537467
2002-11-18 00:00:00,21.82,22.7,21.82,22.33,15.89,4537467
2002-11-19,22.33,22.33,22.33,22.33,16.16,0
2002-11-19 00:00:00,22.33,22.33,22.33,22.33,15.89,0
2002-11-20,22.18,22.33,21.66,21.89,15.84,4295401
2002-11-20 00:00:00,22.18,22.33,21.66,21.89,15.58,4295401
2002-11-21,22.02,22.16,21.71,21.95,15.88,1248516
2002-11-21 00:00:00,22.02,22.16,21.71,21.95,15.62,1248516
2002-11-22,22.73,23.75,22.64,23.52,17.02,6090150
2002-11-22 00:00:00,22.73,23.75,22.64,23.52,16.74,6090150
2002-11-25,23.64,25.65,23.64,25.04,18.12,12502385
2002-11-25 00:00:00,23.64,25.65,23.64,25.04,17.82,12502385
2002-11-26,25.09,25.4,24.55,24.82,17.96,4722470
2002-11-26 00:00:00,25.09,25.4,24.55,24.82,17.67,4722470
2002-11-27,24.73,25.39,24.2,24.52,17.74,2740875
2002-11-27 00:00:00,24.73,25.39,24.2,24.52,17.45,2740875
2002-11-28,25.0,25.24,24.02,24.24,17.54,1870709
2002-11-28 00:00:00,25.0,25.24,24.02,24.24,17.25,1870709
2002-11-29,24.53,24.59,24.09,24.21,17.52,1766886
2002-11-29 00:00:00,24.53,24.59,24.09,24.21,17.23,1766886
2002-12-02,24.0,24.48,23.64,24.33,17.6,2183874
2002-12-02 00:00:00,24.0,24.48,23.64,24.33,17.32,2183874
2002-12-03,24.53,24.64,23.69,23.84,17.25,2092068
2002-12-03 00:00:00,24.53,24.64,23.69,23.84,16.97,2092068
2002-12-04,24.0,24.18,23.73,23.98,17.35,2566971
2002-12-04 00:00:00,24.0,24.18,23.73,23.98,17.07,2566971
2002-12-05,23.73,24.63,23.73,24.53,17.75,3355841
2002-12-05 00:00:00,23.73,24.63,23.73,24.53,17.46,3355841
2002-12-06,24.63,24.97,24.36,24.49,17.72,2194098
2002-12-06 00:00:00,24.63,24.97,24.36,24.49,17.43,2194098
2002-12-09,24.71,24.91,24.26,24.72,17.89,1747531
2002-12-09 00:00:00,24.71,24.91,24.26,24.72,17.6,1747531
2002-12-10,24.36,24.69,24.21,24.31,17.59,570207
2002-12-10 00:00:00,24.36,24.69,24.21,24.31,17.3,570207
2002-12-11,24.63,25.02,24.18,24.93,18.04,2570139
2002-12-11 00:00:00,24.63,25.02,24.18,24.93,17.74,2570139
2002-12-12,25.27,26.25,25.27,25.77,18.65,6828162
2002-12-12 00:00:00,25.27,26.25,25.27,25.77,18.35,6828162
2002-12-13,26.0,27.35,25.99,27.18,19.67,8575836
