Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,9.34,9.38,9.27,9.3,6.15,6272000
1998-11-17,9.29,9.32,9.29,9.32,6.16,2124800
1998-11-18,9.33,9.53,9.3,9.48,6.27,16256000
1998-11-19,9.52,9.54,9.33,9.33,6.17,8985600
1998-11-20,9.3,9.49,9.29,9.34,6.18,11699200
1998-11-23,9.29,9.3,9.18,9.19,6.08,8089600
1998-11-24,9.21,9.32,9.13,9.24,6.11,16409600
1998-11-25,9.24,9.24,9.24,9.24,6.11,0
1998-11-26,9.18,9.29,9.14,9.18,6.07,14745600
1998-11-27,9.17,9.19,9.07,9.16,6.06,7270400
1998-11-30,9.02,9.12,8.88,9.1,6.02,8601600
1998-12-01,9.08,9.32,9.06,9.25,6.12,12800000
1998-12-02,9.22,9.32,9.16,9.25,6.12,8243200
1998-12-03,9.23,9.34,9.22,9.3,6.15,6118400
1998-12-04,9.29,9.51,9.29,9.48,6.27,13952000
1998-12-07,9.51,9.87,9.48,9.79,6.47,17792000
1998-12-08,9.81,10.25,9.8,10.21,6.76,21606400
1998-12-09,10.12,10.23,10.05,10.13,6.7,17561600
1998-12-10,10.18,10.18,10.04,10.1,6.68,6937600
1998-12-11,10.11,10.21,10.04,10.2,6.74,13414400
1998-12-14,10.2,10.39,10.2,10.27,6.8,18022400
1998-12-15,10.27,10.27,10.04,10.13,6.7,15232000
1998-12-16,10.09,10.09,9.84,9.97,6.6,13516800
1998-12-17,9.83,10.03,9.8,9.99,6.61,11648000
1998-12-18,10.01,10.51,10.01,10.45,6.91,43622400
1998-12-21,11.27,11.28,10.45,11.28,7.46,11571200
1998-12-22,12.15,12.15,11.33,11.56,7.65,38041600
1998-12-23,11.68,11.91,11.27,11.52,7.62,61184000
1998-12-24,11.47,11.48,11.25,11.42,7.55,17817600
1998-12-25,11.42,11.42,11.42,11.42,7.55,0
1998-12-28,11.47,11.59,11.39,11.52,7.62,14617600
1998-12-29,11.45,11.67,11.42,11.43,7.56,17228800
1998-12-30,11.58,11.71,11.54,11.61,7.68,5768704
1998-12-31,11.64,11.7,11.55,11.59,7.67,3701760
1999-01-01,11.64,11.66,11.55,11.59,7.67,2982656
1999-01-04,11.66,11.78,11.62,11.65,7.7,4163840
1999-01-05,11.63,11.87,11.51,11.87,7.85,6856960
1999-01-06,11.88,12.05,11.8,11.86,7.84,8738048
1999-01-07,11.84,12.42,11.84,12.23,8.09,9680384
1999-01-08,12.25,12.75,12.25,12.75,8.44,6855424
1999-01-11,12.87,12.99,12.59,12.66,8.37,7362304
1999-01-12,12.6,13.67,12.54,13.67,9.04,6443008
1999-01-13,14.16,14.76,14.16,14.76,9.76,13330944
1999-01-14,14.73,15.94,14.5,15.82,10.46,20356352
1999-01-15,15.72,16.6,15.39,15.66,10.36,16755200
1999-01-18,15.97,15.97,15.43,15.63,10.34,7147008
1999-01-19,15.64,16.88,15.64,16.88,11.16,14387456
1999-01-20,16.88,16.88,16.88,16.88,11.16,0
1999-01-21,17.39,18.23,17.38,18.23,12.06,8440320
1999-01-22,19.52,19.52,18.48,19.09,12.62,14387968
1999-01-25,19.08,19.3,17.68,18.05,11.94,11099648
1999-01-26,18.05,18.05,18.05,18.05,11.94,0
1999-01-27,18.74,19.14,18.16,18.26,12.08,12838144
1999-01-28,18.36,18.73,17.38,17.59,11.63,11460352
1999-01-29,17.66,18.47,17.66,18.42,12.18,14515200
1999-02-01,18.36,18.41,17.58,17.71,11.72,9889280
1999-02-02,17.6,18.05,17.27,17.27,11.42,15393024
1999-02-03,17.6,18.16,17.58,18.16,12.01,9877504
1999-02-04,18.16,18.48,17.85,17.91,11.85,7339520
1999-02-05,17.94,19.34,17.85,19.34,12.79,28004608
1999-02-08,19.92,20.12,17.8,18.24,12.07,20967424
1999-02-09,18.16,19.63,18.16,19.54,12.92,18319616
1999-02-10,19.73,19.86,18.98,19.16,12.67,9707008
1999-02-11,19.32,19.38,19.0,19.25,12.73,3226752
1999-02-12,19.41,19.77,19.22,19.38,12.82,6187904
1999-02-15,19.73,19.73,19.22,19.26,12.74,3529344
1999-02-16,19.22,19.41,19.15,19.33,12.78,2247424
1999-02-17,19.26,20.31,19.14,20.12,13.31,13272320
1999-02-18,20.27,20.7,20.12,20.49,13.55,10742144
1999-02-19,20.7,20.7,20.12,20.42,13.51,2495360
1999-02-22,20.55,20.69,19.92,20.0,13.23,5559552
1999-02-23,19.96,20.23,19.77,20.08,13.28,3792768
1999-02-24,20.08,20.43,19.91,20.2,13.36,5499648
1999-02-25,20.23,21.47,20.12,20.94,13.85,13617792
1999-02-26,21.09,21.29,20.71,20.94,13.85,5950848
1999-03-01,24.02,24.42,23.32,24.42,16.15,8554112
1999-03-02,24.42,24.42,24.42,24.42,16.15,0
1999-03-03,26.38,26.38,25.98,26.38,17.45,8929536
1999-03-04,26.33,26.56,24.27,24.69,16.33,17416448
1999-03-05,24.84,25.31,23.67,24.96,16.51,20790912
1999-03-08,25.39,25.77,23.83,24.03,15.9,18941440
1999-03-08 00:00:00,25.39,25.77,23.83,24.03,15.69,18941440
1999-03-09,23.83,25.23,23.83,25.04,16.56,20236416
1999-03-09 00:00:00,23.83,25.23,23.83,25.04,16.35,20236416
1999-03-10,25.59,25.98,24.45,24.73,16.36,17222656
1999-03-10 00:00:00,25.59,25.98,24.45,24.73,16.15,17222656
1999-03-11,24.61,25.73,24.53,25.01,16.54,20278784
1999-03-11 00:00:00,24.61,25.73,24.53,25.01,16.33,20278784
1999-03-12,27.01,27.01,25.86,26.69,17.65,29203840
1999-03-12 00:00:00,27.01,27.01,25.86,26.69,17.43,29203840
1999-03-15,26.88,26.88,26.17,26.25,17.36,10044544
1999-03-15 00:00:00,26.88,26.88,26.17,26.25,17.14,10044544
1999-03-16,25.43,25.7,24.49,24.5,16.21,20958720
1999-03-16 00:00:00,25.43,25.7,24.49,24.5,16.0,20958720
1999-03-17,25.39,25.39,23.6,24.06,15.92,25989376
1999-03-17 00:00:00,25.39,25.39,23.6,24.06,15.71,25989376
1999-03-18,23.91,24.05,23.13,23.48,15.53,8580352
1999-03-18 00:00:00,23.91,24.05,23.13,23.48,15.34,8580352
1999-03-19,23.82,23.83,22.27,22.88,15.13,16324480
1999-03-19 00:00:00,23.82,23.83,22.27,22.88,14.94,16324480
1999-03-22,21.48,22.65,21.48,22.53,14.9,8837504
1999-03-22 00:00:00,21.48,22.65,21.48,22.53,14.71,8837504
1999-03-23,22.64,22.93,21.64,21.8,14.42,22317824
1999-03-23 00:00:00,22.64,22.93,21.64,21.8,14.23,22317824
1999-03-24,22.46,22.46,20.31,20.9,13.82,21507840
1999-03-24 00:00:00,22.46,22.46,20.31,20.9,13.65,21507840
1999-03-25,20.31,21.67,20.31,21.29,14.08,19840384
1999-03-25 00:00:00,20.31,21.67,20.31,21.29,13.9,19840384
1999-03-25 00:00:00,20.31,21.67,20.31,21.29,14.05,19840384
1999-03-26,21.59,21.95,20.75,21.21,14.03,20060160
1999-03-26 00:00:00,21.59,21.95,20.75,21.21,13.85,20060160
1999-03-26 00:00:00,21.59,21.95,20.75,21.21,14.0,20060160
1999-03-29,21.21,21.21,21.21,21.21,14.03,0
1999-03-29 00:00:00,21.21,21.21,21.21,21.21,14.0,0
1999-03-29 00:00:00,21.21,21.21,21.21,21.21,13.85,0
1999-03-30,21.88,22.91,21.69,22.91,15.15,29875712
1999-03-30 00:00:00,21.88,22.91,21.69,22.91,14.96,29875712
1999-03-30 00:00:00,21.88,22.91,21.69,22.91,15.12,29875712
1999-03-31,23.83,24.02,22.85,22.89,15.14,24011008
1999-03-31 00:00:00,23.83,24.02,22.85,22.89,14.95,24011008
1999-03-31 00:00:00,23.83,24.02,22.85,22.89,15.11,24011008
1999-04-01,22.66,22.7,22.07,22.22,14.7,16733952
1999-04-01 00:00:00,22.66,22.7,22.07,22.22,14.51,16733952
1999-04-01 00:00:00,22.66,22.7,22.07,22.22,14.66,16733952
1999-04-02,22.22,22.22,22.22,22.22,14.7,0
1999-04-02 00:00:00,22.22,22.22,22.22,22.22,14.66,0
1999-04-02 00:00:00,22.22,22.22,22.22,22.22,14.51,0
1999-04-05,20.55,21.8,20.55,21.47,14.2,17392768
1999-04-05 00:00:00,20.55,21.8,20.55,21.47,14.02,17392768
1999-04-05 00:00:00,20.55,21.8,20.55,21.47,14.17,17392768
1999-04-06,21.17,21.64,20.86,21.45,14.19,16358016
1999-04-06 00:00:00,21.17,21.64,20.86,21.45,14.0,16358016
1999-04-06 00:00:00,21.17,21.64,20.86,21.45,14.15,16358016
1999-04-07,21.8,22.73,21.76,22.15,14.65,30448000
1999-04-07 00:00:00,21.8,22.73,21.76,22.15,14.46,30448000
1999-04-07 00:00:00,21.8,22.73,21.76,22.15,14.61,30448000
1999-04-08,22.27,22.42,21.8,22.08,14.6,17703040
1999-04-08 00:00:00,22.27,22.42,21.8,22.08,14.57,17703040
1999-04-08 00:00:00,22.27,22.42,21.8,22.08,14.42,17703040
1999-04-09,22.28,22.3,20.31,20.41,13.5,39910656
1999-04-09 00:00:00,22.28,22.3,20.31,20.41,13.47,39910656
1999-04-09 00:00:00,22.28,22.3,20.31,20.41,13.33,39910656
1999-04-12,20.23,21.52,19.15,21.22,14.04,25665408
1999-04-12 00:00:00,20.23,21.52,19.15,21.22,13.86,25665408
1999-04-12 00:00:00,20.23,21.52,19.15,21.22,14.0,25665408
1999-04-13,20.94,21.48,20.78,20.94,13.85,21564288
1999-04-13 00:00:00,20.94,21.48,20.78,20.94,13.82,21564288
1999-04-13 00:00:00,20.94,21.48,20.78,20.94,13.67,21564288
1999-04-14,20.94,20.94,20.94,20.94,13.85,0
1999-04-14 00:00:00,20.94,20.94,20.94,20.94,13.67,0
1999-04-14 00:00:00,20.94,20.94,20.94,20.94,13.82,0
1999-04-15,20.82,21.02,20.27,20.78,13.75,9872640
1999-04-15 00:00:00,20.82,21.02,20.27,20.78,13.57,9872640
1999-04-15 00:00:00,20.82,21.02,20.27,20.78,13.71,9872640
1999-04-16,20.59,22.44,20.59,22.44,14.85,11803904
1999-04-16 00:00:00,20.59,22.44,20.59,22.44,14.81,11803904
1999-04-16 00:00:00,20.59,22.44,20.59,22.44,14.66,11803904
1999-04-19,21.09,21.42,20.72,21.18,14.01,8974720
1999-04-19 00:00:00,21.09,21.42,20.72,21.18,13.98,8974720
1999-04-19 00:00:00,21.09,21.42,20.72,21.18,13.83,8974720
1999-04-20,21.09,21.48,20.64,21.48,14.21,8896512
1999-04-20 00:00:00,21.09,21.48,20.64,21.48,14.18,8896512
1999-04-20 00:00:00,21.09,21.48,20.64,21.48,14.03,8896512
1999-04-21,21.27,21.56,21.15,21.3,14.09,3072256
1999-04-21 00:00:00,21.27,21.56,21.15,21.3,13.91,3072256
1999-04-21 00:00:00,21.27,21.56,21.15,21.3,14.05,3072256
1999-04-22,21.15,21.52,20.73,21.13,13.98,8255872
1999-04-22 00:00:00,21.15,21.52,20.73,21.13,13.8,8255872
1999-04-22 00:00:00,21.15,21.52,20.73,21.13,13.94,8255872
1999-04-23,21.45,21.48,20.71,21.17,14.0,7758592
1999-04-23 00:00:00,21.45,21.48,20.71,21.17,13.83,7758592
1999-04-23 00:00:00,21.45,21.48,20.71,21.17,13.97,7758592
1999-04-26,19.96,20.64,19.96,20.12,13.31,9414272
1999-04-26 00:00:00,19.96,20.64,19.96,20.12,13.14,9414272
1999-04-26 00:00:00,19.96,20.64,19.96,20.12,13.27,9414272
1999-04-27,20.12,20.12,20.12,20.12,13.31,0
1999-04-27 00:00:00,20.12,20.12,20.12,20.12,13.14,0
1999-04-27 00:00:00,20.12,20.12,20.12,20.12,13.27,0
1999-04-28,20.12,20.47,19.62,20.3,13.43,6228352
1999-04-28 00:00:00,20.12,20.47,19.62,20.3,13.4,6228352
1999-04-28 00:00:00,20.12,20.47,19.62,20.3,13.26,6228352
1999-04-29,20.47,20.59,20.36,20.55,13.59,5271680
1999-04-29 00:00:00,20.47,20.59,20.36,20.55,13.56,5271680
1999-04-29 00:00:00,20.47,20.59,20.36,20.55,13.42,5271680
1999-04-30,20.39,20.9,20.39,20.7,13.69,2413824
1999-04-30 00:00:00,20.39,20.9,20.39,20.7,13.66,2413824
1999-04-30 00:00:00,20.39,20.9,20.39,20.7,13.52,2413824
1999-05-03,20.84,20.86,20.15,20.43,13.51,2635648
1999-05-03 00:00:00,20.84,20.86,20.15,20.43,13.48,2635648
1999-05-03 00:00:00,20.84,20.86,20.15,20.43,13.34,2635648
1999-05-04,20.54,21.91,20.52,21.52,14.24,9123712
1999-05-04 00:00:00,20.54,21.91,20.52,21.52,14.05,9123712
1999-05-04 00:00:00,20.54,21.91,20.52,21.52,14.2,9123712
1999-05-05,23.24,23.25,21.8,22.97,15.19,16496896
1999-05-05 00:00:00,23.24,23.25,21.8,22.97,15.0,16496896
1999-05-05 00:00:00,23.24,23.25,21.8,22.97,15.16,16496896
1999-05-06,23.23,24.81,23.12,24.81,16.41,19347072
1999-05-06 00:00:00,23.23,24.81,23.12,24.81,16.37,19347072
1999-05-06 00:00:00,23.23,24.81,23.12,24.81,16.2,19347072
1999-05-07,25.58,25.93,24.84,25.39,16.79,18561664
1999-05-07 00:00:00,25.58,25.93,24.84,25.39,16.58,18561664
1999-05-07 00:00:00,25.58,25.93,24.84,25.39,16.75,18561664
1999-05-10,25.31,25.62,24.92,25.16,16.64,8571264
