Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,21.11,21.21,20.84,21.16,6.79,63900
1998-11-17,21.0,21.33,20.93,21.26,6.82,90000
1998-11-18,21.25,21.5,21.25,21.45,6.88,35100
1998-11-19,21.64,21.64,21.13,21.28,6.83,74700
1998-11-20,21.18,21.43,21.17,21.37,6.86,150300
1998-11-23,21.27,21.53,21.23,21.52,6.91,120600
1998-11-24,21.34,21.67,21.33,21.5,6.9,81900
1998-11-26,21.12,21.33,21.11,21.28,6.83,48600
1998-11-27,21.11,21.12,20.67,20.99,6.74,45900
1998-11-30,19.78,20.67,19.78,20.67,6.63,36000
1998-12-01,20.72,20.88,20.56,20.75,6.66,42300
1998-12-02,20.33,20.78,20.33,20.61,6.62,188100
1998-12-03,20.58,20.72,20.44,20.72,6.65,180000
1998-12-04,20.77,21.11,20.61,20.92,6.71,176400
1998-12-07,20.83,21.11,20.78,21.11,6.78,78300
1998-12-08,20.94,21.1,20.61,21.0,6.74,46800
1998-12-09,20.73,20.97,20.56,20.94,6.72,47700
1998-12-10,21.0,21.11,20.67,20.89,6.7,35100
1998-12-11,20.74,21.1,20.74,21.06,6.76,35100
1998-12-14,20.75,20.9,20.56,20.89,6.71,70200
1998-12-15,20.78,20.89,20.25,20.86,6.7,72000
1998-12-16,20.94,20.94,20.56,20.85,6.69,27000
1998-12-17,20.78,20.78,20.22,20.67,6.63,36000
1998-12-18,20.67,20.68,19.89,20.36,6.54,93600
1998-12-21,20.56,20.56,20.28,20.33,6.53,22500
1998-12-22,20.34,20.43,20.08,20.19,6.48,40500
1998-12-23,20.56,20.67,20.26,20.61,6.62,46800
1998-12-24,20.36,20.54,20.28,20.52,6.58,49500
1998-12-28,20.99,22.11,20.99,22.11,7.1,100800
1998-12-29,22.78,23.32,22.22,23.06,7.4,107100
1998-12-30,22.89,23.1,22.0,22.63,7.26,241200
1998-12-31,22.44,22.44,22.11,22.44,7.2,86400
1999-01-01,22.54,22.54,22.12,22.5,7.22,40500
1999-01-04,22.25,22.67,22.22,22.33,7.17,67500
1999-01-05,22.11,22.42,21.78,21.92,7.03,180000
