Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,15.22,15.33,14.97,15.1,10.41,50685684
1998-11-17,15.11,15.31,15.08,15.2,10.48,42728255
1998-11-18,15.31,15.77,15.29,15.73,10.85,63410893
1998-11-19,15.7,15.76,15.29,15.29,10.54,58540307
1998-11-20,15.33,15.38,15.08,15.19,10.47,45256551
1998-11-23,15.16,15.16,14.72,14.77,10.19,42630748
1998-11-24,14.86,14.99,14.73,14.78,10.19,42782308
1998-11-25,14.78,14.78,14.78,14.78,10.19,0
1998-11-26,14.62,14.85,14.32,14.37,9.91,40173993
1998-11-27,14.32,14.42,14.11,14.29,9.86,49166905
1998-11-30,13.97,14.19,13.75,14.19,9.79,56808496
1998-12-01,14.1,14.29,14.02,14.11,9.73,42799266
1998-12-02,14.34,14.59,14.32,14.4,9.93,61781359
1998-12-03,14.44,14.44,14.16,14.25,9.83,43268784
1998-12-04,14.2,14.53,14.02,14.49,9.99,64933912
1998-12-07,14.54,14.79,14.46,14.77,10.19,42543840
1998-12-08,14.72,15.03,14.63,14.98,10.33,49628474
1998-12-09,15.07,15.13,14.79,14.81,10.21,45594117
1998-12-10,14.88,14.99,14.74,14.82,10.22,28324228
1998-12-11,14.88,14.99,14.78,14.94,10.3,29777826
1998-12-14,14.95,15.27,14.88,14.94,10.3,51541521
1998-12-15,14.83,14.88,14.59,14.59,10.06,37917551
1998-12-16,14.61,14.65,14.39,14.65,10.1,29411644
1998-12-17,14.25,14.51,14.06,14.11,9.73,50667667
1998-12-18,14.06,14.29,14.06,14.24,9.82,29009428
1998-12-21,14.47,14.65,14.4,14.58,10.05,30715272
1998-12-22,14.66,14.66,14.41,14.55,10.03,25152067
1998-12-23,14.72,14.86,14.46,14.46,9.97,34585881
1998-12-24,14.34,14.44,14.26,14.32,9.88,32452913
1998-12-25,14.32,14.32,14.32,14.32,9.88,0
1998-12-28,14.74,14.95,14.6,14.81,10.21,44456357
1998-12-29,14.76,15.0,14.44,14.9,10.27,41827374
1998-12-30,15.29,15.63,15.29,15.47,10.67,62841844
