Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,2.54,2.58,2.54,2.54,2.11,219470
1998-11-17,2.57,2.58,2.5,2.52,2.09,813331
1998-11-18,2.58,2.63,2.58,2.6,2.16,606770
1998-11-19,2.56,2.57,2.56,2.57,2.13,64550
1998-11-20,2.54,2.55,2.53,2.53,2.1,103280
1998-11-23,2.48,2.52,2.48,2.52,2.09,335660
1998-11-24,2.52,2.52,2.45,2.49,2.07,296930
1998-11-25,2.49,2.49,2.49,2.49,2.07,0
1998-11-26,2.48,2.49,2.46,2.49,2.07,103280
1998-11-27,2.47,2.47,2.45,2.46,2.04,90370
1998-11-30,2.44,2.46,2.39,2.46,2.05,142010
1998-12-01,2.44,2.46,2.41,2.41,2.0,142010
1998-12-02,2.47,2.47,2.42,2.42,2.01,271110
1998-12-03,2.42,2.42,2.39,2.4,1.99,142010
1998-12-04,2.38,2.38,2.33,2.35,1.95,413120
1998-12-07,2.4,2.46,2.38,2.42,2.01,593860
1998-12-08,2.4,2.4,2.25,2.29,1.9,1097351
1998-12-09,2.29,2.34,2.16,2.16,1.8,4660517
1998-12-10,2.18,2.2,2.04,2.05,1.7,3330785
1998-12-11,2.05,2.21,2.04,2.2,1.83,13800811
1998-12-14,2.23,2.27,2.2,2.21,1.84,7332891
1998-12-15,2.2,2.21,2.13,2.15,1.79,4815437
1998-12-16,2.18,2.21,2.15,2.21,1.84,2982214
1998-12-17,2.17,2.2,2.12,2.13,1.77,2556183
1998-12-18,2.12,2.16,2.11,2.11,1.76,1807402
1998-12-21,2.13,2.16,2.13,2.14,1.78,1562112
1998-12-22,2.13,2.14,2.09,2.09,1.73,2775654
1998-12-23,2.17,2.17,2.11,2.11,1.76,2323803
1998-12-24,2.07,2.13,2.07,2.11,1.76,1148991
1998-12-25,2.11,2.11,2.11,2.11,1.76,0
1998-12-28,2.13,2.13,2.11,2.11,1.76,774601
1998-12-29,2.12,2.12,2.06,2.08,1.72,1652482
1998-12-30,2.12,2.13,2.11,2.12,1.76,426030
1998-12-31,2.07,2.13,2.07,2.11,1.75,271110
1999-01-01,2.13,2.13,2.1,2.11,1.76,477670
1999-01-04,2.13,2.15,2.12,2.14,1.78,748781
1999-01-05,2.14,2.29,2.14,2.26,1.88,2633644
1999-01-06,2.38,2.42,2.32,2.37,1.97,7061780
1999-01-07,2.36,2.4,2.35,2.37,1.97,2956394
1999-01-08,2.36,2.4,2.35,2.36,1.96,2310893
