Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,5.09,5.27,5.03,5.09,1.13,49951016
1998-11-17,5.08,5.2,5.08,5.17,1.15,34302250
1998-11-18,5.28,5.38,5.27,5.32,1.18,63979869
1998-11-19,5.33,5.54,5.32,5.42,1.21,120422113
1998-11-20,5.54,5.58,5.26,5.31,1.18,95957781
1998-11-23,5.2,5.21,5.14,5.16,1.15,39483477
1998-11-24,5.24,5.29,5.15,5.16,1.15,58023862
1998-11-25,54.19,54.19,54.19,54.19,12.05,0
1998-11-26,5.04,5.14,4.81,4.86,1.08,54515981
1998-11-27,4.88,4.91,4.7,4.74,1.05,47542965
1998-11-30,4.75,4.83,4.7,4.83,1.07,27686345
1998-12-01,4.8,5.13,4.79,5.08,1.13,61206692
1998-12-02,5.13,5.24,5.11,5.14,1.14,48876121
1998-12-03,5.17,5.18,5.01,5.1,1.13,40348202
1998-12-04,5.1,5.28,5.06,5.28,1.17,60442599
1998-12-07,5.29,5.42,5.26,5.39,1.2,64597911
1998-12-08,5.38,5.5,5.34,5.5,1.22,63739420
1998-12-09,5.55,5.58,5.4,5.4,1.2,53469584
1998-12-10,5.45,5.5,5.37,5.42,1.21,29629528
1998-12-11,5.45,5.81,5.44,5.79,1.29,169559165
1998-12-14,5.77,5.81,5.6,5.64,1.25,74011928
1998-12-15,5.59,5.7,5.56,5.56,1.24,69038199
1998-12-16,5.6,5.68,5.46,5.68,1.26,71529071
1998-12-17,5.45,5.62,5.35,5.39,1.2,65969360
1998-12-18,5.43,5.51,5.36,5.47,1.22,46274820
1998-12-21,5.87,5.91,5.47,5.91,1.31,28131621
1998-12-22,6.07,6.09,5.9,6.07,1.35,69961701
1998-12-23,6.11,6.2,6.06,6.06,1.35,68018518
1998-12-24,6.01,6.36,6.01,6.33,1.41,111599422
1998-12-25,66.47,66.47,66.47,66.47,14.78,0
1998-12-28,6.43,6.57,6.35,6.57,1.46,87671202
1998-12-29,6.54,6.87,6.46,6.86,1.52,80318811
1998-12-30,6.96,7.02,6.73,6.8,1.51,76303316
1998-12-31,6.74,6.78,6.58,6.6,1.47,63254960
1999-01-01,6.63,6.96,6.61,6.96,1.55,102460586
1999-01-04,6.93,6.96,6.76,6.78,1.51,51251221
1999-01-05,6.79,6.9,6.71,6.81,1.51,94085842
1999-01-06,6.98,7.12,6.91,7.01,1.56,103005603
1999-01-07,7.04,7.12,6.99,7.06,1.57,67784303
1999-01-08,7.19,7.33,7.11,7.33,1.63,87920556
1999-01-11,7.47,7.69,7.31,7.35,1.64,101157709
1999-01-12,7.28,7.32,6.97,7.03,1.56,65710210
1999-01-13,7.13,7.14,6.91,6.93,1.54,43702909
1999-01-14,6.84,7.17,6.77,7.06,1.57,71324244
1999-01-15,7.13,7.13,6.79,6.8,1.51,43752780
1999-01-18,6.79,6.82,6.57,6.68,1.48,24949682
1999-01-19,6.62,6.66,6.18,6.26,1.39,54467001
1999-01-20,6.26,6.26,6.26,6.26,1.39,0
1999-01-21,6.27,6.46,5.97,6.29,1.4,121785547
1999-01-22,6.26,6.44,6.2,6.24,1.39,53391215
1999-01-25,6.19,6.23,6.02,6.09,1.35,46547329
1999-01-26,6.09,6.09,6.09,6.09,1.35,0
1999-01-27,6.16,6.57,6.06,6.55,1.46,71832749
1999-01-28,6.5,6.68,6.32,6.36,1.41,58380083
1999-01-29,6.39,6.51,6.32,6.48,1.44,38913524
1999-02-01,6.37,6.61,6.3,6.3,1.4,43414370
1999-02-02,6.32,6.37,6.21,6.29,1.4,36546439
1999-02-03,6.43,6.57,6.36,6.56,1.46,56921360
1999-02-04,6.57,6.83,6.53,6.57,1.46,105506271
1999-02-05,6.62,6.73,6.54,6.63,1.47,63441085
