Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,306.0,309.9,305.5,309.1,285.49,13300
2002-08-12 00:00:00,306.0,309.9,305.5,309.1,284.19,13300
2002-08-13,302.55,313.0,302.55,310.9,287.15,14200
2002-08-13 00:00:00,302.55,313.0,302.55,310.9,285.85,14200
2002-08-14,303.1,312.0,303.1,311.2,287.43,40000
2002-08-14 00:00:00,303.1,312.0,303.1,311.2,286.12,40000
2002-08-15,311.2,311.2,311.2,311.2,287.43,0
2002-08-15 00:00:00,311.2,311.2,311.2,311.2,286.12,0
2002-08-16,310.0,312.0,308.05,311.05,287.29,30600
2002-08-16 00:00:00,310.0,312.0,308.05,311.05,285.98,30600
2002-08-19,311.0,313.9,310.6,311.25,287.48,29300
2002-08-19 00:00:00,311.0,313.9,310.6,311.25,286.17,29300
2002-08-20,312.25,312.85,310.5,311.5,287.71,74300
2002-08-20 00:00:00,312.25,312.85,310.5,311.5,286.4,74300
2002-08-21,309.0,324.25,309.0,316.3,292.14,48800
2002-08-21 00:00:00,309.0,324.25,309.0,316.3,290.81,48800
2002-08-22,316.05,318.8,311.0,314.55,290.52,32600
2002-08-22 00:00:00,316.05,318.8,311.0,314.55,289.2,32600
2002-08-23,311.0,315.9,311.0,314.6,290.57,46100
2002-08-23 00:00:00,311.0,315.9,311.0,314.6,289.25,46100
2002-08-26,313.9,316.9,313.0,316.0,291.86,31600
2002-08-26 00:00:00,313.9,316.9,313.0,316.0,290.54,31600
2002-08-27,315.5,317.0,312.0,315.7,291.59,41800
2002-08-27 00:00:00,315.5,317.0,312.0,315.7,290.26,41800
2002-08-28,307.0,321.9,307.0,314.9,290.85,33100
2002-08-28 00:00:00,307.0,321.9,307.0,314.9,289.52,33100
2002-08-29,315.45,322.0,311.55,318.8,294.45,41100
2002-08-29 00:00:00,315.45,322.0,311.55,318.8,293.11,41100
2002-08-30,320.0,320.0,311.55,314.75,290.71,84100
2002-08-30 00:00:00,320.0,320.0,311.55,314.75,289.39,84100
2002-09-02,318.0,318.5,311.5,313.3,289.37,23300
2002-09-02 00:00:00,318.0,318.5,311.5,313.3,288.05,23300
2002-09-03,315.5,315.5,310.2,311.05,287.29,15500
2002-09-03 00:00:00,315.5,315.5,310.2,311.05,285.98,15500
2002-09-04,312.0,316.4,309.0,314.5,290.48,16300
2002-09-04 00:00:00,312.0,316.4,309.0,314.5,289.16,16300
2002-09-05,312.0,324.05,311.75,321.4,296.85,49800
2002-09-05 00:00:00,312.0,324.05,311.75,321.4,295.5,49800
2002-09-06,319.05,324.85,316.1,318.2,293.9,46800
2002-09-06 00:00:00,319.05,324.85,316.1,318.2,292.56,46800
2002-09-09,314.0,317.0,313.05,314.3,290.29,13800
2002-09-09 00:00:00,314.0,317.0,313.05,314.3,288.97,13800
2002-09-10,314.3,314.3,314.3,314.3,290.29,0
2002-09-10 00:00:00,314.3,314.3,314.3,314.3,288.97,0
2002-09-11,313.0,318.0,312.05,313.95,289.97,20400
2002-09-11 00:00:00,313.0,318.0,312.05,313.95,288.65,20400
2002-09-12,313.0,323.0,312.1,321.25,296.71,61900
2002-09-12 00:00:00,313.0,323.0,312.1,321.25,295.36,61900
2002-09-13,321.0,322.0,314.1,316.6,292.42,58400
2002-09-13 00:00:00,321.0,322.0,314.1,316.6,291.09,58400
2002-09-16,313.0,318.2,311.55,316.9,292.69,24600
2002-09-16 00:00:00,313.0,318.2,311.55,316.9,291.36,24600
2002-09-17,313.0,319.0,313.0,314.85,290.8,6600
2002-09-17 00:00:00,313.0,319.0,313.0,314.85,289.48,6600
2002-09-18,315.0,316.75,311.1,313.5,289.55,18400
2002-09-18 00:00:00,315.0,316.75,311.1,313.5,288.24,18400
2002-09-19,311.6,316.85,308.0,309.6,285.95,28900
2002-09-19 00:00:00,311.6,316.85,308.0,309.6,284.65,28900
2002-09-20,309.95,313.95,303.1,311.0,287.25,24800
2002-09-20 00:00:00,309.95,313.95,303.1,311.0,285.94,24800
2002-09-23,309.8,315.0,308.0,309.7,286.04,31500
2002-09-23 00:00:00,309.8,315.0,308.0,309.7,284.74,31500
2002-09-24,306.05,315.0,306.05,312.0,288.17,31400
2002-09-24 00:00:00,306.05,315.0,306.05,312.0,286.86,31400
2002-09-25,309.0,312.5,309.0,311.8,287.98,10500
2002-09-25 00:00:00,309.0,312.5,309.0,311.8,286.67,10500
2002-09-26,309.05,312.75,309.05,310.9,287.15,5000
2002-09-26 00:00:00,309.05,312.75,309.05,310.9,285.85,5000
2002-09-27,309.1,314.0,309.1,309.9,286.23,49300
2002-09-27 00:00:00,309.1,314.0,309.1,309.9,284.93,49300
2002-09-30,313.95,313.95,305.05,309.45,285.81,101100
2002-09-30 00:00:00,313.95,313.95,305.05,309.45,284.51,101100
