Date,Open,High,Low,Close,Adj Close,Volume
1998-11-16,13.48,13.48,13.22,13.22,10.78,46666
1998-11-17,13.27,13.31,13.25,13.3,10.85,53333
1998-11-18,13.33,13.49,13.2,13.46,10.98,533333
1998-11-19,13.54,13.57,13.31,13.31,10.86,179999
1998-11-20,13.31,13.31,13.19,13.19,10.75,46666
1998-11-23,13.2,13.2,12.98,13.06,10.65,79999
1998-11-24,13.05,13.12,12.9,13.02,10.62,299999
1998-11-25,13.02,13.02,13.02,13.02,10.62,0
1998-11-26,12.94,13.29,12.86,12.86,10.49,66666
1998-11-27,12.61,12.8,12.6,12.68,10.34,53333
1998-11-30,12.59,12.67,12.44,12.63,10.3,99999
1998-12-01,12.52,12.6,12.49,12.49,10.18,86666
1998-12-02,12.56,12.65,12.48,12.51,10.2,166666
1998-12-03,12.56,12.56,12.33,12.44,10.14,226666
1998-12-04,12.38,12.64,12.3,12.51,10.2,6706666
1998-12-07,12.6,12.7,12.6,12.64,10.31,113333
1998-12-08,12.59,12.81,12.59,12.81,10.45,66666
1998-12-09,12.75,12.75,12.45,12.45,10.15,113333
1998-12-10,13.12,13.12,12.45,12.45,10.15,106666
1998-12-11,12.52,12.64,12.51,12.54,10.23,3446666
1998-12-14,12.6,12.62,12.45,12.45,10.15,59999
1998-12-15,12.31,12.52,12.31,12.36,10.08,273333
1998-12-16,12.42,12.57,12.42,12.57,10.25,119999
1998-12-17,12.38,12.52,12.38,12.47,10.16,193333
1998-12-18,12.42,12.52,12.42,12.47,10.17,379999
1998-12-21,12.82,13.47,12.61,13.47,10.98,539999
1998-12-22,13.57,13.61,13.13,13.61,11.1,573333
1998-12-23,13.7,13.71,13.39,13.39,10.92,593333
1998-12-24,13.31,13.35,12.92,13.04,10.63,639999
1998-12-25,13.04,13.04,13.04,13.04,10.63,0
1998-12-28,13.12,13.35,13.12,13.15,10.72,626666
1998-12-29,13.09,13.35,13.01,13.24,10.79,1186666
1998-12-30,13.5,14.17,13.5,13.83,11.28,368133
1998-12-31,14.02,14.2,13.88,13.88,11.31,259733
1999-01-01,13.69,14.02,13.69,13.8,11.25,111866
1999-01-04,13.99,14.77,13.95,14.64,11.94,322133
1999-01-05,14.85,15.81,14.74,15.81,12.89,332533
1999-01-06,16.65,17.08,16.2,17.08,13.93,347999
1999-01-07,17.55,18.44,17.36,18.0,14.68,685466
1999-01-08,18.64,18.89,18.26,18.75,15.29,465599
1999-01-11,18.83,19.88,18.83,19.43,15.85,584266
1999-01-12,19.32,20.99,19.06,20.99,17.11,465866
1999-01-13,21.79,22.67,21.79,22.67,18.48,380266
1999-01-14,24.34,24.48,23.59,24.48,19.96,552266
1999-01-15,26.44,26.44,23.85,24.0,19.57,992533
1999-01-18,24.0,24.56,22.99,23.38,19.06,456133
1999-01-19,23.61,25.13,22.73,23.25,18.96,501599
1999-01-20,23.25,23.25,23.25,23.25,18.96,0
1999-01-21,24.75,25.11,24.38,25.11,20.48,692133
1999-01-22,27.11,27.11,25.95,25.95,21.16,915733
1999-01-25,25.5,28.03,25.5,28.03,22.85,856533
1999-01-26,28.03,28.03,28.03,28.03,22.85,0
1999-01-27,30.23,30.27,30.15,30.27,24.68,732266
1999-01-28,32.17,32.17,28.5,28.76,23.45,1265999
1999-01-29,28.5,29.92,27.38,27.85,22.71,1339733
1999-02-01,27.41,27.86,25.63,25.63,20.9,527599
1999-02-02,23.66,26.25,23.58,24.53,20.01,1734666
1999-02-03,25.22,25.88,24.45,25.2,20.55,964133
1999-02-04,25.39,25.87,24.57,24.71,20.15,446799
1999-02-05,24.33,24.93,23.71,24.38,19.88,687333
1999-02-08,24.04,25.2,24.04,24.94,20.34,2243733
1999-02-09,24.6,24.75,23.86,24.38,19.88,374533
1999-02-10,24.45,25.58,24.45,24.88,20.29,855599
1999-02-11,24.83,25.43,24.53,24.94,20.34,216533
1999-02-12,24.98,24.98,24.37,24.56,20.03,127333
1999-02-15,24.83,24.9,23.78,23.89,19.48,242399
1999-02-16,23.85,24.02,23.1,23.41,19.09,269733
1999-02-17,23.81,23.96,22.89,23.89,19.48,270933
1999-02-18,23.99,24.9,23.99,24.33,19.84,283733
1999-02-19,23.85,24.38,23.55,24.38,19.88,155733
1999-02-22,24.0,24.0,23.12,23.55,19.2,384266
1999-02-23,24.0,24.0,22.35,22.55,18.39,372933
1999-02-24,23.25,24.36,23.1,24.36,19.86,387733
1999-02-25,25.13,26.18,25.13,25.5,20.79,775733
1999-02-26,25.5,25.7,25.49,25.54,20.82,510666
1999-03-01,28.43,28.88,26.9,28.65,23.36,1472799
1999-03-02,28.65,28.65,28.65,28.65,23.36,0
1999-03-03,29.39,30.45,29.1,29.92,24.4,1874266
1999-03-04,29.63,29.63,28.24,28.69,23.39,532399
1999-03-05,28.88,29.25,28.5,28.79,23.48,2437333
1999-03-08,29.55,29.55,27.94,28.05,22.87,749466
1999-03-09,27.75,28.32,26.89,26.89,21.93,643199
1999-03-10,28.69,28.69,27.4,27.66,22.56,348133
1999-03-11,27.66,27.66,26.81,26.81,21.86,107466
1999-03-12,27.0,28.96,27.0,28.96,23.61,692533
1999-03-15,29.55,31.27,29.55,31.27,25.5,1373733
1999-03-16,31.87,33.0,30.76,32.24,26.29,1898666
1999-03-17,32.57,32.81,30.38,30.81,25.13,674266
1999-03-18,30.49,30.7,28.61,30.23,24.65,219199
1999-03-19,30.3,30.3,29.57,29.85,24.34,245333
1999-03-22,28.88,29.81,28.88,29.66,24.19,265333
1999-03-23,29.76,29.91,27.83,27.83,22.69,463733
1999-03-24,28.88,29.4,28.13,28.35,23.12,185999
1999-03-25,28.13,28.8,27.86,28.39,23.15,103999
1999-03-26,28.01,28.31,27.0,27.6,22.51,139733
1999-03-29,27.6,27.6,27.6,27.6,22.51,0
1999-03-30,27.75,28.5,27.6,27.83,22.69,169333
1999-03-31,28.76,30.04,28.05,30.04,24.49,569599
1999-04-01,30.56,30.56,28.88,30.2,24.63,1032533
1999-04-02,30.2,30.2,30.2,30.2,24.63,0
1999-04-05,29.41,29.85,27.79,27.79,22.66,447333
1999-04-06,27.38,27.75,25.57,26.68,21.75,372799
1999-04-07,28.46,28.46,27.53,27.86,22.72,268133
1999-04-08,28.01,28.01,27.31,27.71,22.6,113199
1999-04-09,27.0,27.3,26.63,26.63,21.71,210399
1999-04-12,24.5,26.05,24.5,25.59,20.87,150266
1999-04-13,25.51,25.86,25.36,25.52,20.81,159866
1999-04-14,25.52,25.52,25.52,25.52,20.81,0
1999-04-15,23.48,24.9,23.48,23.63,19.27,138933
1999-04-16,23.66,25.52,23.66,25.52,20.81,488799
1999-04-19,24.38,26.25,24.09,26.18,21.34,253866
1999-04-20,27.53,27.53,25.88,26.7,21.77,328666
1999-04-21,26.44,27.19,26.44,27.08,22.08,116266
1999-04-22,27.75,27.75,26.44,26.78,21.83,162933
1999-04-23,26.64,26.95,25.69,26.44,21.56,378399
1999-04-26,24.38,24.75,24.34,24.5,19.97,317333
1999-04-27,24.5,24.5,24.5,24.5,19.97,0
1999-04-28,24.75,24.75,22.66,23.81,19.42,1431999
1999-04-29,23.92,25.72,23.92,25.67,20.94,728666
1999-04-29 00:00:00,23.92,25.72,23.92,25.67,20.93,728666
1999-04-30,26.98,27.73,26.36,27.73,22.61,918399
1999-05-03,29.84,29.94,29.25,29.94,24.42,845999
1999-05-04,32.34,32.34,32.34,32.34,26.37,1174933
1999-05-05,34.93,34.93,33.56,34.93,28.48,4048133
1999-05-06,37.5,37.5,32.13,33.56,27.37,2835333
1999-05-07,33.0,34.12,31.88,33.53,27.34,2492399
1999-05-10,33.01,33.6,32.1,32.25,26.3,484533
1999-05-11,33.3,33.3,32.04,32.1,26.18,1010399
1999-05-12,32.06,32.06,29.63,30.26,24.68,477599
1999-05-13,30.39,31.5,30.39,31.26,25.49,442666
1999-05-14,31.16,31.61,30.75,31.1,25.36,327199
1999-05-17,31.05,31.05,30.0,30.19,24.62,211066
1999-05-18,30.75,30.98,30.0,30.19,24.62,347466
1999-05-19,30.23,30.37,30.0,30.31,24.71,216399
1999-05-20,30.3,31.04,29.66,30.75,25.08,335866
1999-05-21,30.94,31.49,30.43,30.53,24.89,241333
1999-05-24,30.49,30.6,30.17,30.59,24.94,241999
1999-05-25,30.56,31.69,30.39,31.2,25.44,444666
1999-05-26,30.94,30.94,30.09,30.56,24.92,112133
1999-05-27,30.49,30.75,30.0,30.0,24.46,298266
1999-05-28,30.0,30.0,28.88,29.99,24.46,296399
1999-05-31,30.75,30.76,30.38,30.74,25.07,269733
1999-06-01,30.67,31.07,30.19,30.51,24.88,587466
1999-06-02,30.74,32.95,30.74,31.5,25.69,1699999
1999-06-03,32.17,32.84,31.13,32.4,26.42,698133
1999-06-04,32.61,32.66,31.88,32.17,26.23,162133
1999-06-07,31.95,31.95,31.34,31.39,25.6,167333
1999-06-08,31.46,31.54,30.94,31.2,25.44,214799
1999-06-09,31.31,32.17,31.31,31.99,26.09,242666
1999-06-10,31.67,32.07,31.67,32.05,26.13,62399
1999-06-11,31.69,31.88,31.32,31.81,25.94,106533
1999-06-14,30.0,30.83,29.96,30.03,24.49,213333
1999-06-15,30.29,30.36,29.77,29.79,24.29,93066
1999-06-16,30.75,30.75,29.25,30.11,24.56,142133
1999-06-17,30.45,30.45,30.13,30.16,24.6,137199
1999-06-17 00:00:00,30.45,30.45,30.13,30.16,24.54,137199
1999-06-18,30.08,30.24,29.81,29.94,24.42,98266
1999-06-18 00:00:00,30.08,30.24,29.81,29.94,24.37,98266
1999-06-21,30.0,30.83,29.63,30.61,24.96,287066
1999-06-21 00:00:00,30.0,30.83,29.63,30.61,24.91,287066
1999-06-22,31.09,31.09,29.25,30.08,24.53,444133
1999-06-22 00:00:00,31.09,31.09,29.25,30.08,24.48,444133
1999-06-23,30.75,31.05,30.23,30.41,24.8,964399
1999-06-23 00:00:00,30.75,31.05,30.23,30.41,24.75,964399
1999-06-24,30.19,31.34,30.11,30.72,25.05,536933
1999-06-24 00:00:00,30.19,31.34,30.11,30.72,25.0,536933
1999-06-25,30.6,30.89,30.3,30.52,24.89,192399
1999-06-25 00:00:00,30.6,30.89,30.3,30.52,24.83,192399
1999-06-28,30.71,31.31,30.38,30.56,24.92,388533
1999-06-28 00:00:00,30.71,31.31,30.38,30.56,24.86,388533
1999-06-29,30.75,30.98,30.38,30.46,24.84,628666
1999-06-29 00:00:00,30.75,30.98,30.38,30.46,24.79,628666
1999-06-30,30.77,31.58,30.77,31.17,25.42,667599
1999-06-30 00:00:00,30.77,31.58,30.77,31.17,25.36,667599
1999-07-01,31.09,31.25,30.83,30.85,25.16,257866
1999-07-01 00:00:00,31.09,31.25,30.83,30.85,25.11,257866
1999-07-02,30.9,31.0,30.38,30.51,24.88,660399
1999-07-02 00:00:00,30.9,31.0,30.38,30.51,24.82,660399
1999-07-05,30.68,31.05,30.68,30.92,25.23,300399
1999-07-05 00:00:00,30.68,31.05,30.68,30.92,25.17,300399
1999-07-06,30.91,31.19,30.91,31.12,25.39,343999
1999-07-06 00:00:00,30.91,31.19,30.91,31.12,25.33,343999
1999-07-07,31.2,31.43,31.19,31.29,25.52,445866
1999-07-07 00:00:00,31.2,31.43,31.19,31.29,25.47,445866
1999-07-08,31.02,31.05,30.84,30.86,25.17,177733
1999-07-08 00:00:00,31.02,31.05,30.84,30.86,25.12,177733
1999-07-09,31.13,31.22,30.75,30.89,25.2,169599
1999-07-09 00:00:00,31.13,31.22,30.75,30.89,25.15,169599
1999-07-12,31.43,31.5,30.93,31.46,25.66,713199
1999-07-12 00:00:00,31.43,31.5,30.93,31.46,25.61,713199
1999-07-13,31.5,31.58,31.25,31.41,25.63,385733
1999-07-13 00:00:00,31.5,31.58,31.25,31.41,25.57,385733
1999-07-14,31.2,32.03,31.05,31.68,25.85,783466
1999-07-14 00:00:00,31.2,32.03,31.05,31.68,25.79,783466
1999-07-15,32.04,32.69,31.07,31.17,25.43,895599
1999-07-15 00:00:00,32.04,32.69,31.07,31.17,25.37,895599
