Datetime,Open,High,Low,Close,Adj Close,Volume
2021-07-02 09:15:00+05:30,116.53,116.59,115.4,115.74,115.74,0
2021-07-02 10:15:00+05:30,115.94,116.0,114.71,115.09,115.09,2122081
2021-07-02 11:15:00+05:30,114.86,115.23,114.63,115.02,115.02,1255918
2021-07-02 12:15:00+05:30,115.0,115.15,114.27,114.29,114.29,968178
2021-07-02 13:15:00+05:30,114.83,114.88,113.02,113.3,113.3,3282406
2021-07-02 14:15:00+05:30,113.21,113.72,113.02,113.55,113.55,2655195
2021-07-02 15:15:00+05:30,113.54,113.83,113.49,113.79,113.79,664486
2021-07-05 09:15:00+05:30,114.6,114.92,113.71,114.05,114.05,0
2021-07-05 10:15:00+05:30,114.0,114.24,113.61,114.03,114.03,1554756
2021-07-05 11:15:00+05:30,113.99,114.6,113.91,114.3,114.3,1773938
2021-07-05 12:15:00+05:30,114.15,115.67,114.1,115.49,115.49,2575879
2021-07-05 13:15:00+05:30,114.87,116.0,114.75,115.53,115.53,2557508
2021-07-05 14:15:00+05:30,115.65,116.14,115.43,115.68,115.68,1869361
2021-07-05 15:15:00+05:30,115.63,115.91,115.43,115.68,115.68,1193518
2021-07-06 09:15:00+05:30,115.74,116.64,115.03,115.19,115.19,0
2021-07-06 10:15:00+05:30,115.82,116.29,115.03,116.27,116.27,2783672
2021-07-06 11:15:00+05:30,116.22,117.2,116.08,116.88,116.88,2488896
2021-07-06 12:15:00+05:30,116.97,117.2,116.5,116.88,116.88,1615061
2021-07-06 13:15:00+05:30,117.04,117.8,116.73,117.13,117.13,2316258
2021-07-06 14:15:00+05:30,117.56,117.62,115.99,116.7,116.7,4046699
2021-07-06 15:15:00+05:30,116.64,116.91,116.43,116.58,116.58,406106
2021-07-07 09:15:00+05:30,116.79,117.86,116.53,116.67,116.67,0
2021-07-07 10:15:00+05:30,117.14,117.23,115.9,116.18,116.18,1988091
2021-07-07 11:15:00+05:30,116.12,117.48,115.9,117.12,117.12,1742942
2021-07-07 12:15:00+05:30,117.05,117.91,116.9,117.58,117.58,2204560
2021-07-07 13:15:00+05:30,117.49,121.45,117.3,121.36,121.36,6528713
2021-07-07 14:15:00+05:30,118.99,121.93,118.96,121.88,121.88,12501783
2021-07-07 15:15:00+05:30,121.88,122.5,121.69,122.48,122.48,1509777
2021-07-08 09:15:00+05:30,122.49,122.99,121.26,121.82,121.82,0
2021-07-08 10:15:00+05:30,121.78,122.36,121.4,121.47,121.47,2413018
2021-07-08 11:15:00+05:30,121.61,121.78,120.51,120.57,120.57,2208230
2021-07-08 12:15:00+05:30,120.99,121.14,119.37,119.72,119.72,3948564
2021-07-08 13:15:00+05:30,119.78,120.15,118.66,119.17,119.17,3737280
2021-07-08 14:15:00+05:30,118.93,119.37,118.13,118.99,118.99,3892279
2021-07-08 15:15:00+05:30,119.03,119.28,118.79,118.99,118.99,773546
2021-07-09 09:15:00+05:30,119.1,121.72,118.8,121.53,121.53,0
2021-07-09 10:15:00+05:30,121.59,121.86,120.85,120.97,120.97,3238893
2021-07-09 11:15:00+05:30,121.37,121.69,120.52,121.61,121.61,2943956
2021-07-09 12:15:00+05:30,121.31,122.9,121.1,121.87,121.87,5656954
2021-07-09 13:15:00+05:30,122.42,122.9,121.8,122.24,122.24,2812276
2021-07-09 14:15:00+05:30,121.94,124.2,121.19,123.73,123.73,8605009
2021-07-09 15:15:00+05:30,123.72,124.36,123.72,123.97,123.97,1331875
2021-07-12 09:15:00+05:30,125.1,125.49,123.5,123.92,123.92,0
2021-07-12 10:15:00+05:30,124.13,125.3,123.64,124.65,124.65,4292869
2021-07-12 11:15:00+05:30,124.89,125.84,124.44,125.28,125.28,4757905
2021-07-12 12:15:00+05:30,125.56,125.84,123.57,123.72,123.72,3514407
2021-07-12 13:15:00+05:30,125.3,125.3,122.78,123.29,123.29,5660447
2021-07-12 14:15:00+05:30,123.57,123.69,121.84,122.5,122.5,5271394
2021-07-12 15:15:00+05:30,122.54,122.69,122.27,122.5,122.5,915651
2021-07-13 09:15:00+05:30,123.83,124.34,123.08,123.43,123.43,0
2021-07-13 10:15:00+05:30,123.92,123.95,122.93,123.26,123.26,2160963
2021-07-13 11:15:00+05:30,123.11,124.0,123.05,123.81,123.81,1457330
2021-07-13 12:15:00+05:30,123.55,124.0,123.11,123.35,123.35,1792010
2021-07-13 13:15:00+05:30,123.28,123.45,122.68,122.92,122.92,1645590
2021-07-13 14:15:00+05:30,122.99,123.18,122.36,122.85,122.85,2151630
2021-07-13 15:15:00+05:30,122.89,123.0,122.72,123.0,123.0,676085
2021-07-14 09:15:00+05:30,123.1,123.7,121.92,122.63,122.63,0
2021-07-14 10:15:00+05:30,122.78,123.82,122.51,123.56,123.56,1933456
2021-07-14 11:15:00+05:30,123.01,123.97,122.93,123.33,123.33,2735963
2021-07-14 12:15:00+05:30,123.3,123.69,122.84,123.63,123.63,1543127
2021-07-14 13:15:00+05:30,123.48,124.57,123.28,124.29,124.29,2530935
2021-07-14 14:15:00+05:30,124.24,124.54,123.93,124.43,124.43,2215868
2021-07-14 15:15:00+05:30,124.44,124.74,124.28,124.39,124.39,628102
2021-07-15 09:15:00+05:30,124.65,125.04,123.77,124.59,124.59,0
2021-07-15 10:15:00+05:30,124.59,125.5,124.47,125.37,125.37,1856253
2021-07-15 11:15:00+05:30,124.89,125.84,124.88,125.2,125.2,2459038
2021-07-15 12:15:00+05:30,125.44,125.64,124.8,125.44,125.44,1474869
2021-07-15 13:15:00+05:30,124.93,126.25,124.9,126.19,126.19,2807864
2021-07-15 14:15:00+05:30,125.49,126.57,125.26,125.62,125.62,4507201
2021-07-15 15:15:00+05:30,125.62,126.01,125.46,125.93,125.93,967822
2021-07-16 09:15:00+05:30,126.43,127.24,125.91,126.96,126.96,0
2021-07-16 10:15:00+05:30,127.19,127.24,126.47,126.92,126.92,2712231
2021-07-16 11:15:00+05:30,126.83,127.4,126.76,127.06,127.06,1929906
2021-07-16 12:15:00+05:30,127.01,127.2,126.71,127.09,127.09,1115958
2021-07-16 13:15:00+05:30,127.02,127.48,126.9,127.13,127.13,1282287
2021-07-16 14:15:00+05:30,127.09,128.12,126.97,127.83,127.83,2955123
